BUOYS
0n110w
0n125w
0n140w
0n155w
0n156e
0n165e
0n170w
0n180w
0n95w
2n110w
2n125w
2n140w
2n155w
2n156e
2n165e
2n170w
2n180w
2n95w
2s110w
2s125w
2s140w
2s155w
2s156e
2s165e
2s170w
2s180w
2s95w
5n110w
5n125w
5n140w
5n155w
5n156e
5n165e
5n170w
5n180w
5n95w
5s110w
5s125w
5s140w
5s155w
5s156e
5s165e
5s170w
5s180w
5s95w
8s110w
8s125w
8s155w
8s165e
8s170w
8s180w
8s95w
7n137e
8n110w
8n125w
8n137e
8n155w
8n156e
8n165e
8n170w
8n180w
8n95w
9n140w
0n0e
0n10w
0n23w
0n35w
10s10w
12n23w
12n38w
14s32w
15n38w
19s34w
20n38w
20s10w
21n23w
4n23w
4n38w
5s10w
6s10w
8n38w
8s30w
