time,vwind
01/01,-4.0298467
01/02,-3.4942832
01/03,-3.4066002
01/04,-3.6597648
01/05,-3.1005664
01/06,-2.7138066
01/07,-3.8467593
01/08,-3.0074294
01/09,-3.5515203
01/10,-3.5169497
01/11,-3.6801288
01/12,-3.47223
01/13,-2.9935148
01/14,-2.9910917
01/15,-3.4778128
01/16,-3.4086633
01/17,-3.717247
01/18,-3.1081438
01/19,-2.8982284
01/20,-3.1779668
01/21,-3.6440663
01/22,-3.0017323
01/23,-3.1610165
01/24,-2.7249944
01/25,-3.0646653
01/26,-3.2727668
01/27,-2.986919
01/28,-3.5661695
01/29,-3.6732612
01/30,-3.465215
01/31,-3.7468543
02/01,-3.9055593
02/02,-4.453795
02/03,-3.669161
02/04,-3.344142
02/05,-3.6089664
02/06,-3.8774455
02/07,-3.6171217
02/08,-3.1265676
02/09,-3.5316339
02/10,-3.632689
02/11,-3.20868
02/12,-3.0420659
02/13,-3.4376771
02/14,-3.2738018
02/15,-3.5899553
02/16,-2.9252365
02/17,-2.6401882
02/18,-3.1126618
02/19,-3.3449461
02/20,-2.985328
02/21,-2.8687744
02/22,-2.9760365
02/23,-3.2113197
02/24,-3.1987782
02/25,-2.938016
02/26,-3.2018719
02/27,-3.061484
02/28,-3.4693236
02/29,-3.0252512
03/01,-3.7251747
03/02,-3.5451767
03/03,-2.6004384
03/04,-3.3262386
03/05,-3.3271537
03/06,-3.022459
03/07,-3.1592796
03/08,-3.2778902
03/09,-3.6838138
03/10,-3.1551197
03/11,-3.6391816
03/12,-3.768597
03/13,-3.844345
03/14,-3.2761102
03/15,-2.3600683
03/16,-2.5024698
03/17,-2.7349746
03/18,-2.5952053
03/19,-2.7343006
03/20,-2.7501636
03/21,-2.48389
03/22,-2.4490013
03/23,-2.569863
03/24,-3.0067558
03/25,-3.23837
03/26,-3.3186224
03/27,-3.1182787
03/28,-3.533432
03/29,-2.9117084
03/30,-3.3044157
03/31,-3.081391
04/01,-3.2235463
04/02,-3.682998
04/03,-3.8026717
04/04,-3.3041782
04/05,-3.0133078
04/06,-3.3084855
04/07,-2.6199365
04/08,-2.37313
04/09,-2.8760965
04/10,-2.3847284
04/11,-2.7107437
04/12,-2.3761215
04/13,-3.0139308
04/14,-3.6316085
04/15,-2.988482
04/16,-2.6559935
