time,vwind
10/25,-0.7940247
10/26,-0.5719203
10/27,-0.48290768
10/28,-0.9496288
10/29,-0.52269906
10/30,-0.5969939
10/31,0.034685787
11/01,0.40628722
11/02,-0.4722575
11/03,-0.7514578
11/04,-0.37699094
11/05,0.1498023
11/06,-0.9736164
11/07,-0.9577083
11/08,-1.1098524
11/09,-1.1469524
11/10,-1.7074684
11/11,-0.8136627
11/12,-0.6448053
11/13,-0.7175686
11/14,-1.3560705
11/15,-1.2801079
11/16,-0.45743617
11/17,-1.1907772
11/18,-1.0077896
11/19,-0.48233253
11/20,-1.159424
11/21,-1.3700705
11/22,-1.6193923
11/23,-1.1372585
11/24,-1.4190428
11/25,-1.5213537
11/26,-1.3644829
11/27,-1.916301
11/28,-2.5277522
11/29,-1.9631376
11/30,-1.1987909
12/01,-2.0289876
12/02,-2.267065
12/03,-2.5385008
12/04,-2.1294973
12/05,-2.6430573
12/06,-2.6162422
12/07,-2.0956254
12/08,-2.843753
12/09,-2.9191053
12/10,-2.9068415
12/11,-2.8516312
12/12,-2.9715981
12/13,-3.0037842
12/14,-3.3761175
12/15,-3.457532
12/16,-3.5971797
12/17,-3.1683607
12/18,-3.155975
12/19,-1.9051648
12/20,-2.296905
12/21,-3.152835
12/22,-3.2513387
12/23,-3.3060257
12/24,-3.203029
12/25,-3.2720032
12/26,-3.1624377
12/27,-3.5116043
12/28,-3.4382133
12/29,-3.7074904
12/30,-4.2490406
12/31,-4.077928
