time,vwind
01/01,-2.2766387
01/02,-1.5286705
01/03,-2.1754622
01/04,-2.3528323
01/05,-2.1604822
01/06,-2.3015604
01/07,-2.395188
01/08,-2.0669563
01/09,-2.1922956
01/10,-1.861517
01/11,-2.3048055
01/12,-2.4563017
01/13,-2.5636356
01/14,-2.3038337
01/15,-2.2044091
01/16,-2.5884478
01/17,-2.5917783
01/18,-2.0580382
01/19,-2.1514482
01/20,-2.2778068
01/21,-2.4802208
01/22,-2.5396972
01/23,-2.6303186
01/24,-2.204763
01/25,-3.0806165
01/26,-2.0792365
01/27,-2.2464554
01/28,-2.4173143
01/29,-2.6646411
01/30,-2.3139524
01/31,-2.8781788
02/01,-2.7700324
02/02,-2.697475
02/03,-2.5345132
02/04,-2.4335945
02/05,-3.0176077
02/06,-2.9314363
02/07,-2.4315002
02/08,-2.4382415
02/09,-2.693791
02/10,-2.0499883
02/11,-1.9974933
02/12,-1.6846102
02/13,-2.2404773
02/14,-2.2910295
02/15,-2.9241095
02/16,-2.689265
02/17,-2.718057
02/18,-2.8900332
02/19,-3.3163135
02/20,-2.3598342
02/21,-2.2768888
02/22,-2.7675009
02/23,-1.954304
02/24,-1.4831128
02/25,-2.1203907
02/26,-2.3962862
02/27,-2.3917983
02/28,-1.9720016
02/29,-1.4654025
03/01,-2.365444
03/02,-2.3824391
03/03,-2.1780703
03/04,-2.3719282
03/05,-2.3130994
03/06,-2.3273509
03/07,-2.086928
03/08,-1.4058189
03/09,-1.7691699
03/10,-1.6431847
03/11,-1.5393542
03/12,-2.023621
03/13,-1.9557002
03/14,-1.9642041
03/15,-1.8437445
03/16,-1.8208354
03/17,-2.0401947
03/18,-1.9518955
03/19,-1.6885586
03/20,-1.9973679
03/21,-1.939989
03/22,-1.927107
03/23,-1.9511814
03/24,-1.9006304
03/25,-1.6759491
03/26,-2.0221364
03/27,-2.297868
03/28,-1.8344535
03/29,-1.9745215
03/30,-1.5150843
03/31,-1.7560683
04/01,-2.372713
04/02,-2.2954905
04/03,-2.0147
04/04,-2.048384
04/05,-1.7439874
04/06,-1.4121295
04/07,-1.3349599
04/08,-1.4590775
04/09,-1.6365008
04/10,-1.6752311
04/11,-1.6491171
04/12,-1.8944249
04/13,-2.0082045
04/14,-1.9052261
04/15,-1.3285983
04/16,-1.5521561
04/17,-1.9734045
04/18,-1.9395615
04/19,-1.5723855
