time,vwind
11/09,0.3388889
11/10,0.02222222
11/11,0.5222222
11/12,0.9777778
11/13,-0.07777778
11/14,0.038888857
11/15,0.20555556
11/16,0.3611111
11/17,-0.036842097
11/18,0.75789475
11/19,0.4368421
11/20,-0.3894737
11/21,-0.45882347
11/22,0.26666665
11/23,0.3611111
11/24,0.3166667
11/25,0.38333336
11/26,-0.122222215
11/27,-0.6222222
11/28,-0.68333334
11/29,-0.6944444
11/30,-0.78333336
12/01,0.0111111365
12/02,0.011111111
12/03,-0.08333331
12/04,-0.22777778
12/05,0.25
12/06,-0.027777757
12/07,-0.48888886
12/08,-0.71666664
12/09,-0.9722222
12/10,-0.7777778
12/11,-0.84444445
12/12,-1.0
12/13,0.21666665
12/14,0.08333334
12/15,0.38947368
12/16,-0.21578947
12/17,-0.6421053
12/18,-0.525
12/19,-0.13000003
12/20,-0.425
12/21,-1.0799999
12/22,-1.47
12/23,-1.075
12/24,-0.945
12/25,-0.90500003
12/26,-0.9285714
12/27,-1.01
12/28,-1.675
12/29,-1.5285714
12/30,-1.2095239
12/31,-2.0952382
