time,vwind
01/01,-1.4603603
01/02,-1.1137396
01/03,-1.3047036
01/04,-1.7699339
01/05,-1.4968573
01/06,-1.1291475
01/07,-2.0977817
01/08,-2.3186514
01/09,-2.0002186
01/10,-1.8916619
01/11,-2.0638099
01/12,-1.9985038
01/13,-2.047797
01/14,-1.6838406
01/15,-1.923325
01/16,-2.0531063
01/17,-1.4027321
01/18,-2.0294576
01/19,-1.6189035
01/20,-1.6506798
01/21,-1.6336511
01/22,-1.425524
01/23,-1.1591859
01/24,-0.8431241
01/25,-1.0502853
01/26,-1.7702072
01/27,-2.4634974
01/28,-2.0958688
01/29,-1.8062929
01/30,-1.670615
01/31,-2.4776797
02/01,-1.8968222
02/02,-2.0598054
02/03,-2.2867157
02/04,-2.4093423
02/05,-1.2802756
02/06,-1.8541641
02/07,-2.2288816
02/08,-2.1086571
02/09,-1.791892
02/10,-1.6080967
02/11,-2.5783038
02/12,-1.5497974
02/13,-0.7927491
02/14,-1.1517295
02/15,-2.0666797
02/16,-2.221594
02/17,-2.003004
02/18,-2.0557432
02/19,-2.1308095
02/20,-1.9108547
02/21,-2.2840037
02/22,-1.8647027
02/23,-1.9868342
02/24,-1.8795208
02/25,-2.5911374
02/26,-2.1513681
02/27,-1.6918588
02/28,-2.2901888
02/29,-2.905992
03/01,-2.5497022
03/02,-2.1545668
03/03,-1.8258982
03/04,-2.2814567
03/05,-2.2234156
03/06,-1.7012496
03/07,-1.8313925
03/08,-1.7545564
03/09,-1.4181938
03/10,-2.0084355
03/11,-2.06086
03/12,-1.8649645
03/13,-1.6324865
03/14,-1.8811017
03/15,-1.8514861
03/16,-1.5776442
03/17,-1.1242858
03/18,-1.2771447
03/19,-0.9069106
03/20,-1.7899648
03/21,-1.9306726
03/22,-2.1693351
03/23,-1.4204077
03/24,-0.9186856
03/25,-1.252266
03/26,-1.1187817
03/27,-1.585774
03/28,-1.6154684
03/29,-1.4412799
03/30,-1.4474846
03/31,-1.4105476
04/01,-1.4393811
04/02,-2.2526996
04/03,-1.7513365
04/04,-1.9161391
04/05,-1.7116402
04/06,-1.8650755
04/07,-1.2674443
04/08,-1.0479461
04/09,-0.794218
04/10,-0.7100148
04/11,-0.5128564
04/12,-0.39815518
04/13,-0.44984385
04/14,-0.6268957
04/15,-1.7135805
04/16,-1.2843403
04/17,-0.9352922
04/18,-1.2139144
04/19,-1.0758778
04/20,-1.1175779
04/21,-0.6878249
04/22,-0.5275821
04/23,-0.51812154
04/24,0.08638802
04/25,-0.02658832
04/26,0.10903922
04/27,-0.1075674
04/28,-0.26664153
04/29,-1.4042454
04/30,-1.0591724
05/01,-1.0464238
05/02,-0.12809427
