time,vwind
01/01,-0.41020378
01/02,-0.19285803
01/03,-0.31247643
01/04,-0.47942597
01/05,0.06696042
01/06,-0.008751816
01/07,-0.07032941
01/08,-0.3584325
01/09,-0.43922764
01/10,-0.49954936
01/11,-0.7247872
01/12,-0.5671218
01/13,-0.54129934
01/14,-0.6922464
01/15,-0.6724305
01/16,-0.8653915
01/17,-0.3794934
01/18,-0.38705578
01/19,-0.6481612
01/20,-1.2308347
01/21,-1.3817344
01/22,-1.0298983
01/23,-1.1426933
01/24,-0.9739423
01/25,-0.9821223
01/26,-0.923792
01/27,-0.8432854
01/28,-1.0232455
01/29,-1.1286585
01/30,-0.9393987
01/31,-1.0766479
02/01,-1.2181886
02/02,-0.87555003
02/03,-1.1514714
02/04,-1.4901049
02/05,-1.5605065
02/06,-1.2522744
02/07,-0.8999248
02/08,-1.2210612
02/09,-1.31054
02/10,-0.9553881
02/11,-0.9180576
02/12,-0.9128812
02/13,-1.0162954
02/14,-1.0353903
02/15,-1.2747686
02/16,-1.5237044
02/17,-1.2313212
02/18,-1.7096026
02/19,-1.6910398
02/20,-0.8844869
02/21,-0.7141675
02/22,-1.2885778
02/23,-1.0613824
02/24,-0.56969666
02/25,-1.1296759
02/26,-0.8332882
02/27,-1.2161108
02/28,-1.2115697
02/29,-2.1043763
03/01,-1.2252449
03/02,-0.8022224
03/03,-0.70539546
03/04,-1.327725
03/05,-0.99446416
03/06,-0.7066891
03/07,-0.9751778
03/08,-0.45780367
03/09,-0.9067122
03/10,-0.5447062
03/11,-0.92145395
03/12,-0.77609235
03/13,-0.67759866
03/14,-0.8063305
03/15,-1.2191268
03/16,-1.0016254
03/17,-1.3041166
03/18,-1.3794835
03/19,-1.159388
03/20,-0.98952913
03/21,-0.77087635
03/22,-0.56954825
03/23,-0.5527981
03/24,-0.8402372
03/25,-1.0129709
03/26,-0.91636765
03/27,-1.0354346
03/28,-0.7797025
03/29,-0.95849705
03/30,-1.0818821
03/31,-1.3190295
04/01,-1.3708841
04/02,-1.1002697
04/03,-1.2832127
04/04,-0.74883205
04/05,-0.7076766
04/06,-0.60303897
04/07,-0.6322545
04/08,-0.65491277
04/09,-0.8979846
04/10,-0.8489196
04/11,-0.5485021
04/12,-0.6993498
04/13,-1.2050931
04/14,-0.9098665
04/15,-0.5963448
04/16,-0.86596733
04/17,-0.98896325
04/18,-0.77602136
04/19,-0.731648
04/20,-1.032899
04/21,-0.9916268
04/22,-0.34746066
04/23,-0.4433957
04/24,-0.6820259
04/25,-0.49846697
04/26,-0.5841404
04/27,-0.826416
04/28,-0.8876334
04/29,-0.9588546
04/30,-0.9640464
05/01,-0.77513
05/02,0.09437733
05/03,-0.6702065
05/04,-0.97071165
05/05,-0.8540152
05/06,-1.0935247
05/07,-0.75622934
05/08,-0.4795889
05/09,-0.7020945
05/10,-0.5158163
05/11,-0.36208782
05/12,0.110441364
05/13,-0.05638935
05/14,0.14426799
05/15,-0.51734114
05/16,-0.30527264
05/17,0.031852547
05/18,-0.37125424
05/19,-0.8505953
05/20,-0.5720073
05/21,-0.38734967
05/22,-0.047445316
05/23,0.11247916
05/24,-0.44632798
05/25,-0.3178753
05/26,-0.30745557
05/27,0.0448928
05/28,-0.09556792
05/29,-0.41688666
05/30,-0.38231805
05/31,0.18439494
06/01,-0.31377968
06/02,-0.24607083
06/03,-0.28608745
06/04,-0.6120876
06/05,-0.6649299
06/06,-0.35486844
06/07,-0.13889354
06/08,-0.12397688
06/09,0.03701412
06/10,0.07629735
06/11,-0.0031597444
06/12,-0.67296755
06/13,-0.10298769
06/14,-0.11744161
06/15,0.1897895
06/16,0.122326024
06/17,-0.08252297
06/18,-0.07958131
06/19,0.41965023
06/20,-0.283923
06/21,0.043219578
06/22,0.12604035
06/23,0.20303188
06/24,0.0693376
06/25,-0.0064239376
06/26,0.2804349
06/27,0.36876684
06/28,0.13890587
06/29,0.094902
06/30,0.051048122
07/01,-0.4677456
07/02,-0.06351071
07/03,0.42665857
07/04,0.25982866
07/05,0.06436125
07/06,0.076454416
07/07,0.53478944
07/08,0.6996761
07/09,0.0925064
07/10,0.08643447
07/11,0.43953517
07/12,0.6895912
07/13,0.12210045
07/14,0.20429294
07/15,0.64488983
07/16,0.70837075
07/17,0.025210388
07/18,-0.017238276
07/19,0.83611596
07/20,0.8222023
07/21,0.5440571
07/22,0.04489734
07/23,0.5623664
07/24,0.5456655
07/25,0.40937534
07/26,0.2015855
07/27,0.18303363
07/28,0.3455506
07/29,0.27363306
07/30,0.049971275
07/31,0.036320705
08/01,0.18882042
08/02,0.28938493
08/03,0.43584302
08/04,0.9226264
08/05,0.21706852
08/06,0.4166427
08/07,0.58810407
08/08,0.6689917
08/09,0.27065203
08/10,0.21996991
08/11,0.46581376
08/12,0.19295865
08/13,-0.1784169
08/14,-0.03908121
08/15,0.1783255
08/16,0.09394918
08/17,0.09473685
08/18,0.1614216
08/19,0.30112058
08/20,1.1995583
08/21,0.79382205
08/22,0.28430668
08/23,-0.36906302
08/24,0.2113738
08/25,0.33211404
08/26,0.31376088
08/27,0.27202806
08/28,0.3559584
08/29,0.6992619
08/30,0.5448606
08/31,-0.12638742
09/01,0.5653286
09/02,0.5766322
09/03,0.2885896
09/04,0.4677564
09/05,0.22793509
09/06,0.47917536
09/07,0.3602152
09/08,0.7349095
09/09,0.6821527
09/10,0.45101756
09/11,0.42826653
09/12,0.14302757
09/13,0.03377989
09/14,0.4411312
09/15,0.13450722
09/16,-0.24655682
09/17,0.30775395
09/18,0.66699106
09/19,0.18919414
09/20,-0.2503234
09/21,0.19886893
09/22,0.6369375
09/23,0.38766977
09/24,0.44310305
09/25,0.3272688
09/26,0.19091377
09/27,0.06546418
09/28,0.10241633
09/29,0.0035805828
09/30,0.03630541
10/01,-0.10032617
10/02,0.12448362
10/03,0.37577215
10/04,0.58486426
10/05,0.90795976
10/06,0.71557534
10/07,0.340883
10/08,0.60625184
10/09,0.9663091
10/10,0.5505555
10/11,0.70892435
10/12,0.12755628
10/13,-0.02740928
10/14,0.25901678
10/15,0.65272343
10/16,0.11070203
10/17,-0.102231614
10/18,0.07878075
10/19,0.31060007
10/20,0.6865898
10/21,0.58413655
10/22,0.52835244
10/23,0.8218115
10/24,0.91818607
10/25,0.7765678
10/26,0.43542212
10/27,0.054293934
10/28,0.33530506
10/29,0.21143518
10/30,0.13387552
10/31,0.31048644
11/01,0.82836276
11/02,0.5462615
11/03,0.10616993
11/04,-0.2605304
11/05,0.50076276
11/06,0.73570865
11/07,0.4174846
11/08,0.14347334
11/09,0.7192464
11/10,0.66920924
11/11,-0.344096
11/12,-0.09231643
11/13,0.41032287
11/14,0.30347967
11/15,-0.05373043
11/16,-0.15177861
11/17,0.39588374
11/18,0.30936322
11/19,-0.23353828
11/20,0.00859757
11/21,0.48366448
11/22,0.09062084
11/23,-0.2869785
11/24,-0.076970704
11/25,-0.03044575
11/26,0.026849363
11/27,0.28840318
11/28,0.4183021
11/29,-0.4805548
11/30,-0.037064057
12/01,0.13167149
12/02,0.3310306
12/03,0.029258644
12/04,-0.29470727
12/05,-0.4811299
12/06,0.013239409
12/07,-0.12947296
12/08,-0.6212253
12/09,-0.84229755
12/10,-0.43113497
12/11,-0.35673088
12/12,-0.47127858
12/13,-0.3857069
12/14,-0.5916216
12/15,-0.65854096
12/16,-0.5490759
12/17,-0.13102338
12/18,-0.59772843
12/19,-0.8425323
12/20,-0.77531844
12/21,-0.40738422
12/22,-0.74004817
12/23,-0.94502884
12/24,-1.0075155
12/25,-0.8368603
12/26,-0.8611473
12/27,-1.0986264
12/28,-0.8109542
12/29,-0.2626172
12/30,-0.32515547
12/31,-0.25098988
