time,vwind
01/01,4.3321133
01/02,4.461268
01/03,4.1499686
01/04,4.2612467
01/05,4.6031127
01/06,4.61063
01/07,4.579086
01/08,4.536222
01/09,4.6001205
01/10,4.415929
01/11,4.44093
01/12,4.28488
01/13,4.0961866
01/14,4.024284
01/15,3.905771
01/16,4.118212
01/17,4.1518583
01/18,3.8246331
01/19,3.6620677
01/20,4.1754613
01/21,3.6104283
01/22,3.8636508
01/23,4.1907845
01/24,3.8040562
01/25,3.7215874
01/26,3.7710812
01/27,3.4429135
01/28,3.272762
01/29,3.5088022
01/30,3.3633447
01/31,3.1365325
02/01,3.0259778
02/02,2.8575206
02/03,3.1225796
02/04,3.2858784
02/05,2.812324
02/06,2.9901633
02/07,2.2035832
02/08,2.3293889
02/09,2.0913386
02/10,1.890832
02/11,1.9737997
02/12,1.703566
02/13,1.9772156
02/14,2.1997602
02/15,1.8482382
02/16,1.4985272
02/17,1.6604377
02/18,1.5111668
02/19,1.1494273
02/20,1.0599846
02/21,1.5422887
02/22,1.6200885
02/23,1.208784
02/24,1.418284
02/25,0.8371313
02/26,0.7088256
02/27,0.9921559
02/28,1.2271549
02/29,0.20763993
03/01,1.2318516
03/02,1.4302584
03/03,1.216289
03/04,0.81674576
03/05,0.42969185
03/06,0.5571934
03/07,0.7310429
03/08,0.6260425
03/09,0.05699906
03/10,0.10562055
03/11,0.23662414
03/12,-0.01563945
03/13,0.24956574
03/14,0.3408674
03/15,0.18409882
03/16,0.095276505
03/17,0.35245934
03/18,0.4378471
03/19,0.9114676
03/20,1.1290518
03/21,0.69812065
03/22,1.061677
03/23,0.5141697
03/24,0.33864018
03/25,0.8241506
03/26,0.8107501
03/27,0.7360481
03/28,1.0003272
03/29,0.83283514
03/30,0.8693032
03/31,1.1410807
04/01,1.4358417
04/02,1.3629372
04/03,1.1351987
04/04,1.2442068
04/05,1.3123378
04/06,1.6581062
04/07,1.501973
04/08,1.7304939
04/09,1.5624151
04/10,1.8836098
04/11,1.7890542
04/12,1.8222309
04/13,1.8310459
04/14,1.867989
04/15,2.5908701
04/16,2.408695
04/17,2.675092
04/18,2.6587946
04/19,2.7893283
04/20,2.4977834
04/21,3.2259426
04/22,2.4921205
04/23,2.809848
04/24,3.1316888
04/25,3.2470965
04/26,3.6677728
04/27,2.954615
04/28,2.8040798
04/29,3.1488883
04/30,3.395413
05/01,3.3476949
05/02,3.2331789
05/03,3.5232792
05/04,3.565273
05/05,3.6740284
05/06,3.659243
05/07,3.4617229
05/08,3.3041723
05/09,3.7615993
05/10,3.6860416
05/11,3.8344944
05/12,4.1452193
05/13,4.39282
05/14,4.2898574
05/15,4.7666874
05/16,4.7116294
05/17,4.824315
05/18,4.5836596
05/19,4.6392264
05/20,4.621092
05/21,4.50394
05/22,4.4818316
05/23,4.187079
05/24,4.043001
05/25,4.3190837
05/26,4.6206985
05/27,4.603079
05/28,4.9638214
05/29,4.924375
05/30,5.0483665
05/31,4.951924
06/01,4.6322417
06/02,4.5625844
06/03,4.5215697
06/04,4.727507
06/05,5.0699115
06/06,5.025146
06/07,5.03598
06/08,4.7191715
06/09,4.912485
06/10,4.917183
06/11,5.1083837
06/12,4.726339
06/13,4.6828556
06/14,4.872915
06/15,4.7482743
06/16,4.5380235
06/17,4.5666986
06/18,4.7591558
06/19,4.4778566
06/20,4.4376707
06/21,4.501772
06/22,4.6179104
06/23,4.9875665
06/24,5.0191884
06/25,5.007865
06/26,5.060267
06/27,4.7936726
06/28,4.769453
06/29,4.978659
06/30,5.287142
07/01,5.325627
07/02,5.3541536
07/03,5.369306
07/04,5.371599
07/05,5.138843
07/06,5.206684
07/07,5.296816
07/08,5.7921844
07/09,5.292018
07/10,4.9803715
07/11,4.9810452
07/12,4.9634547
07/13,4.9221234
07/14,4.9846454
07/15,4.8706784
07/16,5.1304874
07/17,4.966759
07/18,4.7977567
07/19,4.9148293
07/20,4.769688
07/21,4.76092
07/22,5.0992756
07/23,5.299136
07/24,5.2936997
07/25,4.9504275
07/26,5.184707
07/27,5.326178
07/28,5.5177336
07/29,5.1587644
07/30,5.3935337
07/31,5.285944
08/01,4.997042
08/02,4.738843
08/03,4.903741
08/04,5.1195683
08/05,4.9992404
08/06,5.008028
08/07,4.9341846
08/08,4.9344716
08/09,5.049674
08/10,5.054726
08/11,5.035536
08/12,4.9421244
08/13,5.092791
08/14,5.0066767
08/15,5.0707374
08/16,5.05227
08/17,5.0260186
08/18,4.8780556
08/19,5.075939
08/20,5.249715
08/21,5.0550447
08/22,5.133773
08/23,5.011716
08/24,4.985189
08/25,4.8855977
08/26,5.11842
08/27,5.049308
08/28,5.2748327
08/29,5.2317834
08/30,5.180338
08/31,5.1508503
09/01,4.9048753
09/02,5.136727
09/03,5.116577
09/04,5.2296333
09/05,5.1374993
09/06,5.0954843
09/07,5.264241
09/08,5.391489
09/09,5.1982756
09/10,5.425806
09/11,5.5976543
09/12,5.3985343
09/13,5.3781
09/14,5.3127236
09/15,5.5679793
09/16,5.426916
09/17,4.776177
09/18,5.0422974
09/19,5.365099
09/20,5.1991878
09/21,4.9346848
09/22,5.100593
09/23,4.898451
09/24,5.0231915
09/25,5.162219
09/26,5.2136154
09/27,5.2867
09/28,5.1993814
09/29,5.0742683
09/30,5.1054764
10/01,4.8941064
10/02,4.813647
10/03,4.926551
10/04,5.47383
10/05,5.569481
10/06,5.230726
10/07,5.266269
10/08,5.4167466
10/09,5.5090237
10/10,5.176045
10/11,4.991912
10/12,4.961309
10/13,4.706093
10/14,4.5878377
10/15,4.734453
10/16,5.36901
10/17,5.4402
10/18,5.2373214
10/19,4.9887342
10/20,5.2689834
10/21,5.1926465
10/22,4.845538
10/23,4.6158843
10/24,4.524434
10/25,4.7769504
10/26,4.9393897
10/27,5.0814643
10/28,5.384512
10/29,5.0751476
10/30,4.8022475
10/31,4.85503
11/01,5.1976366
11/02,5.4264073
11/03,4.963731
11/04,4.747243
11/05,4.9191127
11/06,5.008247
11/07,5.0245237
11/08,5.191538
11/09,5.029898
11/10,5.231516
11/11,5.14309
11/12,5.1934366
11/13,4.919577
11/14,4.719506
11/15,4.853013
11/16,4.7903256
11/17,4.780505
11/18,4.915269
11/19,5.0764947
11/20,5.247529
11/21,5.400403
11/22,5.067538
11/23,4.9789734
11/24,5.196159
11/25,4.848985
11/26,4.792244
11/27,4.6823535
11/28,4.948033
11/29,5.0812597
11/30,4.967013
12/01,4.9662404
12/02,4.806896
12/03,4.7623563
12/04,4.8925467
12/05,5.0108924
12/06,5.050806
12/07,4.9011364
12/08,5.035822
12/09,4.8727207
12/10,4.814581
12/11,5.0346203
12/12,4.9763227
12/13,4.8256855
12/14,4.647366
12/15,4.9567947
12/16,5.0326495
12/17,4.796977
12/18,4.613968
12/19,4.4590635
12/20,4.509473
12/21,4.649066
12/22,4.718286
12/23,4.6651196
12/24,4.640389
12/25,4.609428
12/26,4.3514256
12/27,4.1282387
12/28,4.398856
12/29,4.4280677
12/30,4.3766303
12/31,4.3501506
