time,vwind
01/01,-3.2405627
01/02,-3.255101
01/03,-3.213004
01/04,-3.4856262
01/05,-3.4299843
01/06,-3.1998389
01/07,-3.9950454
01/08,-3.2581117
01/09,-2.9966073
01/10,-3.6136162
01/11,-4.241893
01/12,-3.2434936
01/13,-3.2205954
01/14,-3.4857118
01/15,-3.3706882
01/16,-2.5323982
01/17,-2.7707527
01/18,-3.0236912
01/19,-2.2516599
01/20,-2.8691149
01/21,-3.3261096
01/22,-3.3931892
01/23,-3.2905262
01/24,-3.3692272
01/25,-3.6676738
01/26,-2.983416
01/27,-3.207263
01/28,-3.1083164
01/29,-3.0929556
01/30,-3.4123552
01/31,-3.9347968
02/01,-3.338436
02/02,-2.872426
02/03,-2.718251
02/04,-2.9924352
02/05,-3.0263731
02/06,-3.40083
02/07,-2.6940463
02/08,-2.9291763
02/09,-3.242304
02/10,-2.7886517
02/11,-2.4137802
02/12,-3.1390734
02/13,-3.4484804
02/14,-3.3382638
02/15,-2.6999063
02/16,-2.8441312
02/17,-2.9722762
02/18,-3.155094
02/19,-3.4068377
02/20,-2.7112474
02/21,-2.65228
02/22,-2.890824
02/23,-2.76466
02/24,-1.7362328
02/25,-2.2569087
02/26,-2.4992158
02/27,-1.8106889
02/28,-1.6183666
02/29,-1.9800001
03/01,-2.3971264
03/02,-2.598349
03/03,-2.2503955
03/04,-2.7856963
03/05,-2.8116026
03/06,-2.0609167
03/07,-2.6994467
03/08,-1.98778
03/09,-2.0984113
03/10,-2.2317307
03/11,-1.9703457
03/12,-1.9114475
03/13,-1.8265091
03/14,-2.0096025
03/15,-2.098345
03/16,-1.6102966
03/17,-1.1209878
03/18,-0.9895531
03/19,-1.1352881
03/20,-1.7620461
03/21,-1.6113224
03/22,-1.5634648
03/23,-0.79775596
03/24,-0.8303058
03/25,-0.9714172
03/26,-1.329104
03/27,-1.6685104
03/28,-1.3202976
03/29,-1.1196219
03/30,-0.14207174
03/31,-0.6695154
04/01,-1.1473686
04/02,-1.3057789
04/03,-1.7146965
04/04,-1.2514561
04/05,-0.89410233
04/06,-0.36560985
04/07,-0.4929725
04/08,-0.44512635
04/09,-0.8919033
04/10,-0.9896105
04/11,-0.85009855
04/12,-0.5115464
04/13,-1.2113206
04/14,-1.0056466
04/15,-0.51221544
04/16,-0.20189671
04/17,-0.45188567
04/18,-0.78346914
04/19,-0.20783901
04/20,-0.35045823
04/21,-0.74061257
04/22,-0.30964285
04/23,-0.5625629
04/24,-0.3659844
04/25,-0.14128111
04/26,-0.29663107
04/27,-0.8656989
04/28,-0.1658742
04/29,-0.5496097
04/30,-0.6857994
05/01,-0.62167263
