time,vwind
01/01,-1.4384575
01/02,-1.4121488
01/03,-1.0401868
01/04,-1.1797568
01/05,-0.8169255
01/06,-1.1149685
01/07,-0.9650551
01/08,-1.4704881
01/09,-0.9000674
01/10,-0.6235213
01/11,-1.4983544
01/12,-1.1852815
01/13,-0.91399467
01/14,-1.2083318
01/15,-1.0158184
01/16,-1.1748612
01/17,-1.3719395
01/18,-1.3135672
01/19,-1.6317304
01/20,-1.0382944
01/21,-1.3970133
01/22,-1.8566657
01/23,-1.6736255
01/24,-1.8587321
01/25,-1.546736
01/26,-1.9759347
01/27,-1.7977065
01/28,-1.9764909
01/29,-2.0477545
01/30,-1.5444573
01/31,-1.6790382
02/01,-2.3780096
02/02,-1.8765856
02/03,-1.5611793
02/04,-1.2644187
02/05,-1.1377093
02/06,-1.1386919
02/07,-1.5960895
02/08,-2.0430145
02/09,-1.6751273
02/10,-1.8350376
02/11,-1.8852285
02/12,-1.610297
02/13,-1.7699744
02/14,-1.6382284
02/15,-2.1269696
02/16,-1.6543398
02/17,-1.0640141
02/18,-1.0860565
02/19,-1.2769136
02/20,-1.7070056
02/21,-1.5988541
02/22,-1.1384228
02/23,-1.1863421
02/24,-1.2728964
02/25,-1.130667
02/26,-1.2624468
02/27,-0.59427655
02/28,-1.340452
02/29,0.40182155
03/01,-1.4233813
03/02,-0.98783875
03/03,-0.983928
03/04,-0.95403296
03/05,-1.6733412
03/06,-2.020996
03/07,-1.7263896
03/08,-1.0100387
03/09,-1.3726877
03/10,-1.141939
03/11,-0.74839765
03/12,-0.362991
03/13,-0.096986115
03/14,-0.90186816
03/15,-0.8095271
03/16,-0.4400564
03/17,-0.933588
03/18,-0.5801427
03/19,-0.038542572
03/20,-0.5475107
03/21,-1.1719587
03/22,-0.9885525
03/23,-1.127609
03/24,-0.87730795
03/25,-0.8581984
03/26,-1.0378456
03/27,-0.40133268
03/28,-0.38250402
03/29,-0.874693
03/30,-0.5509197
03/31,-0.58068275
04/01,-0.18324366
04/02,-0.36449012
04/03,-0.9451879
04/04,-0.6112635
04/05,-1.1789898
04/06,-0.67986226
04/07,-0.9888623
04/08,-0.46762228
04/09,-0.21160325
04/10,-0.8850635
04/11,-1.0306666
04/12,-0.8909677
04/13,-0.97843003
04/14,-0.90620714
04/15,-1.0557824
04/16,-1.5750579
04/17,-0.35400596
04/18,-0.25681782
04/19,-0.49823657
04/20,0.009725774
04/21,-0.07444967
04/22,-0.65272564
04/23,-0.60944736
04/24,-0.5860765
04/25,-0.33601746
04/26,-0.41758308
04/27,-0.8746832
04/28,0.31814486
04/29,0.2990704
04/30,-0.7834645
05/01,-0.55223936
05/02,-1.0372114
05/03,-0.41589442
05/04,-1.2283837
05/05,-0.35344285
05/06,-0.12889099
05/07,-0.052682687
05/08,0.4719897
05/09,-0.018050557
05/10,0.20987014
05/11,-0.10136052
05/12,-0.93554515
05/13,0.31592062
05/14,0.41767716
05/15,-0.15493213
05/16,-0.10936963
05/17,0.058177892
05/18,0.039865572
05/19,0.17775494
05/20,0.20868999
05/21,-0.05366828
05/22,0.18535417
05/23,0.20328696
05/24,0.07591575
05/25,0.22733495
05/26,0.27348053
05/27,-0.6104634
05/28,-0.122522175
05/29,0.05122578
05/30,-0.12019847
05/31,-0.80835104
06/01,-0.7179912
06/02,-0.4093108
06/03,-0.053007785
06/04,-0.006528034
06/05,-0.25567207
06/06,-0.5352878
06/07,-0.51544344
06/08,-0.31407726
06/09,-0.16670719
06/10,0.34299883
06/11,0.32899565
06/12,-0.91324824
06/13,-0.4265428
06/14,0.32765153
06/15,0.9408179
06/16,0.22932756
06/17,0.121647134
06/18,-0.5086789
06/19,0.5350244
06/20,0.44676247
06/21,0.53028035
06/22,-0.44935742
06/23,0.48085734
06/24,0.19677626
06/25,0.16071783
06/26,0.1840267
06/27,0.31092143
06/28,-0.14119242
06/29,0.4220396
06/30,-0.27291203
07/01,-0.84298277
07/02,-0.2019329
07/03,0.4633206
07/04,-0.16878234
07/05,-0.23306805
07/06,0.7768366
07/07,0.9288576
07/08,-0.29301208
07/09,-0.049971588
07/10,0.49023688
07/11,0.42377898
07/12,0.6523912
07/13,0.2775357
07/14,-0.19237162
07/15,-0.072377354
07/16,-0.3072753
07/17,0.18779412
07/18,0.61472195
07/19,0.55352026
07/20,0.39371905
07/21,0.046955347
07/22,0.30718678
07/23,0.42191392
07/24,0.4600418
07/25,0.46159086
07/26,-0.12188223
07/27,0.090065576
07/28,0.042405054
07/29,0.55235296
07/30,-0.033371054
07/31,0.24330473
08/01,0.69771147
08/02,0.39117983
08/03,0.8529813
08/04,0.37531364
08/05,-0.103408076
08/06,0.64686847
08/07,0.9861092
08/08,1.0162693
08/09,1.2503481
08/10,0.61114407
08/11,-0.12049795
08/12,0.14733565
08/13,0.067123584
08/14,0.29553905
08/15,0.57844967
08/16,0.49883923
08/17,0.6866904
08/18,0.47787902
08/19,0.48510525
08/20,0.5813433
08/21,0.087085135
08/22,0.38186902
08/23,0.9830926
08/24,0.7661426
08/25,0.72315663
08/26,0.6676458
08/27,0.42902884
08/28,0.64902365
08/29,0.811051
08/30,0.32062373
08/31,0.5119768
09/01,0.94367814
09/02,0.56205064
09/03,-0.13229111
09/04,0.08646777
09/05,0.79697776
09/06,1.1397079
09/07,0.3667204
09/08,-0.11731588
09/09,0.98436844
09/10,1.3910192
09/11,0.8426542
09/12,0.6857688
09/13,0.9211889
09/14,0.5815715
09/15,0.7090569
09/16,0.8530956
09/17,0.14499964
09/18,0.3242641
09/19,0.8414454
09/20,1.1853565
09/21,0.5441521
09/22,0.90904486
09/23,0.6648058
09/24,0.44107226
09/25,0.023329873
09/26,0.20028663
09/27,0.9933091
09/28,0.2524118
09/29,-0.22444047
09/30,-0.08637012
10/01,0.40472448
10/02,0.7150131
10/03,0.8284679
10/04,0.7725654
10/05,0.58314294
10/06,0.95665693
10/07,1.0866189
10/08,0.787754
10/09,0.32571653
10/10,0.564963
10/11,0.0017356421
10/12,0.23160797
10/13,1.1082593
10/14,0.6812414
10/15,0.096291974
10/16,-0.106484756
10/17,0.20286348
10/18,0.74779457
10/19,0.32712066
10/20,0.23181199
10/21,0.98211026
10/22,0.8165936
10/23,-0.1213412
10/24,0.21974942
10/25,0.6933586
10/26,0.36335096
10/27,0.35298577
10/28,0.5591211
10/29,0.36248976
10/30,0.32566875
10/31,0.548193
11/01,0.38650462
11/02,0.37822703
11/03,0.37818313
11/04,0.470634
11/05,0.69394875
11/06,0.83414215
11/07,0.67890996
11/08,0.34801504
11/09,0.60981244
11/10,1.1238635
11/11,1.4916625
11/12,1.0237392
11/13,0.4053033
11/14,0.1942144
11/15,0.6627747
11/16,0.83065057
11/17,0.6983462
11/18,0.8306824
11/19,0.5367193
11/20,0.060622822
11/21,0.44346115
11/22,0.8244883
11/23,0.68952006
11/24,0.6039798
11/25,0.5627787
11/26,0.4640561
11/27,0.15720288
11/28,0.36280805
11/29,0.26138154
11/30,0.38347355
12/01,-0.19252597
12/02,0.022554303
12/03,0.5760549
12/04,0.36430678
12/05,-0.35511354
12/06,-0.7520913
12/07,-0.79957116
12/08,-0.6164634
12/09,-0.4976248
12/10,-0.6061869
12/11,-0.6605027
12/12,-0.45726272
12/13,0.30661058
12/14,0.40533572
12/15,-0.2682503
12/16,-0.63285565
12/17,-0.7323831
12/18,-0.36076638
12/19,0.54962504
12/20,0.41238248
12/21,-0.974084
12/22,-0.966139
12/23,-0.5981506
12/24,-1.2011667
12/25,-1.5327356
12/26,-1.0899594
12/27,-1.032649
12/28,-1.9768518
12/29,-2.0696003
12/30,-1.1817923
12/31,-1.6345662
