time,sst
01/01,25.726946
01/02,25.757334
01/03,25.800388
01/04,25.846087
01/05,25.821207
01/06,25.77288
01/07,25.822725
01/08,25.845043
01/09,25.853355
01/10,25.864723
01/11,25.863909
01/12,25.885958
01/13,25.93334
01/14,25.948143
01/15,25.96932
01/16,25.993095
01/17,25.964859
01/18,25.956404
01/19,25.954178
01/20,25.95579
01/21,25.955849
01/22,25.953274
01/23,25.972618
01/24,25.98577
01/25,25.999355
01/26,26.041536
01/27,26.063913
01/28,26.065517
01/29,26.075535
01/30,26.083008
01/31,26.140158
02/01,26.180063
02/02,26.206451
02/03,26.226164
02/04,26.28202
02/05,26.360352
02/06,26.358482
02/07,26.349472
02/08,26.37478
02/09,26.41348
02/10,26.437588
02/11,26.477417
02/12,26.4944
02/13,26.521791
02/14,26.539793
02/15,26.589674
02/16,26.641062
02/17,26.675444
02/18,26.717415
02/19,26.817009
02/20,26.856108
02/21,26.898842
02/22,26.86893
02/23,26.905495
02/24,26.947037
02/25,26.944405
02/26,26.95266
02/27,27.021544
02/28,27.066622
02/29,27.04363
03/01,27.084972
03/02,27.111618
03/03,27.117302
03/04,27.161448
03/05,27.238024
03/06,27.24253
03/07,27.222656
03/08,27.249609
03/09,27.273888
03/10,27.3035
03/11,27.330635
03/12,27.352001
03/13,27.375134
03/14,27.366188
03/15,27.450785
03/16,27.493776
03/17,27.531351
03/18,27.578848
03/19,27.625206
03/20,27.65963
03/21,27.608137
03/22,27.63012
03/23,27.60623
03/24,27.636446
03/25,27.711153
03/26,27.754684
03/27,27.795277
03/28,27.796827
03/29,27.804884
03/30,27.792076
03/31,27.74357
04/01,27.786703
04/02,27.800056
04/03,27.783337
04/04,27.806211
04/05,27.815395
04/06,27.853569
04/07,27.890654
04/08,27.895555
04/09,27.89813
04/10,27.87153
04/11,27.894121
04/12,27.905886
04/13,27.921892
04/14,27.923616
04/15,27.943651
04/16,27.955782
04/17,27.96869
04/18,27.978481
04/19,27.95709
04/20,27.968063
04/21,27.961344
04/22,27.95953
04/23,27.92667
04/24,27.903849
04/25,27.91428
04/26,27.90785
04/27,27.906319
04/28,27.88645
04/29,27.898298
04/30,27.906185
05/01,27.901634
05/02,27.87417
05/03,27.875013
05/04,27.861473
05/05,27.851973
05/06,27.84672
05/07,27.82606
05/08,27.814608
05/09,27.786976
05/10,27.771046
05/11,27.761656
05/12,27.747026
05/13,27.72402
05/14,27.70353
05/15,27.71113
05/16,27.692135
05/17,27.69072
05/18,27.670712
05/19,27.643747
05/20,27.60968
05/21,27.583967
05/22,27.569557
05/23,27.570253
05/24,27.558855
05/25,27.56228
05/26,27.55205
05/27,27.519028
05/28,27.50315
05/29,27.508314
05/30,27.467384
05/31,27.445425
06/01,27.39534
06/02,27.377722
06/03,27.359911
06/04,27.348112
06/05,27.355322
06/06,27.334072
06/07,27.28435
06/08,27.231796
06/09,27.221886
06/10,27.21656
06/11,27.205454
06/12,27.18607
06/13,27.170805
06/14,27.15498
06/15,27.145353
06/16,27.12929
06/17,27.088549
06/18,27.051369
06/19,27.032433
06/20,26.98964
06/21,26.955685
06/22,26.932653
06/23,26.904533
06/24,26.918943
06/25,26.884348
06/26,26.882982
06/27,26.884823
06/28,26.892881
06/29,26.91632
06/30,26.893528
07/01,26.820215
07/02,26.794518
07/03,26.753017
07/04,26.666319
07/05,26.61
07/06,26.570982
07/07,26.548067
07/08,26.544027
07/09,26.520666
07/10,26.48317
07/11,26.474524
07/12,26.474339
07/13,26.453342
07/14,26.401302
07/15,26.390736
07/16,26.381166
07/17,26.366417
07/18,26.322914
07/19,26.296803
07/20,26.25264
07/21,26.259127
07/22,26.262093
07/23,26.282093
07/24,26.239902
07/25,26.189991
07/26,26.162828
