time,sst
12/21,24.690971
12/22,24.697409
12/23,24.748459
12/24,24.754519
12/25,24.770231
12/26,24.771584
12/27,24.760698
12/28,24.805365
12/29,24.80477
12/30,24.84134
12/31,24.868422
