time,sst
01/01,26.063683
01/02,26.077808
01/03,26.094753
01/04,26.159904
01/05,26.228737
01/06,26.252636
01/07,26.278263
01/08,26.260225
01/09,26.246958
01/10,26.255629
01/11,26.21222
01/12,26.1896
01/13,26.146835
01/14,26.07941
01/15,25.980774
01/16,25.98835
01/17,26.047276
01/18,26.083696
01/19,26.102186
01/20,26.090824
01/21,26.063475
01/22,26.065983
01/23,26.044668
01/24,26.008131
01/25,26.047401
01/26,26.143345
01/27,26.160982
01/28,26.27071
01/29,26.33325
01/30,26.341175
01/31,26.3348
02/01,26.33391
02/02,26.37324
02/03,26.399256
02/04,26.376476
02/05,26.375448
02/06,26.365257
02/07,26.31558
02/08,26.308546
02/09,26.31467
02/10,26.327986
02/11,26.416275
02/12,26.357687
02/13,26.339054
02/14,26.320047
02/15,26.361929
02/16,26.353758
02/17,26.31535
02/18,26.35237
02/19,26.388746
02/20,26.468843
02/21,26.45668
02/22,26.492128
02/23,26.53495
02/24,26.571226
02/25,26.433159
02/26,26.492657
02/27,26.517727
02/28,26.542957
02/29,26.394318
03/01,26.545277
03/02,26.562256
03/03,26.627146
03/04,26.657812
03/05,26.65434
03/06,26.70575
03/07,26.745573
03/08,26.727173
03/09,26.723547
03/10,26.7643
03/11,26.787186
03/12,26.841717
03/13,26.83872
03/14,26.878965
03/15,26.920254
03/16,26.899961
03/17,26.849722
03/18,26.803516
03/19,26.825905
03/20,26.803217
03/21,26.791199
03/22,26.822487
03/23,26.861322
03/24,26.863497
03/25,26.907843
03/26,26.97156
03/27,26.95055
03/28,26.980146
03/29,27.057573
03/30,27.142004
03/31,27.166187
04/01,27.196724
04/02,27.274813
04/03,27.301512
04/04,27.357637
04/05,27.376
04/06,27.399954
04/07,27.431734
04/08,27.41358
04/09,27.413504
04/10,27.512896
04/11,27.519604
04/12,27.539497
04/13,27.588842
04/14,27.591816
04/15,27.569498
04/16,27.59167
04/17,27.595543
04/18,27.607857
04/19,27.653772
04/20,27.681944
04/21,27.627651
04/22,27.645994
04/23,27.678738
04/24,27.684937
04/25,27.67536
04/26,27.72415
04/27,27.741388
04/28,27.762989
04/29,27.769945
04/30,27.804626
05/01,27.690275
05/02,27.716864
05/03,27.764744
05/04,27.746597
05/05,27.705307
05/06,27.756113
