time,sst
01/01,29.25531
01/02,29.273964
01/03,29.217335
01/04,29.19858
01/05,29.209568
01/06,29.263739
01/07,29.22425
01/08,29.225264
01/09,29.214516
01/10,29.230967
01/11,29.202034
01/12,29.17851
01/13,29.21653
01/14,29.228811
01/15,29.240316
01/16,29.223713
01/17,29.239378
01/18,29.2501
01/19,29.258213
01/20,29.191668
01/21,29.183247
01/22,29.182133
01/23,29.22475
01/24,29.180698
01/25,29.147646
01/26,29.127007
01/27,29.101423
01/28,29.098524
01/29,29.041332
01/30,29.014753
01/31,29.01066
02/01,29.025017
02/02,29.020353
02/03,29.027462
02/04,29.024433
02/05,28.997854
02/06,28.976938
02/07,28.979364
02/08,28.960482
02/09,28.9249
02/10,28.946213
02/11,28.96601
02/12,29.01096
02/13,28.961664
02/14,28.956306
02/15,28.930471
02/16,28.95082
02/17,28.939539
02/18,28.995623
02/19,28.996187
02/20,28.968699
02/21,28.93116
02/22,28.981112
02/23,28.970726
02/24,29.006865
02/25,28.983805
02/26,28.949715
02/27,28.952417
02/28,28.9571
02/29,28.61
03/01,29.021444
03/02,29.041931
03/03,29.077757
03/04,29.093935
03/05,29.033644
03/06,29.009672
03/07,29.033632
03/08,29.107864
03/09,29.12434
03/10,29.120804
03/11,29.095339
03/12,29.04625
03/13,29.027514
03/14,29.06366
03/15,29.05705
03/16,29.062525
03/17,29.052534
03/18,29.13155
03/19,29.122114
03/20,29.126192
03/21,29.106987
03/22,29.060266
03/23,29.053265
03/24,29.100435
03/25,29.080736
03/26,29.1342
03/27,29.076881
03/28,29.025938
03/29,29.042404
03/30,29.04547
03/31,29.014627
04/01,28.986683
04/02,28.98784
04/03,29.029568
04/04,29.037062
04/05,29.175383
04/06,29.13693
04/07,29.158398
04/08,29.178198
04/09,29.234858
04/10,29.225452
04/11,29.236296
04/12,29.149614
04/13,29.165892
04/14,29.188051
04/15,29.21216
04/16,29.217701
04/17,29.189154
04/18,29.16212
04/19,29.203125
04/20,29.20589
04/21,29.176805
04/22,29.17287
04/23,29.159655
04/24,29.174437
04/25,29.211956
04/26,29.24911
04/27,29.222046
04/28,29.268888
04/29,29.271528
04/30,29.260578
05/01,29.28365
05/02,29.321508
05/03,29.265547
05/04,29.260937
05/05,29.295042
05/06,29.270164
05/07,29.295624
05/08,29.335522
05/09,29.342445
05/10,29.316956
05/11,29.348572
05/12,29.350801
05/13,29.393904
05/14,29.359861
05/15,29.370262
05/16,29.379042
05/17,29.38825
05/18,29.429346
05/19,29.457167
05/20,29.42245
05/21,29.39174
05/22,29.394781
05/23,29.453773
05/24,29.479994
05/25,29.452045
05/26,29.522888
05/27,29.526365
05/28,29.517485
05/29,29.523815
05/30,29.570168
05/31,29.585268
06/01,29.547232
06/02,29.608574
06/03,29.59178
06/04,29.575287
06/05,29.552307
06/06,29.485106
06/07,29.514427
06/08,29.528154
06/09,29.538568
06/10,29.540611
06/11,29.568632
06/12,29.55094
06/13,29.566963
06/14,29.58479
06/15,29.525202
06/16,29.534834
06/17,29.559557
06/18,29.574194
06/19,29.58684
06/20,29.537312
06/21,29.537592
06/22,29.57597
06/23,29.623882
06/24,29.621948
06/25,29.605606
06/26,29.637524
06/27,29.665052
06/28,29.70474
06/29,29.690775
06/30,29.677357
07/01,29.666306
07/02,29.658625
07/03,29.66394
07/04,29.668554
07/05,29.668848
07/06,29.69416
07/07,29.703043
07/08,29.73436
07/09,29.74014
07/10,29.677118
07/11,29.650337
07/12,29.677778
07/13,29.682562
07/14,29.679255
07/15,29.67466
07/16,29.698969
07/17,29.66833
07/18,29.71153
07/19,29.677958
07/20,29.631912
07/21,29.576763
07/22,29.565638
07/23,29.556616
07/24,29.564493
07/25,29.607466
07/26,29.581808
07/27,29.571587
07/28,29.562693
07/29,29.582382
07/30,29.548018
07/31,29.53819
08/01,29.489227
08/02,29.459787
08/03,29.499987
08/04,29.468973
08/05,29.499681
08/06,29.533554
08/07,29.568481
08/08,29.531366
08/09,29.496502
08/10,29.471418
08/11,29.45112
08/12,29.52674
08/13,29.477234
08/14,29.490124
08/15,29.48181
08/16,29.503925
08/17,29.446222
08/18,29.441067
08/19,29.483149
08/20,29.494051
08/21,29.511185
08/22,29.519602
08/23,29.529404
08/24,29.512474
08/25,29.550734
08/26,29.608208
08/27,29.55526
08/28,29.538317
08/29,29.646143
08/30,29.656027
08/31,29.597155
09/01,29.576244
09/02,29.571491
09/03,29.59269
09/04,29.557701
09/05,29.599232
09/06,29.582558
09/07,29.595648
09/08,29.571362
09/09,29.53463
09/10,29.525127
09/11,29.504642
09/12,29.496714
09/13,29.4843
09/14,29.48347
09/15,29.496021
09/16,29.592068
09/17,29.541862
09/18,29.588968
09/19,29.616611
09/20,29.616512
09/21,29.622032
09/22,29.541433
09/23,29.539778
09/24,29.589174
09/25,29.547253
09/26,29.514658
09/27,29.54111
09/28,29.489979
09/29,29.537022
09/30,29.516949
10/01,29.521534
10/02,29.539612
10/03,29.55453
10/04,29.63783
10/05,29.645126
10/06,29.646067
10/07,29.618616
10/08,29.636223
10/09,29.619772
10/10,29.55113
10/11,29.560408
10/12,29.522905
10/13,29.504538
10/14,29.564487
10/15,29.484455
10/16,29.482204
10/17,29.48937
10/18,29.511902
10/19,29.520699
10/20,29.539604
10/21,29.550447
10/22,29.513163
10/23,29.521345
10/24,29.522423
10/25,29.53558
10/26,29.46854
10/27,29.502045
10/28,29.514181
10/29,29.549776
10/30,29.561272
10/31,29.560034
11/01,29.508326
11/02,29.513577
11/03,29.462206
11/04,29.467812
11/05,29.46516
11/06,29.443699
11/07,29.48904
11/08,29.473373
11/09,29.529293
11/10,29.558496
11/11,29.616272
11/12,29.628248
11/13,29.625223
11/14,29.643007
11/15,29.666525
11/16,29.68231
11/17,29.626333
11/18,29.621616
11/19,29.599632
11/20,29.658175
11/21,29.673286
11/22,29.616743
11/23,29.566383
11/24,29.560379
11/25,29.57446
11/26,29.587873
11/27,29.55182
11/28,29.545912
11/29,29.526445
11/30,29.527987
12/01,29.544687
12/02,29.542055
12/03,29.578041
12/04,29.517334
12/05,29.489103
12/06,29.474178
12/07,29.460804
12/08,29.48187
12/09,29.468641
12/10,29.468784
12/11,29.449965
12/12,29.42369
12/13,29.435915
12/14,29.390762
12/15,29.428665
12/16,29.37661
12/17,29.376839
12/18,29.386568
12/19,29.304562
12/20,29.298222
12/21,29.252735
12/22,29.21876
12/23,29.215631
12/24,29.185028
12/25,29.155552
12/26,29.137932
12/27,29.20476
12/28,29.214115
12/29,29.179482
12/30,29.192923
12/31,29.216276
