time,sst
01/01,29.92733
01/02,29.88975
01/03,29.901604
01/04,29.913092
01/05,29.878082
01/06,29.848276
01/07,29.88041
01/08,29.936203
01/09,29.932037
01/10,29.912836
01/11,29.915583
01/12,29.83774
01/13,29.872635
01/14,29.862818
01/15,29.915049
01/16,29.984108
01/17,29.912287
01/18,29.92695
01/19,29.865364
01/20,29.906479
01/21,29.89788
01/22,29.888853
01/23,29.886215
01/24,29.851187
01/25,29.834986
01/26,29.826141
01/27,29.817902
01/28,29.74985
01/29,29.721222
01/30,29.763918
01/31,29.72466
02/01,29.654554
02/02,29.658913
02/03,29.660866
02/04,29.67503
02/05,29.709564
02/06,29.694916
02/07,29.731339
02/08,29.825632
02/09,29.82396
02/10,29.79879
02/11,29.790846
02/12,29.726145
02/13,29.707693
02/14,29.742859
02/15,29.818583
02/16,29.785637
02/17,29.788996
02/18,29.767008
02/19,29.740404
02/20,29.723757
02/21,29.71986
02/22,29.717543
02/23,29.678087
02/24,29.596252
02/25,29.622698
02/26,29.616375
02/27,29.652634
02/28,29.651014
02/29,29.503345
03/01,29.596516
03/02,29.593796
03/03,29.616095
03/04,29.638056
03/05,29.602537
03/06,29.614653
03/07,29.643715
03/08,29.639229
03/09,29.586906
03/10,29.63639
03/11,29.553802
03/12,29.543541
03/13,29.563055
03/14,29.598938
03/15,29.662643
03/16,29.636566
03/17,29.688889
03/18,29.656181
03/19,29.745153
03/20,29.670324
03/21,29.675575
03/22,29.642065
03/23,29.664455
03/24,29.731445
03/25,29.699217
03/26,29.688301
03/27,29.6868
03/28,29.705717
03/29,29.723024
03/30,29.738197
03/31,29.754938
04/01,29.756208
04/02,29.739656
04/03,29.743275
04/04,29.705696
04/05,29.710455
04/06,29.709755
04/07,29.77259
04/08,29.77428
04/09,29.777672
04/10,29.809298
04/11,29.893715
04/12,29.811363
04/13,29.855131
04/14,29.798824
04/15,29.795866
04/16,29.827854
04/17,29.862015
04/18,29.875704
04/19,29.83928
04/20,29.886621
04/21,29.794724
04/22,29.783321
04/23,29.751858
04/24,29.742214
04/25,29.816883
04/26,29.803057
04/27,29.800764
04/28,29.801762
04/29,29.804316
04/30,29.822216
05/01,29.84449
05/02,29.822512
05/03,29.77212
05/04,29.795649
05/05,29.833437
05/06,29.794563
05/07,29.787062
05/08,29.79293
05/09,29.81231
05/10,29.772072
05/11,29.739147
05/12,29.754442
05/13,29.726233
05/14,29.749382
05/15,29.730528
05/16,29.669994
05/17,29.699312
05/18,29.675932
05/19,29.681902
05/20,29.665083
05/21,29.630236
05/22,29.671204
05/23,29.697182
05/24,29.656466
05/25,29.67342
05/26,29.621498
05/27,29.627754
05/28,29.6482
05/29,29.62433
05/30,29.590582
05/31,29.57661
06/01,29.580336
06/02,29.581604
06/03,29.562052
06/04,29.508577
06/05,29.50773
06/06,29.495516
06/07,29.490639
06/08,29.481417
06/09,29.484598
06/10,29.504267
06/11,29.516695
06/12,29.539495
06/13,29.511637
06/14,29.471914
06/15,29.477884
06/16,29.496634
06/17,29.430632
06/18,29.430698
06/19,29.417053
06/20,29.39797
06/21,29.387808
06/22,29.388636
06/23,29.356512
06/24,29.353851
06/25,29.34112
06/26,29.312664
06/27,29.293213
06/28,29.312359
06/29,29.331741
06/30,29.266556
07/01,29.26506
07/02,29.284382
07/03,29.302208
07/04,29.325909
07/05,29.334055
07/06,29.30004
07/07,29.276564
07/08,29.27524
07/09,29.275885
07/10,29.238441
07/11,29.225843
07/12,29.177334
07/13,29.092262
07/14,29.08623
07/15,29.036982
07/16,29.068533
07/17,29.104902
07/18,29.102173
07/19,29.05567
07/20,29.08746
07/21,29.040146
07/22,29.048788
07/23,29.06463
07/24,29.036982
07/25,29.04314
07/26,29.038124
07/27,29.028273
07/28,29.015598
07/29,29.053827
07/30,29.00111
07/31,28.991468
08/01,28.993908
08/02,29.001451
08/03,28.999178
08/04,28.965456
08/05,28.947813
08/06,28.949348
08/07,28.9149
08/08,28.947632
08/09,28.910772
08/10,28.878668
08/11,28.893679
08/12,28.904716
08/13,28.931038
08/14,28.92906
08/15,28.931974
08/16,28.917955
08/17,28.86446
08/18,28.892628
08/19,28.898314
08/20,28.929333
08/21,28.93666
08/22,28.957289
08/23,28.979092
08/24,28.973362
08/25,28.965874
08/26,28.98649
08/27,28.97431
08/28,28.951141
08/29,28.966566
08/30,29.00715
08/31,28.985664
09/01,28.94293
09/02,28.95398
09/03,28.971262
09/04,28.976082
09/05,28.985285
09/06,29.01541
09/07,29.007807
09/08,29.00431
09/09,29.028057
09/10,28.991592
09/11,28.980947
09/12,29.033535
09/13,29.059353
09/14,29.029692
09/15,29.095324
09/16,29.073109
09/17,29.093813
09/18,29.151949
09/19,29.15309
09/20,29.140821
09/21,29.117085
09/22,29.116861
09/23,29.146404
09/24,29.157608
09/25,29.140837
09/26,29.210526
09/27,29.212442
09/28,29.2008
09/29,29.260609
09/30,29.231153
10/01,29.17285
10/02,29.202713
10/03,29.229445
10/04,29.234015
10/05,29.23801
10/06,29.284622
10/07,29.255411
10/08,29.196535
10/09,29.245754
10/10,29.25657
10/11,29.261341
10/12,29.240337
10/13,29.262478
10/14,29.266264
10/15,29.2619
10/16,29.277481
10/17,29.303164
10/18,29.269716
10/19,29.288738
10/20,29.317669
10/21,29.275024
10/22,29.318142
10/23,29.360155
10/24,29.343931
10/25,29.371655
10/26,29.439722
10/27,29.454306
10/28,29.461845
10/29,29.450638
10/30,29.425444
10/31,29.460787
11/01,29.465483
11/02,29.515253
11/03,29.55499
11/04,29.534039
11/05,29.559435
11/06,29.569616
11/07,29.659227
11/08,29.648087
11/09,29.629007
11/10,29.663689
11/11,29.67926
11/12,29.688166
11/13,29.70417
11/14,29.72429
11/15,29.708855
11/16,29.70337
11/17,29.682352
11/18,29.728941
11/19,29.766792
11/20,29.789246
11/21,29.755302
11/22,29.765844
11/23,29.830797
11/24,29.82373
11/25,29.83578
11/26,29.893873
11/27,29.88059
11/28,29.922962
11/29,29.79844
11/30,29.88439
12/01,29.904898
12/02,29.895082
12/03,29.962921
12/04,29.988401
12/05,29.98211
12/06,29.962349
12/07,29.952757
12/08,30.01581
12/09,30.041458
12/10,30.02917
12/11,30.001745
12/12,30.003466
12/13,29.990807
12/14,29.989174
12/15,29.992823
12/16,29.997
12/17,29.975769
12/18,29.942602
12/19,29.925318
12/20,29.952112
12/21,29.933928
12/22,29.991182
12/23,30.018229
12/24,30.050337
12/25,30.116114
12/26,30.10166
12/27,30.08966
12/28,30.051987
12/29,30.089846
12/30,29.997704
12/31,29.960508
