time,uwind
01/01,-6.4063396
01/02,-6.1517987
01/03,-5.8161907
01/04,-5.887433
01/05,-5.920202
01/06,-5.874576
01/07,-6.359942
01/08,-6.271139
01/09,-6.0354795
01/10,-5.923914
01/11,-6.0561457
01/12,-5.995063
01/13,-6.180496
01/14,-6.1422424
01/15,-5.762182
01/16,-5.8401394
01/17,-6.020142
01/18,-5.860097
01/19,-5.709656
01/20,-5.731895
01/21,-6.004483
01/22,-6.278708
01/23,-6.403057
01/24,-6.1598454
01/25,-6.116644
01/26,-5.9136024
01/27,-5.7730503
01/28,-5.6423836
01/29,-5.595479
01/30,-5.96842
01/31,-5.994599
02/01,-6.1616893
02/02,-6.229579
02/03,-6.0900874
02/04,-5.695256
02/05,-6.0827312
02/06,-6.0754724
02/07,-6.050884
02/08,-6.021249
02/09,-6.390539
02/10,-6.215347
02/11,-5.9540205
02/12,-6.0151067
02/13,-5.6265097
02/14,-5.406458
02/15,-5.4936976
02/16,-5.875144
02/17,-5.7389174
02/18,-6.305286
02/19,-6.2408924
02/20,-5.844432
02/21,-5.258789
02/22,-5.42273
02/23,-5.391431
02/24,-5.4632406
02/25,-5.505602
02/26,-5.560966
02/27,-5.6538043
02/28,-5.81689
02/29,-5.558714
03/01,-5.78231
03/02,-5.922839
03/03,-5.8787923
03/04,-5.798238
03/05,-6.056404
03/06,-6.14521
03/07,-5.805817
03/08,-5.3249154
03/09,-4.637103
03/10,-4.670121
03/11,-4.7167406
03/12,-4.565307
03/13,-4.7659674
03/14,-4.8636847
03/15,-5.070505
03/16,-4.7574024
03/17,-4.553235
03/18,-4.827225
03/19,-4.9584737
03/20,-5.2390294
03/21,-4.9816074
03/22,-5.099302
03/23,-4.978809
03/24,-4.412793
03/25,-4.3295155
03/26,-4.376889
03/27,-4.3765435
03/28,-4.5667453
03/29,-4.4591265
03/30,-4.390342
03/31,-4.4752235
04/01,-4.6988454
04/02,-4.634961
04/03,-4.2626195
04/04,-4.2808228
04/05,-4.2975044
04/06,-4.1009045
04/07,-3.6732984
04/08,-3.5480645
04/09,-3.4818468
04/10,-3.820019
04/11,-3.8832746
04/12,-4.3168416
04/13,-3.963801
04/14,-4.3201528
04/15,-4.3774004
04/16,-4.404257
04/17,-4.215531
