time,uwind
10/31,-1.0157895
11/01,-0.8368421
11/02,-1.2578948
11/03,-1.1421053
11/04,-0.7052632
11/05,-0.83684206
11/06,-1.2263157
11/07,-0.74210525
11/08,-0.73684204
11/09,-0.72105265
11/10,0.16315788
11/11,0.54736847
11/12,0.465
11/13,0.3
11/14,0.08999996
11/15,-0.11999999
11/16,-0.53499997
11/17,-0.72380954
11/18,-0.26190478
11/19,-0.42857143
11/20,0.052380938
11/21,-0.6285714
11/22,-0.6666667
11/23,-0.93333334
11/24,-0.75238097
11/25,-0.7714285
11/26,-0.50476193
11/27,-0.52380955
11/28,-0.39047617
11/29,-1.41
11/30,-1.1
12/01,-1.4761904
12/02,-1.6380953
12/03,-1.0571429
12/04,-0.7190476
12/05,-0.47619048
12/06,-0.99523807
12/07,-1.0952381
12/08,-0.70476186
12/09,0.047619026
12/10,0.5619047
12/11,-0.29047626
12/12,-0.47619048
12/13,-0.23157895
12/14,-0.40499997
12/15,-0.044999994
12/16,-0.585
12/17,-0.93500006
12/18,-0.91999996
12/19,-0.22000003
12/20,-0.23500001
12/21,-0.019047646
12/22,-0.6952381
12/23,-1.4666666
12/24,-1.565
12/25,-2.7350001
12/26,-2.6285715
12/27,-2.1047618
12/28,-1.3190477
12/29,-0.9714286
12/30,-0.6666666
12/31,-1.4
