time,uwind
01/01,-3.1114638
01/02,-3.1307414
01/03,-2.881223
01/04,-2.7614443
01/05,-3.1970334
01/06,-3.680059
01/07,-3.2476804
01/08,-3.3586478
01/09,-3.9984498
01/10,-3.3377125
01/11,-2.8672934
01/12,-3.5340858
01/13,-3.7980514
01/14,-3.8171678
01/15,-3.7223463
01/16,-3.8788328
01/17,-3.711544
01/18,-3.0744615
01/19,-3.04291
01/20,-3.2399774
01/21,-3.1789198
01/22,-2.7958388
01/23,-3.0278914
01/24,-3.512798
01/25,-3.6268833
01/26,-4.061444
01/27,-4.696162
01/28,-3.990309
01/29,-3.9255967
01/30,-4.349409
01/31,-4.0452223
02/01,-4.0080357
02/02,-4.19154
02/03,-4.3252378
02/04,-3.6692495
02/05,-3.6941423
02/06,-3.6230721
02/07,-4.3617826
02/08,-4.2884173
02/09,-4.1827407
02/10,-4.4330897
02/11,-3.8753166
02/12,-3.3126264
02/13,-2.86617
02/14,-2.7759664
02/15,-3.147959
02/16,-3.4877305
02/17,-4.725224
02/18,-4.3488626
02/19,-4.26257
02/20,-4.3278055
02/21,-4.553712
02/22,-3.8050418
02/23,-4.0426373
02/24,-3.7825954
02/25,-3.807438
02/26,-4.1467557
02/27,-3.9480398
02/28,-3.928059
02/29,-3.1535819
03/01,-4.0898395
03/02,-4.3885455
03/03,-4.218836
03/04,-4.485386
03/05,-4.215586
03/06,-4.1273274
03/07,-3.942306
03/08,-4.287906
03/09,-4.520723
03/10,-4.315119
03/11,-4.1867123
03/12,-4.0274363
03/13,-4.1146436
03/14,-4.182436
03/15,-4.6784883
03/16,-5.1747584
03/17,-4.521133
03/18,-4.0914493
03/19,-3.865054
03/20,-3.7419229
03/21,-4.272766
03/22,-4.6049027
03/23,-4.30109
03/24,-3.6700785
03/25,-3.5869663
03/26,-3.8872528
03/27,-4.079806
03/28,-3.8624957
03/29,-4.136718
03/30,-3.8453474
03/31,-4.0469184
04/01,-3.7616937
04/02,-3.6408772
04/03,-3.8181946
04/04,-3.9451675
04/05,-4.004826
04/06,-3.989439
04/07,-4.23288
04/08,-4.032316
04/09,-4.370889
04/10,-4.2661138
04/11,-4.358395
04/12,-4.251179
04/13,-3.831323
04/14,-3.7907088
04/15,-3.8333104
04/16,-3.9060957
04/17,-4.281628
04/18,-4.2348847
04/19,-3.7340817
04/20,-3.7629395
04/21,-3.733437
04/22,-3.8541884
04/23,-3.93463
04/24,-3.9959173
04/25,-4.013566
04/26,-3.9886625
04/27,-3.8701324
04/28,-3.7093108
04/29,-4.1787014
04/30,-4.567302
05/01,-4.716915
05/02,-4.572456
05/03,-4.213981
05/04,-4.581823
05/05,-4.1725993
05/06,-4.097281
05/07,-3.9355533
05/08,-4.238922
05/09,-4.387835
05/10,-4.3065376
05/11,-4.154988
05/12,-3.8381383
05/13,-3.6827545
05/14,-3.8463202
05/15,-3.7507553
05/16,-3.475548
05/17,-3.5561574
05/18,-3.1530304
05/19,-2.8039808
05/20,-2.9467025
05/21,-3.1699917
05/22,-3.4745257
05/23,-3.5601656
05/24,-3.4090405
05/25,-3.196333
05/26,-2.8273587
05/27,-3.3866658
05/28,-3.632867
05/29,-3.3365846
05/30,-3.1269293
05/31,-3.1039994
06/01,-3.4093623
06/02,-3.865311
06/03,-3.6863728
06/04,-3.7409916
06/05,-3.3513215
06/06,-4.0911593
06/07,-4.3212337
06/08,-4.012127
06/09,-4.100791
06/10,-3.870785
06/11,-3.9006033
06/12,-4.0559926
06/13,-4.02349
06/14,-4.198122
06/15,-4.310468
06/16,-4.4413695
06/17,-3.8268032
06/18,-3.5915508
06/19,-3.8492858
06/20,-3.9737697
06/21,-3.7377386
06/22,-3.4991627
06/23,-3.6262724
06/24,-4.2213087
06/25,-4.515507
06/26,-3.9305131
06/27,-3.8848505
06/28,-3.836529
06/29,-3.6007745
06/30,-3.7007945
07/01,-3.6085956
07/02,-3.7240663
07/03,-4.1182313
07/04,-4.2562346
07/05,-4.0467896
07/06,-4.0758944
07/07,-3.679451
07/08,-3.4889116
07/09,-3.874953
07/10,-4.1906796
07/11,-3.8984697
07/12,-4.0030413
07/13,-4.2184186
07/14,-4.2344294
07/15,-4.4371448
07/16,-4.789716
07/17,-4.703694
07/18,-4.5631986
07/19,-4.5621114
07/20,-4.870233
07/21,-4.7808814
07/22,-4.1413646
07/23,-4.3442383
07/24,-4.6316113
07/25,-4.5085607
07/26,-4.496842
07/27,-4.601537
07/28,-4.4049287
07/29,-4.363092
07/30,-4.5725193
07/31,-4.917562
08/01,-4.2866383
08/02,-4.2803197
08/03,-4.2087655
08/04,-4.178976
08/05,-4.0850906
08/06,-3.990904
08/07,-4.105745
08/08,-4.5288587
08/09,-4.523945
08/10,-4.141929
08/11,-3.9022064
08/12,-3.5178025
08/13,-3.066707
08/14,-3.266225
08/15,-3.1984959
08/16,-3.4870396
08/17,-3.858647
08/18,-4.290155
08/19,-4.3561873
08/20,-4.629683
08/21,-4.882831
08/22,-4.900169
08/23,-4.7380013
08/24,-4.5454955
08/25,-4.2454114
08/26,-4.0230627
08/27,-3.983188
08/28,-4.0591784
08/29,-3.5639806
08/30,-3.7654266
08/31,-4.247839
09/01,-4.4071774
09/02,-4.6320972
09/03,-4.681823
09/04,-4.263983
09/05,-4.6254478
09/06,-5.0426373
09/07,-5.134908
09/08,-4.5738783
09/09,-4.762956
09/10,-4.827318
09/11,-4.6908236
09/12,-4.719849
09/13,-4.898238
09/14,-5.1094184
09/15,-4.7924976
09/16,-4.868905
09/17,-4.7390056
09/18,-4.1867266
09/19,-4.068974
09/20,-3.9508853
09/21,-4.2395453
09/22,-4.141256
09/23,-3.9421668
09/24,-4.1453695
09/25,-4.091706
09/26,-4.2150836
09/27,-3.9469213
09/28,-4.6962533
09/29,-5.0963774
09/30,-4.7330775
10/01,-4.5001597
10/02,-4.4748726
10/03,-4.209835
10/04,-4.2822375
10/05,-4.18532
10/06,-3.704738
10/07,-3.3479693
10/08,-3.6413393
10/09,-3.8133428
10/10,-3.7112744
10/11,-3.986243
10/12,-3.6535609
10/13,-3.1230762
10/14,-3.3354635
10/15,-2.997789
10/16,-3.2321985
10/17,-3.456403
10/18,-3.44528
10/19,-4.015667
10/20,-3.697693
10/21,-3.8037415
10/22,-3.9818761
10/23,-4.0828576
10/24,-3.459329
10/25,-2.8929539
10/26,-3.2695572
10/27,-3.155012
10/28,-3.055468
10/29,-3.4052393
10/30,-3.717949
10/31,-4.0940375
11/01,-4.7844763
11/02,-4.4012437
11/03,-3.9092093
11/04,-4.176156
11/05,-3.9140408
11/06,-3.8452368
11/07,-3.3783817
11/08,-3.5983114
11/09,-3.5599792
11/10,-3.6709507
11/11,-3.7978153
11/12,-3.64364
11/13,-3.9691982
11/14,-3.6939497
11/15,-3.83375
11/16,-3.9339693
11/17,-3.3729334
11/18,-3.3393114
11/19,-2.9239187
11/20,-3.1195264
11/21,-3.7460785
11/22,-4.0557075
11/23,-3.8625243
11/24,-3.3386912
11/25,-3.541945
11/26,-3.5472875
11/27,-2.9289515
11/28,-3.298512
11/29,-3.7477293
11/30,-3.0360305
12/01,-2.5662754
12/02,-2.294595
12/03,-2.6907682
12/04,-1.9697942
12/05,-2.1121397
12/06,-2.4737484
12/07,-2.7585485
12/08,-2.7328935
12/09,-2.8266218
12/10,-3.0317395
12/11,-3.3850894
12/12,-3.6660123
12/13,-3.3053498
12/14,-2.8441195
12/15,-2.7296293
12/16,-3.1756582
12/17,-3.5489562
12/18,-3.541084
12/19,-3.4628763
12/20,-2.74304
12/21,-2.6504345
12/22,-2.745178
12/23,-2.8022223
12/24,-2.9459822
12/25,-2.8701444
12/26,-3.1339045
12/27,-3.7074387
12/28,-3.8134124
12/29,-3.8950408
12/30,-3.5860448
12/31,-3.3088589
