time,uwind
01/01,-3.8944445
01/02,-4.266667
01/03,-4.1611114
01/04,-3.955556
01/05,-3.838889
01/06,-4.1055555
01/07,-4.5833335
01/08,-4.8500004
01/09,-4.55
01/10,-4.2166667
01/11,-3.983333
01/12,-3.9777777
01/13,-4.788889
01/14,-4.2555556
01/15,-4.1055555
01/16,-3.6722221
01/17,-3.952941
01/18,-3.766667
01/19,-3.622222
01/20,-4.061111
01/21,-4.3944445
01/22,-4.5944443
01/23,-4.383333
01/24,-4.366667
01/25,-4.538889
01/26,-4.3944445
01/27,-4.2722225
01/28,-4.3999996
01/29,-4.6944447
01/30,-4.888889
01/31,-4.7555556
02/01,-5.070588
02/02,-5.22353
02/03,-5.064706
02/04,-5.282353
02/05,-4.970588
02/06,-5.0411763
02/07,-3.93125
02/08,-4.7235293
02/09,-4.958823
02/10,-4.3
02/11,-4.6588235
02/12,-4.535294
02/13,-4.9941177
02/14,-4.7588234
02/15,-4.464706
02/16,-4.516667
02/17,-4.0
02/18,-4.238889
02/19,-4.076471
02/20,-4.1555557
02/21,-4.711111
02/22,-4.188889
02/23,-4.4444447
02/24,-3.8647058
02/25,-3.9055557
02/26,-3.1999998
02/27,-3.1
02/28,-4.1555557
02/29,-3.2666664
03/01,-4.082353
03/02,-4.0
03/03,-4.2941175
03/04,-4.733333
03/05,-3.9222221
03/06,-4.311111
03/07,-4.5277777
03/08,-3.5500002
03/09,-3.6444445
03/10,-4.1157894
03/11,-4.5789475
03/12,-3.7421052
03/13,-3.7105262
03/14,-4.010526
03/15,-4.726316
03/16,-5.1578946
03/17,-4.505263
03/18,-3.8210526
03/19,-3.8368423
03/20,-3.6684208
03/21,-3.6052632
03/22,-4.3263154
03/23,-4.0842104
03/24,-4.494737
03/25,-4.036842
03/26,-4.457895
03/27,-4.8526316
03/28,-4.7894735
03/29,-4.4368424
03/30,-3.5684211
03/31,-4.105263
04/01,-4.457895
04/02,-4.1789474
04/03,-3.863158
04/04,-3.9684212
04/05,-4.0947366
04/06,-3.9736843
04/07,-3.5631578
04/08,-3.8368423
04/09,-3.1526318
04/10,-2.7736843
04/11,-2.805263
04/12,-2.868421
04/13,-2.9894736
04/14,-4.042105
04/15,-3.4263158
04/16,-3.5473685
04/17,-3.688889
04/18,-3.5222223
04/19,-3.3666666
04/20,-3.9444444
04/21,-3.8444443
04/22,-3.661111
04/23,-4.0277777
04/24,-3.8833334
04/25,-3.8555555
04/26,-3.9666667
04/27,-4.1894736
04/28,-4.226316
04/29,-4.0894737
04/30,-4.1526318
05/01,-3.6631577
05/02,-4.668421
05/03,-4.0684214
05/04,-4.6944447
05/05,-4.2444444
05/06,-3.838889
05/07,-3.9277775
05/08,-3.9277775
05/09,-4.0944443
05/10,-4.1666665
05/11,-3.5166667
05/12,-3.0333333
05/13,-2.5055554
05/14,-3.1388888
05/15,-2.1166666
05/16,-2.6277778
05/17,-3.0666666
05/18,-1.7055556
05/19,-2.264706
05/20,-1.9294118
05/21,-2.7470589
05/22,-3.0529413
05/23,-2.6944444
05/24,-3.2294118
05/25,-3.2529411
05/26,-3.5666666
05/27,-3.375
05/28,-3.2
05/29,-3.31875
05/30,-3.82
05/31,-3.0600002
06/01,-3.0866666
