time,uwind
01/01,-5.34924
01/02,-4.8274
01/03,-4.5784745
01/04,-5.0348597
01/05,-5.1519966
01/06,-5.271768
01/07,-5.650899
01/08,-5.678306
01/09,-5.8178835
01/10,-5.4606333
01/11,-4.8892922
01/12,-5.206697
01/13,-5.496034
01/14,-5.3365083
01/15,-5.4116488
01/16,-5.5865245
01/17,-5.273482
01/18,-5.0739956
01/19,-5.039027
01/20,-5.025362
01/21,-4.772441
01/22,-4.7733417
01/23,-5.0620036
01/24,-5.35456
01/25,-5.354185
01/26,-5.8255935
01/27,-5.807984
01/28,-5.8066783
01/29,-5.834805
01/30,-5.949739
01/31,-5.7765775
02/01,-5.649247
02/02,-5.897739
02/03,-6.086839
02/04,-5.549747
02/05,-5.38481
02/06,-5.816821
02/07,-6.0953417
02/08,-5.4843316
02/09,-5.2354436
02/10,-5.2128763
02/11,-5.082552
02/12,-4.563167
02/13,-4.3712544
02/14,-4.741633
02/15,-4.5005774
02/16,-4.9853697
02/17,-5.836284
02/18,-5.691552
02/19,-5.628236
02/20,-5.4856577
02/21,-5.202563
02/22,-4.7200108
02/23,-5.4019666
02/24,-5.423551
02/25,-5.8492236
02/26,-5.4312124
02/27,-5.6977444
02/28,-5.5152903
02/29,-5.6288233
03/01,-5.37585
03/02,-5.690201
03/03,-5.3169203
03/04,-5.814619
03/05,-6.178142
03/06,-5.5676064
03/07,-5.048334
03/08,-5.649883
03/09,-6.249098
03/10,-5.594742
03/11,-5.5366726
03/12,-5.574877
03/13,-5.2022533
03/14,-5.430525
03/15,-5.825703
03/16,-5.929578
03/17,-5.782899
03/18,-5.5788274
03/19,-5.3618793
03/20,-5.121084
03/21,-5.470858
03/22,-5.342216
03/23,-5.276056
03/24,-5.156683
03/25,-4.958526
03/26,-5.2789345
03/27,-5.294826
03/28,-5.2057276
03/29,-5.3599076
03/30,-5.4414916
03/31,-5.2192307
04/01,-4.660267
04/02,-4.8114495
04/03,-5.2268806
04/04,-5.67066
04/05,-5.7455425
04/06,-5.4500575
04/07,-5.184261
04/08,-4.4725556
04/09,-4.9706016
04/10,-5.246109
04/11,-5.163351
04/12,-5.2159424
04/13,-5.348204
04/14,-4.9379754
04/15,-4.839832
04/16,-5.044224
