time,uwind
10/30,-2.26119
10/31,-2.1788862
11/01,-2.5177276
11/02,-2.4716494
11/03,-2.9195073
11/04,-2.8506434
11/05,-2.7278912
11/06,-2.9399586
11/07,-2.9662833
11/08,-2.0254989
11/09,-2.1211147
11/10,-2.124125
11/11,-1.2149204
11/12,-1.1304117
11/13,-1.283959
11/14,-0.6195323
11/15,-1.3771874
11/16,-1.3935322
11/17,-1.6200094
11/18,-0.8435537
11/19,-1.1115918
11/20,-1.109131
11/21,-1.4709677
11/22,-1.1143864
11/23,-1.3625401
11/24,-1.4305482
11/25,-1.3329393
11/26,-1.1881683
11/27,-1.2454888
11/28,-0.853974
11/29,-1.2398834
11/30,-1.49645
12/01,-1.6497201
12/02,-1.6808673
12/03,-1.3536874
12/04,-0.9930575
12/05,-0.63452005
12/06,-0.6702119
12/07,-0.46808955
12/08,0.0064644674
12/09,0.24356794
12/10,0.34804404
12/11,0.2576576
12/12,0.2709328
12/13,0.40820104
12/14,0.3368833
12/15,-0.13000034
12/16,-0.33733514
12/17,0.2917939
12/18,0.16550037
12/19,-0.18718092
12/20,-0.8497429
12/21,-1.4300288
12/22,-0.7209934
12/23,-0.52418333
12/24,-0.09855406
12/25,-0.18864201
12/26,0.053470947
12/27,0.5272097
12/28,0.57301825
12/29,0.98199534
12/30,2.0064054
12/31,1.7220248
