time,uwind
01/01,1.3666667
01/02,1.5666666
01/03,1.4619048
01/04,1.7571429
01/05,2.1238093
01/06,2.4571428
01/07,1.7809525
01/08,1.7857143
01/09,1.7285714
01/10,2.415
01/11,2.495238
01/12,2.195238
01/13,2.1380954
01/14,2.266667
01/15,2.057143
01/16,0.9333333
01/17,0.23809521
01/18,0.6904762
01/19,1.4666666
01/20,1.4238095
01/21,1.51
01/22,1.0666666
01/23,1.4333334
01/24,1.9428571
01/25,1.8904762
01/26,1.6095238
01/27,1.0238096
01/28,0.9
01/29,0.7285714
01/30,1.1
01/31,1.4523809
02/01,1.0619048
02/02,0.60476196
02/03,0.05714282
02/04,0.009999981
02/05,0.005263106
02/06,-0.17499998
02/07,-0.3
02/08,0.4619047
02/09,0.25238097
02/10,-0.3285714
02/11,-0.40952381
02/12,0.22380954
02/13,-0.16190477
02/14,-0.42857143
02/15,-0.24210523
02/16,-0.026315814
02/17,0.7578947
02/18,0.47894743
02/19,0.4578947
02/20,-0.0894737
02/21,0.03157897
02/22,0.08888892
02/23,0.3368421
02/24,0.665
02/25,1.695
02/26,0.5199999
02/27,-0.59499997
02/28,-0.35500002
02/29,-1.6
03/01,0.07499997
03/02,-0.64
03/03,-0.8299999
03/04,-0.10500009
03/05,0.78999996
03/06,1.01
03/07,0.42000002
03/08,1.05
03/09,1.2190477
03/10,0.72380954
03/11,0.09523807
03/12,0.25454548
03/13,0.55909085
03/14,0.5863637
03/15,-0.17727269
03/16,-0.29545453
03/17,-0.25909093
03/18,0.60476184
03/19,0.40434784
03/20,-0.13913041
03/21,-0.6333334
03/22,-0.35217392
03/23,-0.126087
03/24,0.21363634
03/25,0.14090909
03/26,0.81739134
03/27,0.6347826
03/28,0.07391304
03/29,-0.32608697
03/30,-0.1391304
03/31,-0.10869562
04/01,-0.5739131
04/02,-0.5454545
04/03,-0.4652174
04/04,-0.4478261
04/05,0.030434769
04/06,0.48636368
04/07,0.4045455
04/08,-0.054545414
04/09,-0.6363636
04/10,-0.049999997
04/11,-0.014285678
04/12,0.43181822
04/13,0.49090907
04/14,0.24090908
04/15,-0.35
04/16,0.10000002
04/17,0.10454543
04/18,0.018181823
04/19,-0.24090914
04/20,0.17142856
04/21,-0.47727272
04/22,-0.35909086
04/23,-0.8954546
04/24,-0.74090916
04/25,-1.0380952
04/26,-1.47
04/27,-1.1095238
04/28,-1.0285714
04/29,-0.60952383
04/30,-0.40476185
05/01,-0.85454553
05/02,-1.1454545
05/03,-1.2590909
05/04,-1.2363635
05/05,-1.8272728
05/06,-1.4
05/07,-1.3045455
05/08,-1.5409089
05/09,-0.99090904
05/10,-0.70454544
