time,uwind
01/01,-2.8050187
01/02,-2.7239048
01/03,-2.4970775
01/04,-2.2845533
01/05,-3.158489
01/06,-3.4963367
01/07,-3.7305615
01/08,-3.7019188
01/09,-4.026708
01/10,-3.6071293
01/11,-3.3402672
01/12,-3.3925254
01/13,-3.5140972
01/14,-3.433035
01/15,-3.401271
01/16,-2.910228
01/17,-2.6373036
01/18,-2.1672268
01/19,-2.3921986
01/20,-2.9294038
01/21,-2.783946
01/22,-3.2233398
01/23,-3.2807705
01/24,-3.6329193
01/25,-4.1491904
01/26,-4.1281853
01/27,-4.124024
01/28,-4.0957
01/29,-2.9901657
01/30,-3.0564508
01/31,-3.2152264
02/01,-2.884829
02/02,-3.2801888
02/03,-2.7791336
02/04,-2.603659
02/05,-2.7849932
02/06,-3.4740043
02/07,-3.5642562
02/08,-3.725846
02/09,-2.8496435
02/10,-3.5114872
02/11,-3.1789432
02/12,-2.5892293
02/13,-2.4124324
02/14,-2.728738
02/15,-3.131044
02/16,-3.1489325
02/17,-3.2970052
02/18,-3.5504105
02/19,-3.6547832
02/20,-3.8857892
02/21,-3.661532
02/22,-3.3876317
02/23,-2.9599042
02/24,-3.3793507
02/25,-2.8476257
02/26,-2.843694
02/27,-3.4109545
02/28,-2.8506181
02/29,-2.5250175
03/01,-2.8818269
03/02,-3.6248279
03/03,-4.083682
03/04,-3.7568917
03/05,-4.3284216
03/06,-4.351154
03/07,-4.1875625
03/08,-4.42617
03/09,-4.6380076
03/10,-4.451789
03/11,-4.155467
03/12,-3.926117
03/13,-4.098342
03/14,-4.413276
03/15,-4.5127983
03/16,-4.5048046
03/17,-4.3644614
03/18,-3.879976
03/19,-3.7468472
03/20,-3.8997855
03/21,-3.9429417
03/22,-3.4205081
03/23,-3.474307
03/24,-3.4326031
03/25,-2.7607186
03/26,-2.693861
03/27,-3.4882472
03/28,-3.6972344
03/29,-4.523604
03/30,-3.7797663
03/31,-3.5118613
04/01,-2.907568
04/02,-3.0917416
04/03,-3.4040897
04/04,-3.5836153
04/05,-3.8771334
04/06,-4.4291434
04/07,-4.31007
04/08,-3.8390257
04/09,-3.2442043
04/10,-3.569961
04/11,-3.4135425
04/12,-3.5037506
04/13,-3.5247896
04/14,-3.803009
04/15,-3.9660943
04/16,-3.4306026
04/17,-3.7294118
04/18,-3.5229633
04/19,-3.6288152
04/20,-3.7510452
04/21,-3.7423337
04/22,-3.28403
04/23,-3.9736512
04/24,-3.942645
04/25,-4.113346
04/26,-3.6268616
04/27,-3.1044476
04/28,-3.1199243
04/29,-3.6436334
04/30,-3.7192948
05/01,-4.2029
05/02,-4.1261535
05/03,-4.414369
05/04,-4.393627
05/05,-4.6175723
05/06,-4.054539
05/07,-4.1594524
05/08,-4.116912
05/09,-4.2002077
05/10,-4.3456106
05/11,-4.4271135
05/12,-4.1402965
05/13,-3.6088698
05/14,-3.3003647
05/15,-3.5502517
05/16,-3.0399044
05/17,-3.0063996
05/18,-2.6777363
05/19,-2.5698783
05/20,-3.1202402
05/21,-3.197769
05/22,-3.711113
05/23,-3.579108
05/24,-3.9636059
05/25,-3.9997218
05/26,-3.586076
05/27,-3.560805
05/28,-3.5717216
05/29,-3.7259884
05/30,-2.7979038
05/31,-3.266436
06/01,-3.1246464
06/02,-3.6401162
06/03,-4.023736
06/04,-3.9431653
06/05,-3.9185398
06/06,-3.585997
06/07,-4.018551
06/08,-4.31639
06/09,-4.4552035
06/10,-3.7190592
06/11,-3.7392876
06/12,-4.3188934
06/13,-4.5589294
06/14,-4.7930923
06/15,-4.231928
06/16,-4.2724047
06/17,-4.913155
06/18,-4.8319716
06/19,-4.800668
06/20,-4.257417
06/21,-4.5660114
06/22,-4.270564
06/23,-4.4608426
06/24,-5.1090918
06/25,-5.2939963
06/26,-5.104206
06/27,-4.4781914
06/28,-4.6624565
06/29,-4.655857
06/30,-4.34525
07/01,-4.425885
07/02,-4.567578
07/03,-5.045453
07/04,-5.5718164
07/05,-5.419064
07/06,-5.2358017
07/07,-4.8788896
07/08,-5.06569
07/09,-4.7735257
07/10,-4.765581
07/11,-5.5680184
07/12,-5.5380206
07/13,-4.983841
07/14,-4.947586
07/15,-5.394229
07/16,-5.7179503
07/17,-5.7802334
07/18,-5.708886
07/19,-5.7584124
07/20,-5.891112
07/21,-5.7497773
07/22,-5.658828
07/23,-5.443337
07/24,-5.4463134
07/25,-5.6012764
07/26,-5.238564
07/27,-5.356213
07/28,-5.514741
07/29,-5.9522014
07/30,-6.0640407
07/31,-5.6333337
08/01,-5.391736
08/02,-5.61991
08/03,-6.034797
08/04,-5.809067
08/05,-5.6381745
08/06,-5.5606318
08/07,-5.232471
08/08,-5.615565
08/09,-5.6872435
08/10,-5.541225
08/11,-5.112639
08/12,-5.293563
08/13,-4.975665
08/14,-5.103393
08/15,-5.264262
08/16,-5.4074125
08/17,-5.2313204
08/18,-5.534031
08/19,-5.71815
08/20,-5.531325
08/21,-5.371902
08/22,-5.165285
08/23,-5.3749847
08/24,-5.336153
08/25,-5.510101
08/26,-5.926375
08/27,-5.718767
08/28,-5.2343907
08/29,-4.6341014
08/30,-4.870672
08/31,-5.3988514
09/01,-5.4199367
09/02,-5.7264066
09/03,-5.6886306
09/04,-5.573896
09/05,-5.3379917
09/06,-5.2921753
09/07,-5.0668416
09/08,-5.1512494
09/09,-5.717236
09/10,-5.6065927
09/11,-5.339863
09/12,-5.5858912
09/13,-5.8301115
09/14,-5.6570134
09/15,-5.296503
09/16,-5.5325227
09/17,-5.603131
09/18,-5.19291
09/19,-4.980806
09/20,-4.64596
09/21,-5.0986876
09/22,-4.943749
09/23,-4.9109
09/24,-4.5721326
09/25,-4.499496
09/26,-4.969468
09/27,-5.0972486
09/28,-5.157288
09/29,-5.354873
09/30,-5.437044
10/01,-4.9471316
10/02,-4.6877728
10/03,-4.6213584
10/04,-4.5442553
10/05,-4.6976457
10/06,-4.576253
10/07,-4.296072
10/08,-4.2178025
10/09,-4.927554
10/10,-4.604152
10/11,-3.921454
10/12,-4.5340033
10/13,-4.5096474
10/14,-4.2436237
10/15,-3.9603183
10/16,-3.4503584
10/17,-3.8714294
10/18,-3.72108
10/19,-3.6911898
10/20,-3.0254536
10/21,-3.4395187
10/22,-3.8941517
10/23,-4.1134434
10/24,-3.344279
10/25,-2.7608788
10/26,-3.269961
10/27,-3.1190302
10/28,-3.2434957
10/29,-3.7474844
10/30,-3.9018524
10/31,-3.6089284
11/01,-4.2827473
11/02,-4.9769945
11/03,-4.0259686
11/04,-3.5303888
11/05,-4.1123133
11/06,-4.142987
11/07,-3.6256812
11/08,-3.6698198
11/09,-3.4363756
11/10,-3.3798304
