time,iso20
01/01,163.58623
01/02,162.94194
01/03,162.79564
01/04,163.44586
01/05,162.27155
01/06,162.59921
01/07,162.14395
01/08,161.6859
01/09,162.7969
01/10,161.78496
01/11,162.35976
01/12,161.73894
01/13,161.19907
01/14,160.58788
01/15,160.96265
01/16,160.4764
01/17,160.67188
01/18,161.25885
01/19,161.41637
01/20,161.07495
01/21,161.10301
01/22,162.14868
01/23,162.31969
01/24,161.88081
01/25,160.82304
01/26,161.45918
01/27,163.66391
01/28,162.86565
01/29,161.8845
01/30,162.69853
01/31,163.61264
02/01,163.11954
02/02,164.06647
02/03,163.29628
02/04,164.36119
02/05,165.56638
02/06,164.75166
02/07,165.21257
02/08,165.95268
02/09,165.74243
02/10,164.59987
02/11,165.67647
02/12,166.25732
02/13,165.51247
02/14,164.69267
02/15,165.80951
02/16,168.01897
02/17,167.41719
02/18,166.49277
02/19,166.34666
02/20,166.39877
02/21,167.35059
02/22,166.97899
02/23,166.81187
02/24,166.29814
02/25,166.63632
02/26,166.70049
02/27,166.79129
02/28,166.45245
02/29,166.11469
03/01,167.11322
03/02,166.47519
03/03,166.79884
03/04,166.20119
03/05,165.86514
03/06,165.74384
03/07,166.06209
03/08,165.66344
03/09,165.51915
03/10,165.93573
03/11,165.11018
03/12,165.53558
03/13,166.19041
03/14,165.78714
03/15,165.13785
03/16,164.807
03/17,165.48065
03/18,165.20656
03/19,166.32494
03/20,166.49277
03/21,166.95653
03/22,166.3558
03/23,167.1295
03/24,166.3799
03/25,167.3536
03/26,166.62375
03/27,166.42177
03/28,166.35976
03/29,165.48409
03/30,165.6508
03/31,164.70097
04/01,164.7814
04/02,163.47368
04/03,163.79106
04/04,163.55579
04/05,162.37349
04/06,162.33286
04/07,161.22208
04/08,160.92903
04/09,161.08643
04/10,160.92487
04/11,161.02113
04/12,161.71004
04/13,162.17612
04/14,161.04611
04/15,160.27853
04/16,159.6668
04/17,159.45026
04/18,158.8578
04/19,159.45863
04/20,158.90712
04/21,158.5783
04/22,158.37491
04/23,158.5539
04/24,158.06027
04/25,157.90988
04/26,158.37865
04/27,157.69484
04/28,157.58757
04/29,157.9057
04/30,157.55856
05/01,157.06793
05/02,157.07243
05/03,157.43723
05/04,156.68988
05/05,157.49821
05/06,155.77998
05/07,156.32735
05/08,155.93784
05/09,156.52307
05/10,156.20045
05/11,156.47276
05/12,156.7134
05/13,157.24777
05/14,156.58179
05/15,155.55911
05/16,156.15115
05/17,154.68051
05/18,154.10338
05/19,155.3463
05/20,154.0111
05/21,153.12901
05/22,153.38951
05/23,153.7217
05/24,153.21353
05/25,152.09596
05/26,150.92162
05/27,150.8687
05/28,150.97813
05/29,149.60606
05/30,149.91478
05/31,148.53365
06/01,148.21463
06/02,147.62897
06/03,147.18225
06/04,146.38564
06/05,146.41331
06/06,147.00116
06/07,145.8901
06/08,145.62674
06/09,144.39459
06/10,145.95033
06/11,143.78407
06/12,143.072
06/13,143.41086
06/14,144.27174
06/15,142.92566
06/16,143.68626
06/17,143.86136
06/18,144.19324
06/19,143.7398
06/20,143.04236
06/21,145.00603
06/22,144.40063
06/23,143.7702
06/24,143.19075
06/25,143.18594
06/26,143.1342
06/27,142.74414
06/28,142.52037
06/29,142.80717
06/30,142.11832
07/01,141.96143
07/02,141.79095
07/03,141.83086
07/04,141.80232
07/05,142.70274
07/06,141.73813
07/07,140.82619
07/08,140.43758
07/09,141.30159
07/10,141.27017
07/11,141.11288
07/12,141.23991
07/13,141.33237
07/14,141.3051
07/15,140.88896
07/16,139.6034
07/17,141.17998
07/18,140.35722
07/19,139.86868
07/20,138.73346
07/21,139.74016
07/22,140.00848
07/23,139.31206
07/24,138.38501
07/25,139.11743
07/26,138.92853
07/27,138.70578
07/28,138.10393
07/29,139.26506
07/30,137.75258
07/31,137.55836
08/01,138.6038
08/02,137.38126
08/03,137.49632
08/04,136.37405
08/05,136.37634
08/06,136.68176
08/07,135.501
08/08,136.33736
08/09,136.83723
08/10,138.73856
08/11,137.99867
08/12,137.75256
08/13,137.83633
08/14,137.62462
08/15,137.24124
08/16,136.27805
08/17,136.28668
08/18,137.71556
08/19,137.60435
08/20,137.71402
08/21,138.66429
08/22,138.20644
08/23,138.94441
08/24,138.86288
08/25,140.21428
08/26,140.67065
08/27,139.71246
08/28,140.34303
08/29,140.67677
08/30,141.30305
08/31,140.51282
09/01,140.40324
09/02,141.01282
09/03,142.16023
09/04,142.13165
09/05,141.25931
09/06,142.30463
09/07,142.4738
09/08,143.46646
09/09,143.36517
09/10,144.5538
09/11,144.82506
09/12,142.319
09/13,142.94814
09/14,145.9282
09/15,146.72821
09/16,145.60912
09/17,145.51224
09/18,144.63214
09/19,145.48734
09/20,146.76166
09/21,145.77792
09/22,145.76157
09/23,147.06923
09/24,147.14151
09/25,146.45709
09/26,147.26828
09/27,146.7326
09/28,147.66234
09/29,148.64224
09/30,148.16006
10/01,148.78204
10/02,149.3739
10/03,149.83804
10/04,150.3076
10/05,150.82634
10/06,151.62555
10/07,151.83571
10/08,152.98105
10/09,152.261
10/10,152.60088
10/11,152.4361
10/12,152.28839
10/13,153.2702
10/14,152.57364
10/15,151.705
10/16,155.1294
10/17,154.64505
10/18,153.33704
10/19,154.94089
10/20,155.09642
10/21,156.08232
10/22,156.3413
10/23,156.74861
10/24,157.07947
10/25,157.96158
10/26,158.71541
10/27,160.85382
10/28,159.96422
10/29,158.77087
10/30,159.02565
10/31,158.43942
11/01,158.81503
11/02,157.82132
11/03,158.83188
11/04,160.78816
11/05,160.17749
11/06,160.71703
11/07,160.77075
11/08,161.26927
11/09,161.02777
11/10,159.44817
11/11,158.08878
11/12,157.82251
11/13,157.39436
11/14,156.55475
11/15,156.15125
11/16,156.18497
11/17,155.63263
11/18,155.50987
11/19,154.79697
11/20,155.22548
11/21,155.38216
11/22,155.2071
11/23,155.8062
11/24,155.88492
11/25,155.61
11/26,155.50372
11/27,156.94981
11/28,157.36581
11/29,155.81795
11/30,155.9411
12/01,156.04022
12/02,156.03635
12/03,155.84851
12/04,154.93936
12/05,155.49373
12/06,154.42616
12/07,155.00214
12/08,154.09624
12/09,154.65767
12/10,155.48921
12/11,155.06296
12/12,155.28806
12/13,155.06065
12/14,155.2862
12/15,154.70665
12/16,155.13423
12/17,157.54657
12/18,156.65085
12/19,156.58763
12/20,157.69223
12/21,157.85535
12/22,159.5748
12/23,159.79164
12/24,158.22038
12/25,158.79654
12/26,160.56448
12/27,159.101
12/28,160.17433
12/29,163.88712
12/30,164.30113
12/31,164.22421
