time,iso20
01/01,85.9752
01/02,86.17817
01/03,84.656364
01/04,85.80632
01/05,86.550095
01/06,85.372665
01/07,85.574196
01/08,84.168365
01/09,84.841125
01/10,85.47585
01/11,85.828445
01/12,84.981575
01/13,83.19462
01/14,83.14412
01/15,84.21242
01/16,83.97374
01/17,83.24872
01/18,80.75416
01/19,82.79608
01/20,82.36639
01/21,81.03386
01/22,81.46633
01/23,82.07566
01/24,82.03362
01/25,82.16186
01/26,81.402794
01/27,81.19471
01/28,80.63111
01/29,80.71799
01/30,80.417366
01/31,80.46006
02/01,81.55271
02/02,79.450645
02/03,79.678345
02/04,79.91593
02/05,80.48948
02/06,79.97515
02/07,78.74903
02/08,78.950554
02/09,78.930695
02/10,78.27296
02/11,77.07923
02/12,78.24996
02/13,79.42954
02/14,77.58513
02/15,76.65259
02/16,76.28224
02/17,77.09382
02/18,76.8293
02/19,75.15022
02/20,76.79313
02/21,75.52544
02/22,74.25696
02/23,75.55585
02/24,74.537476
02/25,74.61735
02/26,74.47673
02/27,72.97179
02/28,74.21259
02/29,69.60108
03/01,73.53502
03/02,72.04972
03/03,71.6717
03/04,70.78544
03/05,70.35349
03/06,70.164925
03/07,70.60681
03/08,68.15902
03/09,66.932625
03/10,67.03489
03/11,67.02156
03/12,67.18336
03/13,65.45651
03/14,64.82051
03/15,65.493034
03/16,64.4721
03/17,64.92904
03/18,64.582886
03/19,63.643555
03/20,61.045208
03/21,62.757343
03/22,64.1989
03/23,62.702168
03/24,60.70884
03/25,60.093388
03/26,60.62543
03/27,60.00223
03/28,60.34441
03/29,59.713627
03/30,59.61302
03/31,58.212765
04/01,58.027023
04/02,58.334118
04/03,57.396263
04/04,58.0305
04/05,57.318913
04/06,56.972023
04/07,58.129055
04/08,56.873867
04/09,58.447113
04/10,58.79808
04/11,59.01941
04/12,58.340015
04/13,58.609886
04/14,57.759766
04/15,57.712082
04/16,58.78531
04/17,57.371506
04/18,57.7205
04/19,57.93027
04/20,58.64388
04/21,57.585262
04/22,58.062675
04/23,57.32688
04/24,57.87002
04/25,57.657017
04/26,57.063927
04/27,57.382877
04/28,57.73258
04/29,56.39816
04/30,57.05937
05/01,57.614212
05/02,56.906193
05/03,58.251865
05/04,57.49939
05/05,56.326153
05/06,57.29158
05/07,56.92391
05/08,57.071377
05/09,57.17252
05/10,57.32198
05/11,58.880623
05/12,57.181404
05/13,55.324795
05/14,57.57412
05/15,58.71753
05/16,58.527805
05/17,57.846165
05/18,57.019306
05/19,58.843605
05/20,58.634758
05/21,59.772923
05/22,60.03797
05/23,60.069862
05/24,59.32551
05/25,59.257393
05/26,59.95672
05/27,61.178764
05/28,60.807648
05/29,60.5877
05/30,58.868015
05/31,60.141724
06/01,61.125652
06/02,59.159615
06/03,59.297085
06/04,60.891865
06/05,61.680218
06/06,60.034782
06/07,58.5718
06/08,60.444393
06/09,62.096992
06/10,60.531475
06/11,60.385544
06/12,60.28311
06/13,60.226788
06/14,61.137913
06/15,61.252113
06/16,60.44346
06/17,60.23204
06/18,61.44778
06/19,60.981792
06/20,62.08439
06/21,60.929947
06/22,61.60957
06/23,63.002373
06/24,61.66389
06/25,61.101425
06/26,63.40065
06/27,63.521553
06/28,63.365852
06/29,63.063004
06/30,62.923073
07/01,62.305786
07/02,62.745872
07/03,62.990986
07/04,64.11384
07/05,65.864586
07/06,65.086914
07/07,63.21204
07/08,66.12335
07/09,65.79843
07/10,68.726814
07/11,67.46887
07/12,68.811066
07/13,69.32684
07/14,70.83113
07/15,68.75457
07/16,69.48447
07/17,71.6326
07/18,71.04902
07/19,69.671875
07/20,71.034195
07/21,71.91194
07/22,69.00542
07/23,72.341034
07/24,70.9784
07/25,71.462814
07/26,72.89247
07/27,73.0543
07/28,73.554375
07/29,72.31102
07/30,71.41713
07/31,72.256165
08/01,72.55728
08/02,72.80115
08/03,73.03659
08/04,71.985794
08/05,71.91026
08/06,71.55186
08/07,71.553215
08/08,72.62108
08/09,73.829445
08/10,72.64337
08/11,71.272194
08/12,71.70735
08/13,73.21206
08/14,71.98088
08/15,69.28683
08/16,70.61076
08/17,70.13118
08/18,71.038605
08/19,71.601395
08/20,70.569695
08/21,70.749214
08/22,72.83386
08/23,70.675446
08/24,71.96121
08/25,72.06753
08/26,71.76527
08/27,69.884895
08/28,69.129105
08/29,69.67577
08/30,70.40249
08/31,71.88008
09/01,71.69099
09/02,69.92588
09/03,74.02224
09/04,75.2076
09/05,75.56282
09/06,74.37258
09/07,75.92893
09/08,76.06751
09/09,74.72758
09/10,76.48651
09/11,76.83203
09/12,76.056335
09/13,76.43041
09/14,75.92818
09/15,78.255974
09/16,78.34547
09/17,75.27864
09/18,77.18302
09/19,79.51957
09/20,77.463135
09/21,74.7196
09/22,74.42488
09/23,76.1304
09/24,75.130325
09/25,75.49876
09/26,73.98565
09/27,72.96271
09/28,73.320915
09/29,76.003334
09/30,74.869896
10/01,73.71237
10/02,73.72326
10/03,75.66687
10/04,76.73553
10/05,75.88183
10/06,77.345345
10/07,76.71139
10/08,75.56645
10/09,77.87562
10/10,77.7904
10/11,77.26341
10/12,78.81956
10/13,76.72614
10/14,78.36344
10/15,77.68089
10/16,80.15294
10/17,78.2778
10/18,77.11681
10/19,78.59087
10/20,78.05804
10/21,78.40978
10/22,81.06712
10/23,80.50967
10/24,80.02701
10/25,81.11763
10/26,80.56843
10/27,82.24321
10/28,82.146645
10/29,82.40378
10/30,78.91111
10/31,77.59893
11/01,78.48175
11/02,80.69715
11/03,80.051285
11/04,78.61802
11/05,81.585304
11/06,80.566444
11/07,82.05852
11/08,82.83489
11/09,82.44938
11/10,81.28138
11/11,82.513916
11/12,84.67873
11/13,85.49605
11/14,83.320496
11/15,84.83091
11/16,84.56011
11/17,87.00842
11/18,86.80875
11/19,84.761696
11/20,85.65746
11/21,84.68708
11/22,86.3926
11/23,87.867615
11/24,86.09282
11/25,89.019585
11/26,87.73551
11/27,90.38186
11/28,89.58466
11/29,87.743935
11/30,90.34607
12/01,89.43631
12/02,90.675964
12/03,90.31775
12/04,88.46571
12/05,90.5646
12/06,91.17241
12/07,90.474525
12/08,90.50243
12/09,89.260284
12/10,89.74387
12/11,89.90418
12/12,87.834785
12/13,88.3379
12/14,88.59378
12/15,88.50865
12/16,87.4786
12/17,85.92387
12/18,86.30062
12/19,87.26482
12/20,85.325455
12/21,85.81409
12/22,85.50228
12/23,85.36969
12/24,83.68415
12/25,84.447395
12/26,85.75369
12/27,83.851036
12/28,83.17983
12/29,83.79181
12/30,84.84845
12/31,83.124275
