time,iso20
01/01,140.60771
01/02,141.55046
01/03,139.52588
01/04,142.19896
01/05,140.44246
01/06,140.92244
01/07,138.62544
01/08,137.70348
01/09,136.36667
01/10,137.69014
01/11,138.03984
01/12,137.17326
01/13,135.86205
01/14,137.37349
01/15,140.42079
01/16,139.03642
01/17,139.04503
01/18,140.9553
01/19,142.56123
01/20,141.08391
01/21,142.39386
01/22,142.94174
01/23,146.06769
01/24,145.30397
01/25,144.11615
01/26,144.32764
01/27,144.20262
01/28,142.39526
01/29,139.4113
01/30,139.56114
01/31,138.8973
02/01,138.37538
02/02,139.50279
02/03,137.2665
02/04,136.83553
02/05,135.98708
02/06,134.64946
02/07,135.1426
02/08,133.14516
02/09,131.37335
02/10,130.97516
02/11,130.68239
02/12,129.14597
02/13,128.57365
02/14,128.4954
02/15,127.31452
02/16,126.615204
02/17,127.15663
02/18,127.63907
02/19,128.23636
02/20,127.32045
02/21,126.516815
02/22,127.43995
02/23,126.65843
02/24,126.03232
02/25,127.24388
02/26,126.32624
02/27,126.297844
02/28,126.19803
02/29,118.49767
03/01,126.56775
03/02,125.6296
03/03,125.72884
03/04,124.64413
03/05,125.7009
03/06,124.374084
03/07,123.43457
03/08,122.84971
03/09,122.78195
03/10,121.791016
03/11,122.200424
03/12,120.96613
03/13,119.985214
03/14,119.13178
03/15,118.75758
03/16,116.70158
03/17,118.22587
03/18,117.54223
03/19,116.76938
03/20,116.392715
03/21,116.71554
03/22,116.779366
03/23,115.29705
03/24,115.13205
03/25,118.404015
03/26,116.40308
03/27,115.919044
03/28,116.53858
03/29,115.009735
03/30,114.20768
03/31,114.70968
04/01,113.61664
04/02,111.42059
04/03,110.59683
04/04,111.95436
04/05,110.288414
04/06,109.0885
04/07,108.938675
04/08,107.07475
04/09,106.76962
04/10,106.95654
04/11,105.53774
04/12,105.8581
04/13,104.392006
04/14,102.51162
04/15,102.06168
04/16,102.08893
04/17,101.95521
04/18,102.19764
04/19,102.079796
04/20,101.16811
04/21,101.95931
04/22,101.05449
04/23,100.670364
04/24,101.49786
04/25,100.75528
04/26,100.0108
04/27,99.80041
04/28,100.55887
04/29,100.04946
04/30,100.3027
05/01,100.61717
05/02,101.00404
05/03,101.40351
05/04,101.48014
05/05,101.36689
05/06,102.38369
05/07,102.91207
05/08,102.63313
05/09,102.05726
05/10,101.929924
05/11,101.963066
05/12,101.40819
05/13,101.906456
05/14,100.51302
05/15,100.83371
05/16,100.91533
05/17,99.095665
05/18,99.06253
05/19,99.61714
05/20,100.90112
05/21,99.73589
05/22,98.252884
05/23,98.44695
05/24,99.150185
05/25,96.74342
05/26,97.74376
05/27,98.03056
05/28,99.33805
05/29,100.036514
05/30,98.7027
05/31,100.25362
06/01,100.41065
06/02,101.79239
06/03,102.989525
06/04,102.42542
06/05,101.38565
06/06,102.35759
06/07,101.741035
06/08,103.721375
06/09,104.38233
06/10,105.67378
06/11,105.00141
06/12,104.758675
06/13,109.56176
06/14,108.17936
06/15,107.30457
06/16,107.832695
06/17,110.64083
06/18,110.70655
06/19,109.96748
06/20,110.77318
06/21,108.4387
06/22,110.952
06/23,111.51618
06/24,110.913155
06/25,110.37333
06/26,110.62735
06/27,110.649895
06/28,111.5806
06/29,114.41036
06/30,113.39808
07/01,114.9246
07/02,114.269
07/03,116.948105
07/04,118.001686
07/05,116.86556
07/06,117.694626
07/07,118.396484
07/08,121.82535
07/09,122.11591
07/10,125.49256
07/11,123.03307
07/12,123.654335
07/13,124.913666
07/14,126.40987
07/15,126.269585
07/16,125.436325
07/17,126.28571
07/18,126.33642
07/19,128.69223
07/20,130.26906
07/21,129.217
07/22,130.26169
07/23,131.07977
07/24,132.24272
07/25,132.62276
07/26,135.67426
07/27,136.96106
07/28,135.27296
07/29,136.78308
07/30,136.71432
07/31,136.13354
08/01,136.7239
08/02,137.43808
08/03,138.27045
08/04,138.44211
08/05,138.34486
08/06,137.5257
08/07,136.53082
08/08,134.70856
08/09,137.64197
08/10,137.82523
08/11,136.91592
08/12,136.91574
08/13,138.00414
08/14,138.90396
08/15,139.50761
08/16,140.57875
08/17,141.75465
08/18,141.68285
08/19,142.21579
08/20,142.67647
08/21,143.00578
08/22,140.54552
08/23,140.96472
08/24,141.95668
08/25,140.60744
08/26,138.94029
08/27,138.1018
08/28,138.96829
08/29,138.4744
08/30,141.1046
08/31,140.60419
09/01,139.17615
09/02,141.3956
09/03,139.99605
09/04,138.21202
09/05,138.437
09/06,138.21468
09/07,139.82959
09/08,139.93195
09/09,139.65948
09/10,142.07272
09/11,140.75655
09/12,140.51482
09/13,140.91362
09/14,144.25682
09/15,142.90471
09/16,142.61293
09/17,142.02322
09/18,140.01437
09/19,139.91846
09/20,140.00041
09/21,139.77708
09/22,139.44139
09/23,139.36768
09/24,140.05635
09/25,139.4412
09/26,141.43169
09/27,145.7132
09/28,147.96881
09/29,145.61699
09/30,146.7914
10/01,145.847
10/02,146.77724
10/03,146.10114
10/04,145.6655
10/05,145.67215
10/06,146.89758
10/07,146.98318
10/08,148.49898
10/09,151.50862
10/10,145.72041
10/11,144.48282
10/12,144.18538
10/13,142.87227
10/14,142.76202
10/15,143.22469
10/16,141.60258
10/17,140.35185
10/18,140.59558
10/19,138.82329
10/20,137.32983
10/21,138.77467
10/22,138.54593
10/23,139.53246
10/24,140.50427
10/25,141.44218
10/26,142.28049
10/27,143.05678
10/28,145.41733
10/29,147.91924
10/30,146.82971
10/31,147.67834
11/01,149.21085
11/02,147.05676
11/03,147.28381
11/04,150.31905
11/05,147.257
11/06,145.0698
11/07,146.5003
11/08,146.4878
11/09,148.9602
11/10,148.65897
11/11,149.12354
11/12,150.86172
11/13,148.49684
11/14,147.30202
11/15,147.5109
11/16,143.88904
11/17,143.70645
11/18,145.84616
11/19,144.07382
11/20,142.24046
11/21,142.98712
11/22,142.36772
11/23,141.45702
11/24,142.80608
11/25,142.40726
11/26,140.64198
11/27,141.55803
11/28,144.44418
11/29,143.25975
11/30,142.74321
12/01,145.3944
12/02,147.62732
12/03,146.41411
12/04,148.44789
12/05,150.61566
12/06,148.83917
12/07,148.06615
12/08,147.20113
12/09,147.84608
