time,iso20
01/01,36.17504
01/02,35.821632
01/03,36.523613
01/04,35.551605
01/05,32.657745
01/06,32.77804
01/07,34.732212
01/08,35.117004
01/09,39.436703
01/10,39.694862
01/11,36.160088
01/12,34.5135
01/13,37.777542
01/14,36.684635
01/15,36.468483
01/16,38.399998
01/17,38.42592
01/18,36.361465
01/19,36.148624
01/20,36.416473
01/21,36.45117
01/22,38.01551
01/23,37.391884
01/24,36.565834
01/25,37.176197
01/26,38.114285
01/27,36.858624
01/28,36.804977
01/29,38.28287
01/30,38.481915
01/31,37.052876
02/01,37.171032
02/02,38.052414
02/03,39.061707
02/04,41.5149
02/05,43.803726
02/06,44.046684
02/07,45.114178
02/08,45.765213
02/09,44.439667
02/10,42.898407
02/11,45.256134
02/12,43.737362
02/13,40.91595
02/14,40.1093
02/15,44.32217
02/16,42.59002
02/17,40.51959
02/18,41.5766
02/19,41.981518
02/20,41.071705
02/21,40.835945
02/22,41.405483
02/23,41.042755
02/24,40.823605
02/25,40.251114
02/26,41.035473
02/27,40.33352
02/28,40.13164
02/29,34.917248
03/01,42.04483
03/02,43.58793
03/03,44.300728
03/04,44.135944
03/05,42.724632
03/06,41.209476
03/07,42.726246
03/08,41.393326
03/09,44.405178
03/10,43.079235
03/11,43.539295
03/12,43.776466
03/13,43.363533
03/14,42.2332
03/15,44.535473
03/16,43.036427
03/17,42.93992
03/18,46.504734
03/19,45.801445
03/20,44.025948
03/21,45.827507
03/22,47.71836
03/23,47.853374
03/24,48.992382
03/25,44.875797
03/26,46.42741
03/27,44.032608
03/28,43.42246
03/29,47.0415
03/30,51.879078
03/31,49.334553
04/01,49.825794
04/02,46.257072
04/03,45.444077
04/04,47.82053
04/05,44.856087
04/06,48.461994
04/07,48.558155
04/08,46.935844
04/09,45.795177
04/10,45.43618
04/11,41.53637
04/12,42.279495
04/13,45.810753
04/14,44.887306
04/15,47.90018
04/16,44.553383
04/17,43.34899
04/18,47.372208
04/19,46.816963
04/20,46.46014
04/21,46.835835
04/22,47.314384
04/23,43.986366
04/24,44.978714
04/25,43.829075
04/26,45.83559
04/27,48.50673
04/28,47.446808
04/29,48.628128
04/30,45.85138
05/01,47.19696
05/02,46.57423
05/03,44.400883
05/04,45.730457
05/05,45.387543
05/06,45.74362
05/07,46.89314
05/08,46.00183
05/09,47.166523
05/10,45.951286
05/11,45.4986
05/12,44.120033
05/13,43.50311
05/14,46.02681
05/15,47.806816
05/16,45.65669
05/17,43.04005
05/18,40.285423
05/19,39.66697
05/20,39.01261
05/21,42.118122
05/22,42.59519
05/23,43.98413
05/24,43.18443
05/25,44.618496
05/26,40.573692
