time,iso20
01/01,151.183
01/02,151.35286
01/03,151.12543
01/04,150.86993
01/05,150.43521
01/06,152.43729
01/07,154.55037
01/08,151.5947
01/09,150.22095
01/10,149.84123
01/11,151.125
01/12,152.14484
01/13,151.99928
01/14,153.27638
01/15,153.91919
01/16,154.38116
01/17,154.96474
01/18,153.19899
01/19,153.11777
01/20,153.5858
01/21,153.20256
01/22,152.56836
01/23,153.70747
01/24,152.13373
01/25,151.39737
01/26,150.29901
01/27,152.6861
01/28,151.09633
01/29,152.42488
01/30,151.09076
01/31,150.91864
02/01,149.75343
02/02,149.13525
02/03,149.5074
02/04,149.30573
02/05,149.10846
02/06,151.49141
02/07,151.16112
02/08,149.31178
02/09,150.28893
02/10,149.90242
02/11,150.07332
02/12,150.54388
02/13,149.49144
02/14,149.82695
02/15,148.82225
02/16,148.01175
02/17,149.23059
02/18,149.57979
02/19,147.28717
02/20,147.77292
02/21,146.39673
02/22,146.74298
02/23,146.81541
02/24,147.55325
02/25,147.54672
02/26,146.61552
02/27,146.65703
02/28,147.93318
02/29,136.50928
03/01,146.99667
03/02,144.42514
03/03,144.05518
03/04,144.52617
03/05,143.65312
03/06,141.96849
03/07,143.08344
03/08,141.92183
03/09,141.48668
03/10,141.80766
03/11,141.75832
03/12,140.1747
03/13,140.7823
03/14,141.34032
03/15,141.59834
03/16,139.05527
03/17,138.50403
03/18,138.8963
03/19,138.899
03/20,137.58006
03/21,138.03767
03/22,138.41066
03/23,136.76402
03/24,136.26198
03/25,138.31303
03/26,137.5494
03/27,136.76933
03/28,136.75111
03/29,135.19185
03/30,134.60295
03/31,134.93361
04/01,133.4954
04/02,133.7854
04/03,134.36311
04/04,134.05458
04/05,132.30031
04/06,131.58163
04/07,130.55797
04/08,131.23691
04/09,129.73795
04/10,129.82703
04/11,129.27614
04/12,128.73405
04/13,127.17359
04/14,127.42896
04/15,126.41116
04/16,127.33384
04/17,126.45948
04/18,125.47089
04/19,125.96649
04/20,126.326866
04/21,125.010864
04/22,125.770996
04/23,123.094444
04/24,123.956024
04/25,124.087
04/26,122.00353
04/27,121.87818
04/28,122.19255
04/29,121.43544
04/30,121.0083
05/01,120.27434
05/02,119.61786
05/03,119.634895
05/04,120.12748
05/05,120.27273
05/06,119.08213
05/07,117.97208
05/08,118.58813
05/09,118.60445
05/10,118.21165
05/11,116.93694
05/12,116.103325
05/13,116.45514
05/14,116.49371
05/15,116.37538
05/16,115.34646
05/17,114.805695
05/18,114.66697
05/19,114.278206
05/20,113.654236
05/21,113.80435
05/22,113.87966
05/23,113.23875
05/24,113.27675
05/25,114.28103
05/26,113.84139
05/27,112.118454
05/28,112.55881
05/29,112.1103
05/30,111.75546
05/31,110.90868
06/01,110.400444
06/02,110.44355
06/03,111.08553
06/04,111.14927
06/05,111.90304
06/06,112.75371
06/07,111.896645
06/08,111.90919
06/09,112.64615
06/10,112.28001
06/11,111.732185
06/12,112.514656
06/13,112.83274
06/14,112.83677
06/15,113.75199
06/16,113.65475
06/17,114.04764
06/18,113.81956
06/19,114.18357
06/20,115.85641
06/21,116.645905
06/22,116.97898
06/23,117.02792
06/24,116.52919
06/25,118.704056
06/26,118.60137
06/27,117.66127
06/28,118.75125
06/29,118.174355
06/30,117.9995
07/01,119.05031
07/02,120.24598
07/03,119.81116
07/04,120.50094
07/05,122.025444
07/06,122.9707
07/07,122.256454
07/08,124.09958
07/09,125.178604
07/10,125.41752
07/11,126.08455
07/12,126.47822
07/13,128.36166
07/14,129.3653
07/15,130.4309
07/16,131.87521
07/17,131.85835
07/18,134.09753
07/19,134.89781
07/20,135.57822
07/21,135.6592
07/22,137.82158
07/23,136.76346
07/24,138.2909
07/25,138.66008
07/26,138.86963
07/27,138.16936
07/28,138.7638
07/29,139.5279
07/30,139.60448
07/31,140.00507
08/01,138.37648
08/02,140.27776
08/03,141.87381
08/04,142.35263
08/05,143.20316
08/06,143.30423
08/07,145.42877
08/08,146.05354
08/09,146.53758
08/10,146.01715
08/11,147.05042
08/12,147.85141
08/13,149.16327
08/14,150.71591
08/15,152.43993
08/16,153.72832
08/17,154.51521
08/18,153.80974
08/19,156.41725
08/20,158.21164
08/21,157.74089
08/22,157.50615
08/23,157.46696
08/24,158.5981
08/25,156.29034
08/26,154.66591
08/27,155.81323
08/28,156.06905
08/29,158.88971
08/30,157.98952
08/31,158.49768
09/01,158.63286
09/02,157.94862
09/03,158.00569
09/04,157.834
09/05,160.37265
09/06,162.06647
09/07,163.39961
09/08,162.83028
09/09,160.4063
09/10,159.21638
09/11,160.67366
09/12,160.00206
09/13,163.05824
09/14,162.45384
09/15,160.70508
09/16,160.05052
09/17,159.20757
09/18,156.53944
09/19,156.77597
09/20,157.80469
09/21,156.01509
09/22,156.39217
09/23,155.86713
09/24,155.91473
09/25,154.06277
09/26,156.18636
09/27,153.80042
09/28,151.51472
09/29,151.97852
09/30,151.84332
10/01,147.77263
10/02,146.69794
10/03,146.82301
10/04,147.0256
10/05,147.58968
10/06,148.31349
10/07,150.26308
10/08,153.1754
10/09,153.73795
10/10,151.28123
10/11,154.50854
10/12,154.65602
10/13,153.41522
10/14,153.5491
10/15,156.9274
10/16,157.24358
10/17,157.30214
10/18,156.34732
10/19,156.44058
10/20,159.68024
10/21,159.28893
10/22,158.4531
10/23,158.94156
10/24,158.83824
10/25,156.56989
10/26,158.35373
10/27,158.01036
10/28,156.57213
10/29,159.37761
10/30,159.83148
10/31,157.56627
11/01,159.07289
11/02,161.61661
11/03,158.9939
11/04,161.22447
11/05,159.24165
11/06,160.48102
11/07,161.36497
11/08,160.83224
11/09,160.85303
11/10,160.63701
11/11,161.40968
11/12,161.82521
11/13,161.21924
11/14,161.44368
11/15,162.04445
11/16,161.79718
11/17,161.65768
11/18,160.61351
11/19,160.83052
11/20,159.50017
11/21,158.67339
11/22,159.06995
11/23,157.55438
11/24,156.91739
11/25,156.5329
11/26,155.59373
11/27,153.99971
11/28,153.1925
11/29,152.1975
11/30,153.56966
12/01,152.55214
12/02,151.29732
12/03,151.84862
12/04,151.98686
12/05,152.69191
12/06,154.92625
12/07,156.80714
12/08,156.16064
12/09,155.23703
12/10,156.36139
12/11,157.16418
12/12,155.77031
12/13,154.02089
12/14,156.56465
12/15,157.12013
12/16,156.3752
12/17,154.04842
12/18,153.72018
12/19,153.99852
12/20,152.78876
12/21,150.5056
12/22,150.74635
12/23,150.18703
12/24,149.97807
12/25,149.52502
12/26,151.46939
12/27,153.11787
12/28,152.89793
12/29,152.91437
12/30,152.54591
12/31,152.5762
