time,iso20
01/01,199.498
01/02,199.80164
01/03,199.84366
01/04,200.19217
01/05,199.49979
01/06,200.3703
01/07,201.18736
01/08,200.54329
01/09,200.45862
01/10,202.48798
01/11,202.55457
01/12,202.1362
01/13,201.17613
01/14,201.51791
01/15,201.68282
01/16,201.977
01/17,200.36092
01/18,201.09729
01/19,202.0608
01/20,202.16425
01/21,203.65051
01/22,205.05763
01/23,204.58264
01/24,205.1152
01/25,204.81435
01/26,204.60046
01/27,204.73358
01/28,202.69666
01/29,204.2179
01/30,205.19148
01/31,204.78621
02/01,205.44446
02/02,204.3781
02/03,206.50897
02/04,205.85315
02/05,205.3786
02/06,207.1563
02/07,207.09138
02/08,206.44746
02/09,207.45009
02/10,208.56967
02/11,207.4373
02/12,208.1405
02/13,208.66841
02/14,208.00443
02/15,208.45312
02/16,209.55707
02/17,210.78325
02/18,207.87373
02/19,209.236
02/20,211.63213
02/21,211.1015
02/22,212.24188
02/23,211.2576
02/24,212.5171
02/25,213.49551
02/26,213.49628
02/27,211.78754
02/28,213.10597
02/29,228.22197
03/01,214.9329
03/02,214.49463
03/03,213.93845
03/04,216.37341
03/05,216.64073
03/06,215.3975
03/07,216.36008
03/08,216.49316
03/09,215.81186
03/10,215.81717
03/11,216.2471
03/12,216.53899
03/13,216.02246
03/14,216.9049
03/15,216.86545
03/16,215.66824
03/17,215.91096
03/18,216.11792
03/19,217.0809
03/20,217.48135
03/21,217.63315
03/22,217.50102
03/23,218.68509
03/24,219.51138
03/25,217.35027
03/26,218.51413
03/27,218.61438
03/28,216.96635
03/29,217.77559
03/30,220.054
03/31,218.94077
04/01,217.52649
04/02,217.67754
04/03,219.88623
04/04,220.37863
04/05,217.97958
04/06,217.3068
04/07,219.24704
04/08,218.56812
04/09,217.93245
04/10,216.8534
04/11,218.2093
04/12,218.69312
04/13,217.10938
04/14,216.77307
04/15,216.40437
04/16,218.53622
04/17,217.38791
04/18,217.43503
04/19,217.25183
04/20,219.17537
04/21,217.99295
04/22,215.74704
04/23,216.97061
04/24,218.21587
04/25,217.22002
04/26,217.06352
04/27,217.08965
04/28,217.84445
04/29,218.5422
04/30,216.33188
05/01,215.6698
05/02,216.81528
