time,iso20
01/01,110.45494
01/02,112.1521
01/03,113.537926
01/04,113.17776
01/05,113.48989
01/06,113.74875
01/07,114.536446
01/08,114.09346
01/09,114.76098
01/10,114.59873
01/11,116.02285
01/12,115.81442
01/13,115.38784
01/14,116.21252
01/15,116.54478
01/16,116.38964
01/17,117.230385
01/18,116.91625
01/19,117.09421
01/20,117.44897
01/21,117.17039
01/22,116.9551
01/23,118.182304
01/24,118.63914
01/25,117.314804
01/26,118.67048
01/27,118.79005
01/28,118.43565
01/29,118.30854
01/30,118.84425
01/31,118.87701
02/01,120.1351
02/02,119.96491
02/03,120.55443
02/04,120.66542
02/05,121.44076
02/06,120.44343
02/07,121.13844
02/08,120.61163
02/09,121.03048
02/10,121.022415
02/11,120.68429
02/12,121.1589
02/13,120.7595
02/14,121.07837
02/15,120.20036
02/16,121.428635
02/17,120.14066
02/18,121.175095
02/19,121.07255
02/20,121.26929
02/21,121.29087
02/22,121.64787
02/23,121.50166
02/24,121.528786
02/25,121.28207
02/26,122.02437
02/27,120.6863
02/28,119.81114
02/29,115.07239
03/01,120.37251
03/02,119.36546
03/03,119.76282
03/04,120.688805
03/05,120.36749
03/06,120.788315
03/07,121.571625
03/08,120.638626
03/09,120.25371
03/10,120.44014
03/11,121.06609
03/12,121.37932
03/13,121.82861
03/14,122.060524
03/15,122.092514
03/16,122.5994
03/17,122.54848
03/18,122.84041
03/19,122.8042
03/20,122.856094
03/21,123.41753
03/22,123.79604
03/23,123.10801
03/24,123.469864
03/25,124.54292
03/26,124.26011
03/27,125.076065
03/28,124.38163
03/29,124.98362
03/30,125.198875
03/31,125.20915
04/01,124.916626
04/02,125.25222
04/03,124.215775
04/04,124.99281
04/05,125.027084
04/06,125.28471
04/07,124.92661
04/08,125.23035
04/09,125.64297
04/10,125.47483
04/11,125.58964
04/12,125.78018
04/13,125.67596
04/14,125.25571
04/15,125.223434
04/16,125.81425
04/17,125.36449
04/18,125.298965
04/19,125.12964
04/20,124.993004
04/21,124.84161
04/22,123.81632
04/23,123.47286
04/24,124.36026
04/25,123.35643
04/26,123.20695
04/27,123.72865
04/28,122.90218
04/29,123.50272
04/30,123.45981
05/01,123.445755
05/02,123.43081
05/03,123.93468
05/04,123.0109
05/05,123.126976
05/06,123.49892
05/07,122.77952
05/08,123.26483
05/09,122.57439
05/10,123.55322
05/11,123.38014
05/12,123.05316
05/13,123.46647
05/14,123.1541
05/15,123.25482
05/16,123.538086
05/17,123.40076
05/18,124.068504
05/19,124.19502
05/20,123.78043
05/21,123.54103
05/22,124.24251
05/23,124.51853
05/24,123.686844
05/25,123.881485
05/26,124.906654
05/27,124.13255
05/28,124.714645
05/29,124.213905
05/30,124.99855
05/31,124.685265
06/01,124.929794
06/02,124.83468
06/03,124.71354
06/04,125.31714
06/05,125.115875
06/06,124.46484
06/07,124.2358
06/08,123.80504
06/09,124.35193
06/10,122.94795
06/11,123.19985
06/12,123.26008
06/13,122.00171
06/14,122.07673
06/15,122.576485
06/16,121.89018
06/17,121.86677
06/18,121.55934
06/19,120.63248
06/20,121.22456
06/21,120.84217
06/22,119.82278
06/23,120.11696
06/24,119.464905
06/25,119.11761
06/26,118.52059
06/27,118.75397
06/28,116.51432
06/29,118.13537
06/30,116.97225
07/01,116.34295
07/02,115.98182
07/03,116.326324
07/04,115.92263
07/05,115.62594
07/06,115.629814
07/07,114.990364
07/08,114.21686
07/09,114.112236
07/10,113.534424
07/11,114.268265
07/12,112.98203
07/13,113.37864
07/14,112.74663
07/15,112.588135
07/16,113.10864
07/17,111.695404
07/18,113.08813
07/19,112.34382
07/20,112.39196
07/21,112.38386
07/22,112.35778
07/23,111.90634
07/24,111.783646
07/25,111.08357
07/26,111.69353
07/27,110.72149
07/28,111.20822
07/29,111.19233
07/30,111.13528
07/31,111.625595
08/01,110.96253
08/02,111.275314
08/03,111.692406
08/04,111.47376
08/05,110.87555
08/06,111.54226
08/07,110.78817
08/08,111.066376
08/09,110.25114
08/10,110.674706
08/11,110.80466
08/12,110.5573
08/13,110.652565
08/14,110.41072
08/15,109.84872
08/16,110.4394
08/17,110.19126
08/18,110.0554
08/19,110.62245
08/20,110.42469
08/21,110.761375
08/22,111.01327
08/23,110.70937
08/24,111.23668
08/25,110.16597
08/26,111.373634
08/27,111.28684
08/28,110.99718
08/29,111.09739
08/30,111.24169
08/31,111.59962
09/01,111.35961
09/02,111.378586
09/03,112.13846
09/04,111.7561
09/05,112.34698
09/06,113.09027
09/07,112.51668
09/08,112.82412
09/09,113.73412
09/10,113.3872
09/11,113.93628
09/12,113.903465
09/13,114.544945
09/14,113.88781
09/15,115.49322
09/16,115.657906
09/17,116.08996
09/18,116.74862
09/19,116.211334
09/20,117.18988
09/21,116.39081
09/22,116.652016
09/23,116.64326
09/24,117.12394
09/25,115.84141
09/26,116.620186
09/27,116.73702
09/28,116.350136
09/29,116.95132
09/30,115.96999
10/01,117.574776
10/02,116.116005
10/03,116.23728
10/04,116.424164
10/05,115.899574
10/06,115.888466
10/07,115.830986
10/08,115.681946
10/09,114.69793
10/10,114.212975
10/11,115.32096
10/12,113.19127
10/13,114.22925
10/14,113.30841
10/15,112.5166
10/16,111.95261
10/17,113.76327
10/18,111.75101
10/19,111.55868
10/20,112.10517
10/21,113.33384
10/22,113.19616
10/23,112.83073
10/24,113.91678
10/25,113.71553
10/26,113.120575
10/27,113.177895
10/28,112.64407
10/29,113.622734
10/30,113.90751
10/31,113.337135
11/01,112.67156
11/02,112.844666
11/03,113.543465
11/04,112.63686
11/05,111.157814
11/06,112.53305
11/07,111.540016
11/08,110.79349
11/09,111.11287
11/10,110.83239
11/11,110.07387
11/12,110.51743
11/13,109.771164
11/14,109.47947
11/15,110.522385
11/16,110.19912
11/17,109.31334
11/18,110.77416
11/19,110.36399
11/20,110.16636
11/21,111.08346
11/22,109.37494
11/23,109.99541
11/24,110.23756
11/25,109.64652
