time,iso20
12/21,97.15978
12/22,98.52028
12/23,96.84718
12/24,94.70182
12/25,95.62431
12/26,97.82201
12/27,97.64318
12/28,97.58412
12/29,95.99797
12/30,96.246475
12/31,97.34219
