time,iso20
12/21,119.42526
12/22,118.32899
12/23,118.361946
12/24,117.80205
12/25,118.74956
12/26,118.790764
12/27,117.38649
12/28,116.27958
12/29,115.765755
12/30,116.851875
12/31,116.76839
