time,iso20
01/01,179.7077
01/02,177.82527
01/03,177.32556
01/04,179.33577
01/05,179.41032
01/06,179.18489
01/07,179.01509
01/08,179.1407
01/09,178.48174
01/10,179.41788
01/11,181.53787
01/12,179.77425
01/13,178.62592
01/14,179.21434
01/15,179.80853
01/16,180.98045
01/17,180.3653
01/18,180.73097
01/19,180.70091
01/20,180.12468
01/21,179.05139
01/22,178.72356
01/23,178.2457
01/24,179.56113
01/25,178.76823
01/26,179.2556
01/27,178.83626
01/28,178.97076
01/29,178.37238
01/30,177.37668
01/31,179.78159
02/01,178.6299
02/02,178.52492
02/03,176.2501
02/04,177.79944
02/05,178.29398
02/06,179.34184
02/07,178.40533
02/08,178.11566
02/09,177.98111
02/10,178.2684
02/11,179.31686
02/12,177.74377
02/13,177.92537
02/14,176.60303
02/15,177.90411
02/16,178.76253
02/17,178.08598
02/18,175.89508
02/19,176.53334
02/20,176.17252
02/21,174.47098
02/22,174.3357
02/23,173.77493
02/24,173.46785
02/25,175.16129
02/26,173.88527
02/27,174.25871
02/28,175.20935
02/29,174.1168
03/01,174.30415
03/02,174.45616
03/03,174.40381
03/04,175.05234
03/05,174.59846
03/06,173.94981
03/07,174.4059
03/08,176.6219
03/09,175.22656
03/10,172.39551
03/11,173.54248
03/12,174.05055
03/13,174.6082
03/14,175.85687
03/15,174.43329
03/16,175.58612
03/17,175.66354
03/18,174.89613
03/19,174.66307
03/20,173.71332
03/21,174.48055
03/22,173.19733
03/23,172.37202
03/24,172.06236
03/25,170.65123
03/26,170.50755
03/27,170.83762
03/28,173.30067
03/29,171.46713
03/30,171.795
03/31,171.44598
04/01,170.15147
04/02,168.97833
04/03,170.94963
04/04,171.41121
04/05,169.37263
04/06,168.2695
04/07,169.73405
04/08,168.7513
04/09,168.42963
04/10,167.78445
04/11,168.76454
04/12,169.46638
04/13,169.07333
04/14,169.01146
04/15,167.79457
04/16,169.10774
04/17,168.37859
04/18,167.52933
04/19,167.27298
04/20,168.19455
04/21,168.15916
04/22,166.75807
04/23,167.00893
04/24,168.753
04/25,167.29263
04/26,166.03336
04/27,166.47063
04/28,166.16245
04/29,165.43742
04/30,166.20917
05/01,165.20084
05/02,165.19676
05/03,166.02484
05/04,165.03084
05/05,165.2555
05/06,164.61397
05/07,163.58473
05/08,162.71527
05/09,163.86983
05/10,164.7193
05/11,162.72675
05/12,162.15009
05/13,162.05614
05/14,162.30663
05/15,162.79868
05/16,161.66469
05/17,161.74498
05/18,162.78076
05/19,164.11507
05/20,165.83305
05/21,164.95917
05/22,163.4269
05/23,163.88777
05/24,164.35733
05/25,163.67508
05/26,162.95834
