time,iso20
12/21,117.95801
12/22,118.77603
12/23,119.45353
12/24,120.06275
12/25,120.01347
12/26,120.322556
12/27,119.22953
12/28,119.02295
12/29,120.629326
12/30,119.525856
12/31,120.09637
