time,iso20
01/01,80.8951
01/02,74.68308
01/03,76.6181
01/04,76.770836
01/05,77.67027
01/06,77.41603
01/07,75.67928
01/08,72.84076
01/09,74.22681
01/10,72.89995
01/11,73.71045
01/12,77.01224
01/13,75.83513
01/14,74.08911
01/15,74.61241
01/16,75.170494
01/17,75.19382
01/18,74.86879
01/19,77.664825
01/20,79.805626
01/21,77.250374
01/22,77.29817
01/23,77.44924
01/24,75.63181
01/25,75.51857
01/26,74.43025
01/27,73.507545
01/28,73.07213
01/29,75.368744
01/30,74.9148
01/31,71.063446
02/01,71.83449
02/02,71.34792
02/03,75.203476
02/04,74.44906
02/05,71.4863
02/06,72.54108
02/07,70.98347
02/08,72.015915
02/09,70.98773
02/10,69.00493
02/11,69.96157
02/12,70.75909
02/13,68.2796
02/14,67.191666
02/15,69.50442
02/16,69.46216
02/17,70.225235
02/18,72.04871
02/19,70.11035
02/20,69.11645
02/21,66.53643
02/22,68.13437
02/23,69.58987
02/24,69.21463
02/25,70.235115
02/26,71.237595
02/27,68.02877
02/28,69.47021
02/29,78.08126
03/01,70.02893
03/02,69.38545
03/03,70.432976
03/04,68.15765
03/05,69.19469
03/06,71.665855
03/07,74.26337
03/08,73.28014
03/09,70.90545
03/10,67.94118
03/11,64.64358
03/12,64.27566
03/13,66.51293
03/14,67.621414
03/15,67.97425
03/16,69.169624
03/17,67.294266
03/18,67.73842
03/19,67.73745
03/20,66.15069
03/21,69.273155
03/22,69.46991
03/23,69.55103
03/24,68.069565
03/25,70.72324
03/26,68.945076
03/27,70.195274
03/28,71.22722
03/29,70.91439
03/30,69.87164
03/31,72.23137
04/01,73.42744
04/02,74.380905
04/03,75.32288
04/04,78.333405
04/05,76.64437
04/06,76.89749
04/07,76.77774
04/08,77.750305
04/09,78.34981
04/10,76.663315
04/11,74.54264
04/12,76.98231
04/13,78.43516
04/14,79.50591
04/15,79.28369
04/16,79.980255
04/17,78.46794
04/18,79.70023
04/19,79.5141
04/20,80.86058
04/21,80.375595
04/22,79.51978
04/23,77.76754
04/24,77.98787
04/25,78.90772
04/26,79.33888
04/27,79.74325
04/28,81.085464
04/29,80.16906
04/30,79.44224
05/01,78.097946
05/02,76.81932
05/03,76.51125
05/04,77.46063
05/05,78.7809
05/06,78.21543
05/07,76.37492
05/08,76.47971
05/09,76.540695
05/10,76.0794
05/11,75.13358
05/12,73.85731
05/13,75.328865
05/14,74.323746
05/15,73.71306
05/16,70.62494
05/17,75.38299
05/18,72.41047
05/19,76.28884
05/20,75.964264
05/21,74.33226
05/22,73.43217
05/23,72.40471
05/24,74.91029
05/25,75.70522
05/26,75.346115
05/27,75.933754
05/28,76.29348
05/29,76.07124
05/30,75.919044
05/31,79.0161
06/01,78.509
06/02,78.11258
06/03,76.28276
06/04,75.781296
06/05,72.79213
06/06,73.41451
06/07,73.82848
06/08,76.775894
06/09,77.61445
06/10,76.850655
06/11,75.86424
06/12,76.93475
06/13,78.30213
06/14,76.343155
06/15,76.61527
06/16,77.95455
06/17,77.77496
06/18,78.58956
06/19,79.00814
06/20,79.12703
06/21,80.543045
06/22,83.121925
06/23,81.104065
06/24,79.25778
06/25,77.76808
06/26,78.788025
06/27,78.08865
06/28,74.914154
06/29,76.59162
06/30,76.84217
07/01,75.7963
07/02,76.68718
07/03,75.69523
07/04,74.93192
07/05,76.60826
07/06,76.23236
07/07,75.19477
07/08,73.99936
07/09,72.53981
07/10,71.033394
07/11,70.2079
07/12,68.89758
07/13,69.74318
07/14,73.23961
07/15,70.18719
07/16,73.69078
07/17,70.42715
07/18,71.663536
07/19,72.56713
07/20,74.11217
07/21,69.81813
07/22,71.575035
07/23,72.33244
07/24,71.71249
07/25,71.440384
07/26,72.063896
07/27,72.9126
07/28,74.727776
07/29,76.0653
07/30,74.2309
07/31,73.654106
08/01,74.05915
08/02,73.22018
08/03,72.78676
08/04,73.6133
08/05,72.29841
08/06,73.118324
08/07,73.57317
08/08,72.141365
08/09,71.15386
08/10,68.38433
08/11,67.52558
08/12,67.47227
08/13,67.303055
08/14,65.83853
08/15,65.25005
08/16,64.049225
08/17,65.77056
08/18,66.69915
08/19,71.56104
08/20,71.59188
08/21,72.76203
08/22,70.9767
08/23,70.31124
08/24,72.5974
08/25,72.77501
08/26,71.1844
08/27,69.71831
08/28,70.463066
08/29,73.522865
08/30,73.8296
08/31,74.104195
09/01,72.88908
09/02,71.817245
09/03,76.337585
09/04,77.80028
09/05,70.8464
09/06,70.86
09/07,69.85843
09/08,71.815926
09/09,77.25114
09/10,75.536476
09/11,75.41168
09/12,74.97528
09/13,77.446365
09/14,75.67798
09/15,75.37179
09/16,74.57331
09/17,76.64625
09/18,77.65207
09/19,77.580154
09/20,78.99354
09/21,75.88399
09/22,72.40808
09/23,71.18156
09/24,74.45708
09/25,75.25688
09/26,77.53303
09/27,76.23212
09/28,74.839745
09/29,78.12318
09/30,76.150276
10/01,78.095535
10/02,77.53097
10/03,78.990395
10/04,79.926155
10/05,77.94657
10/06,80.617424
10/07,82.30093
10/08,83.6883
10/09,80.41081
10/10,78.838455
10/11,79.045685
10/12,79.294525
10/13,79.340385
10/14,78.917656
10/15,76.821495
10/16,79.5673
10/17,79.85204
10/18,79.82715
10/19,82.92081
10/20,80.91229
10/21,78.330345
10/22,81.948105
10/23,85.17799
10/24,80.46999
10/25,80.87796
10/26,78.82324
10/27,78.37725
10/28,79.161606
10/29,80.284454
10/30,78.89388
10/31,79.59183
11/01,80.64923
11/02,81.78971
11/03,84.30118
11/04,82.91227
11/05,87.05718
11/06,82.05077
11/07,82.243484
11/08,78.82568
11/09,81.62604
11/10,78.98618
11/11,79.09768
11/12,77.163635
11/13,77.10399
11/14,77.82544
11/15,80.6518
11/16,80.176994
11/17,79.52665
11/18,80.95073
11/19,81.341896
11/20,80.89098
11/21,78.785545
11/22,77.41885
11/23,79.23124
11/24,80.12764
11/25,78.39525
11/26,76.56263
11/27,77.0007
11/28,76.321556
11/29,80.27465
11/30,81.7469
12/01,78.42002
12/02,77.20632
12/03,77.81318
12/04,78.42168
12/05,78.60025
12/06,78.819016
12/07,78.65304
12/08,83.13598
12/09,82.386055
12/10,80.547295
12/11,77.181755
12/12,76.74857
12/13,75.21958
12/14,77.74814
12/15,76.738625
12/16,76.01
12/17,81.07503
12/18,79.64182
12/19,75.79727
12/20,76.77659
12/21,76.73935
12/22,75.80864
12/23,72.299355
12/24,73.93261
12/25,71.64839
12/26,71.464264
12/27,71.39467
12/28,75.01646
12/29,78.81406
12/30,74.84642
12/31,73.039856
