time,1,5,10,15,25,35,50,60,75,100,125,150,200,250,300,470,500
02/01,29.441414,29.987543,29.968758,29.960571,29.382776,29.986847,29.426891,30.02874,29.029491,28.013672,26.29874,24.3759,17.906364,12.657597,11.4570675,9.39,8.600593
02/02,29.45056,29.978144,29.974926,29.973644,29.370457,29.97967,29.42917,30.010263,29.049273,28.080462,26.379898,24.424017,17.893066,12.659685,11.506572,9.08,8.63424
02/03,29.443653,29.941092,29.93174,29.926975,29.39488,29.935587,29.41232,30.000248,29.063154,27.99578,26.622452,24.58722,18.019547,12.633856,11.508545,8.98,8.7201
02/04,29.452353,29.96796,29.943825,29.941605,29.395157,29.950972,29.42477,30.004845,29.101374,28.098793,26.640322,24.534773,18.042236,12.702457,11.49225,8.95,8.623268
02/05,29.443655,29.913307,29.912973,29.915918,29.389318,29.948048,29.431608,29.97781,29.050484,28.14386,26.66019,24.55354,18.043169,12.799703,11.496988,9.12,8.608753
02/06,29.441103,29.934929,29.940418,29.946272,29.370123,29.976948,29.403345,30.003105,29.06231,28.084377,26.60506,24.357428,18.19602,12.813539,11.504406,9.39,8.654869
02/07,29.452303,29.977604,29.948174,29.938469,29.334808,29.927677,29.344109,29.936113,29.11112,28.0244,26.557735,24.316622,18.349411,12.718813,11.478688,9.41,8.66641
02/08,29.351892,29.916134,29.893614,29.884964,29.292328,29.864153,29.30948,29.866993,29.028273,27.933905,26.477295,24.333193,17.927681,12.654829,11.460309,9.42,8.634562
02/09,29.348114,29.87587,29.853615,29.848305,29.281548,29.829796,29.281626,29.816208,28.97279,28.101612,26.651682,24.62759,18.339348,12.7296915,11.517916,9.09,8.70023
02/10,29.342075,29.970459,29.926086,29.902813,29.25472,29.876131,29.279041,29.845623,28.91599,28.11259,26.63409,24.518476,18.17094,12.805542,11.51353,8.9,8.650456
02/11,29.395971,29.912024,29.883179,29.870537,29.269588,29.84161,29.266289,29.831085,28.962849,28.131517,26.828737,24.584082,18.02339,12.748122,11.515025,8.81,8.670435
02/12,29.351917,29.844284,29.830662,29.825726,29.256805,29.807198,29.2282,29.799597,28.92028,28.011395,26.79594,24.644384,17.983929,12.735838,11.505054,9.09,8.650254
02/13,29.360844,29.803787,29.80209,29.804745,29.266691,29.80698,29.247469,29.798424,28.918316,28.078625,26.754612,24.569603,18.283903,12.800787,11.510283,9.03,8.645362
02/14,29.384098,29.753456,29.750843,29.753138,29.254503,29.761608,29.254642,29.759834,28.929907,28.117159,26.719757,24.614927,18.355127,12.791562,11.4945345,8.89,8.693037
02/15,29.425058,29.749382,29.747974,29.74736,29.24615,29.746288,29.232584,29.750633,28.897036,28.058687,26.81593,24.71845,18.285913,12.727246,11.499017,8.95,8.682274
02/16,29.360228,29.763073,29.747063,29.744469,29.19068,29.734753,29.208822,29.706596,28.819304,27.958838,26.826609,24.772137,18.207232,12.756419,11.547891,9.19,8.612199
02/17,29.322166,29.78307,29.767181,29.762306,29.174713,29.750988,29.214432,29.69286,28.766628,27.933872,26.724377,24.823837,18.2933,12.799168,11.545623,9.07,8.545885
02/18,29.365978,29.857655,29.834316,29.827896,29.187956,29.812271,29.221493,29.780033,28.783813,27.978907,26.768509,24.799278,18.500334,12.852447,11.5595455,8.84,8.573852
02/19,29.37002,29.985506,29.909563,29.887356,29.202375,29.85942,29.227304,29.802895,28.802372,27.957874,26.706728,24.478666,18.227623,12.798585,11.554649,8.77,8.630849
02/20,29.299557,29.931583,29.898804,29.883438,29.217232,29.820469,29.23515,29.657722,28.87467,27.931982,26.659058,24.377314,18.263628,12.876257,11.556817,9.28,8.620452
02/21,29.318117,29.71262,29.71334,29.717426,29.238953,29.682072,29.263319,29.538292,28.807623,27.973408,26.524399,24.28605,18.270248,12.794365,11.563289,9.4,8.657622
02/22,29.31194,29.712555,29.699566,29.688736,29.247534,29.663866,29.303083,29.644451,28.811453,27.89036,26.490177,24.29297,18.28226,12.890692,11.569008,9.13,8.691301
02/23,29.291393,29.617691,29.62064,29.620167,29.223373,29.592007,29.279285,29.6223,28.81019,27.789469,26.600426,24.618551,18.591337,13.041648,11.624176,9.35,8.660969
02/24,29.25801,29.667751,29.651896,29.61705,29.191732,29.451462,29.249718,29.443512,28.810877,27.84468,26.705648,24.723066,18.480034,12.965803,11.607239,8.97,8.582749
02/25,29.39694,29.56216,29.548176,29.48938,29.194958,29.379435,29.252117,29.28581,28.865078,27.976795,26.857119,24.70461,18.456177,12.87119,11.569621,8.87,8.642608
02/26,29.280931,29.408508,29.392782,29.297596,29.134851,29.245033,29.208447,29.228392,28.859938,28.082628,26.891634,24.74501,18.673714,12.979091,11.607872,8.76,8.7364025
02/27,29.232624,29.30062,29.273153,29.252602,29.104021,29.220053,29.14747,29.1955,28.845287,28.073624,26.900671,24.72435,18.791548,13.035027,11.622877,8.75,8.727219
02/28,29.310472,29.399544,29.359451,29.343071,29.118572,29.266094,29.161272,29.221537,28.810951,28.105907,26.83322,24.666107,18.597788,12.967291,11.589321,8.83,8.6923275
02/29,28.828325,,,,28.521994,,28.672083,,28.432589,27.466152,26.100143,24.369951,19.523056,13.380584,11.668828,,8.6083975
03/01,29.365831,29.519386,29.452347,29.40685,29.250608,29.249882,29.178774,29.222666,28.86939,28.13344,26.759537,24.710743,18.697037,12.9663725,11.545739,9.11,8.664216
03/02,29.351393,29.591248,29.546349,29.5217,29.23684,29.352495,29.206614,29.240553,28.848072,28.040386,26.760838,24.766571,18.654514,13.091766,11.555793,9.15,8.686952
03/03,29.392294,29.728767,29.65045,29.603281,29.250309,29.420647,29.210354,29.297543,28.877842,28.020344,26.73466,24.734833,18.53337,12.985641,11.550433,9.2,8.615526
03/04,29.384697,29.55756,29.570791,29.549461,29.258196,29.393307,29.22874,29.366423,28.932388,28.177307,26.78702,24.80135,18.74773,13.098752,11.586078,9.24,8.589381
03/05,29.30732,29.556168,29.576595,29.55545,29.219759,29.439812,29.203838,29.390461,28.959272,28.17018,26.86868,24.880823,18.834293,13.062005,11.597813,9.01,8.628275
03/06,29.393738,29.654385,29.648548,29.63423,29.221498,29.542107,29.195087,29.546284,28.95479,28.135214,26.728971,24.85406,18.892504,13.044302,11.632394,8.96,8.640169
03/07,29.304323,29.64234,29.639236,29.639214,29.226437,29.589294,29.189817,29.557972,28.911905,28.12845,26.69462,24.815382,18.639606,12.990705,11.617553,9.24,8.7099495
03/08,29.308245,29.366186,29.412529,29.455036,29.223867,29.437086,29.189898,29.340902,28.88298,28.125378,26.737566,24.843906,18.821524,12.995633,11.557678,9.2,8.705848
03/09,29.329683,29.544365,29.493153,29.485023,29.229479,29.513262,29.222572,29.331688,28.867971,28.16414,26.730776,24.831781,18.762823,12.995172,11.540623,9.23,8.67188
03/10,29.261257,29.301262,29.324533,29.336933,29.188744,29.35572,29.224169,29.291927,28.814428,28.10846,26.668715,24.878101,18.970154,13.013605,11.569846,9.18,8.645174
03/11,29.286945,29.112633,29.020756,29.040848,29.171566,29.058083,29.19396,28.94553,28.739105,27.987833,26.545933,24.67143,18.849913,12.991723,11.546678,9.12,8.6292305
03/12,29.299702,29.174583,29.1305,29.104092,29.18611,28.978363,29.182423,28.861263,28.753338,27.913433,26.59476,24.798504,18.782814,12.917236,11.539745,9.06,8.711737
03/13,29.332022,29.165253,29.128086,29.135527,29.175394,29.067362,29.177774,28.92466,28.769361,27.9411,26.73906,24.982334,18.768057,12.899567,11.534337,9.13,8.699358
03/14,29.41688,29.157578,29.128666,29.139305,29.193752,29.107513,29.17798,28.998734,28.713495,28.015549,26.716671,24.955652,18.751122,13.006937,11.527214,9.1,8.7110195
