time,1,5,8,10,13,15,20,25,28,30,31,35,40,45,48,50,51,55,60,80,83,100,120,123,140,180,200,300,500
01/20,24.591011,24.535315,,24.391027,25.116667,26.30893,23.711311,23.78722,24.05,28.47,23.459976,25.702095,21.287085,22.1291,21.373331,27.17,21.459984,21.255524,19.645746,17.293982,16.42,15.947719,14.829652,14.423333,14.075156,13.242969,12.89,11.772944,8.074906
01/21,24.616968,24.58219,,24.450237,24.836668,26.600777,23.783907,23.757645,23.58,28.52,23.580114,25.76736,21.130941,22.056948,20.876665,27.43,22.004154,21.516813,19.43901,17.662298,17.373335,15.884849,14.826043,14.66,14.103743,13.216798,12.95,11.867095,8.167268
01/22,24.5894,24.525492,,24.43445,24.613333,26.684639,23.772638,23.583023,23.7,28.71,22.79229,25.327656,21.113302,21.713478,19.846666,27.74,20.860876,20.684877,19.446938,17.562054,16.12,15.666812,14.644811,14.206666,14.033243,13.193432,13.03125,11.895725,8.127142
01/23,24.661037,24.535763,,24.413523,24.406668,26.623178,23.767221,23.585978,23.645,28.68,22.5316,25.250444,21.1528,21.687796,19.563334,27.72,20.757359,20.570114,19.417875,17.673124,16.15,15.854779,14.730149,14.213333,14.057407,13.202057,13.065,11.879011,8.119563
01/24,24.670137,24.503733,,24.406181,24.213333,26.584137,23.738472,23.658009,23.365,28.49,22.914164,25.198977,21.28718,21.679243,20.666666,27.8,19.451092,19.022732,19.246815,17.653994,16.943333,15.852765,14.7788105,14.446667,14.103018,13.186481,13.08125,11.968829,8.105767
01/25,24.699297,24.476034,,24.37288,24.403334,26.5137,23.66881,23.620314,23.244999,28.34,22.903225,25.185658,21.4994,21.614344,21.786667,27.65,19.374664,19.058718,19.385155,17.520304,17.41,15.874188,14.773417,14.823334,14.030359,13.164497,13.03625,11.939632,8.100162
01/26,24.70674,24.490849,,24.315111,24.603333,26.532652,23.593103,23.485312,23.58,28.29,24.111557,26.050816,21.871798,21.656845,21.269999,27.55,20.527409,19.863354,19.550747,17.216646,17.243334,15.625467,14.688276,14.53,13.982667,13.233211,12.940001,11.905469,8.097575
01/27,24.62882,24.296774,,24.194351,24.800001,26.410585,23.559933,23.501816,23.74,28.39,23.795748,25.99194,21.536028,21.5034,22.230001,27.41,20.069054,19.58065,19.509905,17.433355,17.289999,15.853613,14.859071,14.626666,14.138131,13.258549,13.00375,11.931437,8.068038
01/28,24.608421,24.30893,,24.155195,24.753334,26.208958,23.469772,23.536505,23.875,28.2,23.424389,25.4478,21.07116,21.395828,22.246666,26.56,19.831465,19.393488,19.34441,17.325779,17.076666,15.633567,14.7758465,14.37,14.136494,13.250123,13.035,11.940052,8.1654215
01/29,24.667027,24.404665,,24.224064,24.75,26.36578,23.481693,23.455002,23.655,28.22,22.217909,24.66658,21.14983,21.419462,22.233332,26.54,19.730043,19.411919,19.436245,17.435486,17.006666,15.926162,14.898607,14.473332,14.225532,13.270939,13.14125,11.925415,8.13424
01/30,24.639479,24.448322,,24.303736,25.07,26.462393,23.448256,23.389948,23.935001,28.28,22.288137,24.919754,20.87621,21.47947,22.236666,26.62,20.671366,20.420938,19.556818,17.415466,16.786667,15.872144,14.859219,14.446667,14.121184,13.242416,13.10375,11.909865,8.093575
01/31,24.735016,24.526287,,24.403122,25.04,26.482616,23.555494,23.568712,23.939999,28.4,22.473484,25.135674,21.265326,21.717222,21.293333,26.99,21.18767,21.100977,19.733086,17.301943,16.396666,15.830917,14.86503,14.37,14.102177,13.223576,13.01375,11.802975,8.073199
02/01,24.771261,24.63394,,24.367117,24.733332,26.454916,23.32314,23.580555,23.8,28.34,21.887966,24.805965,21.072165,21.738106,19.993334,26.7,20.861715,20.47424,19.375937,17.3138,15.703334,15.722778,14.819001,14.003333,14.078924,13.185335,12.99625,11.793663,8.137003
02/02,24.873781,24.746435,,24.405018,24.75,26.573397,23.357862,23.628551,23.84,28.36,22.689922,25.173153,21.315163,21.737196,19.916666,26.75,21.243769,21.142662,19.426107,17.62225,16.12,15.773861,14.896273,14.003333,14.131217,13.231759,12.9925,11.818694,8.11988
02/03,25.046995,24.986692,,24.581587,24.553335,26.872608,23.566036,23.723349,23.785,28.4,23.891436,25.848188,21.280989,21.673977,19.666666,26.13,22.115059,22.04106,19.379616,17.829695,16.01,16.100395,14.8708935,14.113334,14.10173,13.186637,13.0199995,11.806446,8.077594
02/04,25.066639,25.111826,,24.712284,24.33,27.165058,23.763828,23.883884,23.415,28.28,24.463945,26.138874,21.451624,21.786983,19.89,24.75,23.018682,22.7778,19.609877,17.767775,15.846667,15.73267,14.679832,14.063333,13.997943,13.186995,12.97375,11.813868,8.112824
02/05,25.076672,25.077442,,24.745132,24.32,27.277378,23.784212,24.108053,22.75,28.3,24.923128,26.433226,21.210321,22.089645,19.97,26.38,23.827272,23.525991,19.573238,17.608047,15.329999,15.779731,14.67391,14.033333,13.966172,13.18412,13.09375,11.812569,8.092167
02/06,25.233963,25.138556,,24.771687,24.463333,27.19036,23.8574,24.141806,23.585,28.3,24.655636,26.219498,21.392885,22.05392,19.243334,26.65,23.095188,22.256445,19.558756,17.735298,15.276668,15.885581,14.833904,13.94,14.064538,13.167585,13.18375,11.78423,8.096445
02/07,25.350405,25.269598,,24.915895,24.970001,27.183775,24.141302,24.075485,23.939999,28.43,24.358625,26.138887,21.420813,22.075474,19.06,27.55,21.747345,20.571342,19.830055,17.723026,15.38,15.917142,14.862555,14.003334,14.127699,13.144476,13.32125,11.736664,8.118802
02/08,25.355268,25.275272,,24.923515,24.943335,27.223179,24.015253,23.95511,23.255,28.19,24.33558,26.009872,21.332262,22.140154,19.513334,26.75,21.932093,20.5456,19.661388,17.266973,15.62,15.768852,14.8602915,14.07,14.12061,13.179424,13.32625,11.748366,8.14938
02/09,25.35883,25.233093,,24.910673,25.033333,27.224813,23.973242,23.933979,24.115,28.3,24.284723,26.019348,21.296667,22.119177,19.223333,27.01,22.511051,21.190939,19.335655,17.045801,15.803333,15.719602,14.819514,14.03,14.102556,13.183612,13.29,11.7619705,8.097867
02/10,25.34906,25.220919,,24.91987,25.32,27.218632,23.880314,23.789524,24.05,28.69,23.751802,25.939413,21.223408,21.891918,18.586668,26.97,20.096071,19.081453,19.316107,17.170504,15.576667,15.77099,14.949062,13.829999,14.199752,13.177596,13.3225,11.699439,8.099696
02/11,25.28023,25.112614,,24.833378,24.953333,27.484035,23.912039,23.836472,23.67,29.12,23.511377,25.96014,21.171967,21.92195,18.13,27.26,20.1409,19.11246,19.31701,17.22595,15.45,15.872185,15.019404,13.826667,14.240423,13.212225,13.2612505,11.686295,8.112164
02/12,25.378836,25.258406,,24.889145,24.963333,27.478138,23.8989,23.718603,23.470001,29.08,23.310688,25.545353,20.85706,21.805874,18.13,26.44,20.349606,19.097195,19.067438,17.195358,15.41,15.7080965,14.8933525,13.829999,14.059474,13.145816,13.32125,11.645478,8.089321
02/13,25.405174,25.31073,,24.909906,24.64,27.26585,23.603886,23.468657,23.29,29.05,22.121044,25.03716,20.78129,21.58712,18.390001,26.78,19.580906,18.505924,18.890266,17.298119,15.37,15.679894,14.742708,13.793334,14.041371,13.096698,13.25375,11.637224,8.082663
02/14,25.37201,25.341307,,24.945017,24.426666,27.156288,23.660145,23.48972,22.470001,28.82,22.409458,24.907417,20.668745,21.307667,18.686666,26.26,19.91341,19.401642,18.922028,17.168787,15.150001,15.547563,14.499019,13.766666,13.900392,13.052463,13.22375,11.618079,8.067723
02/15,25.493443,25.379204,,24.969217,24.94,27.080837,23.927757,23.55167,23.175,28.12,21.926971,24.260311,21.05337,21.229277,18.623335,24.18,17.92268,17.640627,19.00323,17.061678,15.483334,15.516686,14.617543,13.913334,13.8616495,13.049727,13.15,11.65426,8.028609
02/16,25.548784,25.31993,,24.8835,24.396667,27.08593,23.830252,23.5003,23.24,27.26,22.880682,24.199343,21.025759,21.089878,18.27,20.76,18.325512,17.771168,18.879118,16.957178,15.509999,15.466069,14.549556,14.013333,13.852759,13.069311,13.0775,11.698343,8.019112
02/17,25.579626,25.352308,,24.864775,24.083334,27.062767,23.755867,23.642698,23.05,27.27,23.215319,24.31638,21.00777,21.239134,18.463333,21.54,18.312891,17.806545,18.726759,16.951708,15.53,15.476045,14.481959,14.013333,13.877934,13.070254,13.04375,11.658305,8.026853
02/18,25.636068,25.497757,,25.014078,24.54,27.00904,24.064901,23.770487,23.355,26.9,23.967125,24.678774,21.037954,21.355894,18.37,23.04,19.270405,18.237858,18.65882,16.805473,15.326667,15.550515,14.532227,14.07,13.92511,13.083285,13.09875,11.611233,7.988991
02/19,25.647123,25.541904,,25.072214,24.186666,26.94912,24.011925,23.74149,23.605,26.86,23.78984,24.547207,20.800896,21.24731,18.106667,23.24,18.715744,18.002361,18.69482,17.013433,15.13,15.667771,14.619366,14.16,13.954591,13.089867,13.16125,11.637946,8.039426
02/20,25.71526,25.47057,,25.044659,23.776667,26.850744,23.684978,23.732077,23.0,27.05,24.245213,25.131607,20.637693,21.343513,17.386667,24.44,19.217442,18.866758,18.618855,17.050774,14.8966675,15.864176,14.605681,14.203334,13.95993,13.08326,13.04875,11.650703,8.030858
02/21,25.664543,25.476572,,25.082552,23.65,26.77636,23.646145,23.787056,23.415,27.27,23.627193,24.622555,20.344048,21.184673,17.703333,24.27,19.785069,19.200277,18.627016,17.000473,15.246667,15.6562805,14.503274,14.18,13.892939,13.100288,12.9325,11.731904,8.027917
02/22,25.738392,25.521034,,25.1321,23.873331,26.945566,24.123358,23.92399,23.08,26.95,22.835085,23.829624,20.70921,21.310583,18.343332,22.5,19.40674,18.2315,18.67435,16.951912,15.139999,15.349048,14.423178,14.116666,13.87958,13.124118,12.95,11.666874,8.020564
02/23,25.696486,25.558918,,25.207907,24.775,26.94817,23.831617,23.817785,26.35,26.2,22.928837,23.688255,20.559893,21.176872,19.075,20.64,18.447895,17.921806,18.612816,16.717884,15.74,15.2499075,14.385107,14.26,13.849883,13.131144,12.88625,11.747036,8.05156
02/24,25.807947,25.614346,,25.234272,26.38,26.448025,23.739483,23.906878,25.12,25.6,23.478737,23.95756,20.34821,21.376179,21.56,20.9,19.594942,19.244928,18.605736,16.808655,17.31,15.560631,14.542272,15.13,14.000757,13.212353,12.88,11.70571,8.039774
02/25,25.920769,25.732824,,25.313684,24.529999,26.679981,23.51917,23.741255,21.95,25.5,23.466074,24.133907,20.278046,21.53303,18.575,22.46,20.80443,20.271265,18.67855,16.790318,15.51,15.492783,14.578141,14.535,13.977209,13.196955,13.0075,11.673719,8.077511
02/26,25.828518,25.635761,,25.13974,24.545,27.13863,23.555508,23.970514,22.605,26.57,24.024906,24.685823,20.415823,21.822287,18.93,24.49,21.476469,20.760393,19.026636,16.91339,16.0,15.588242,14.492695,14.7,13.944212,13.2222185,13.028749,11.737943,8.058971
02/27,25.736902,25.570692,,25.029615,23.816666,27.61332,23.823812,24.010275,22.575,28.09,24.379972,25.621605,20.819479,22.028364,18.923332,24.84,19.043802,17.734074,19.148212,16.985308,16.073334,15.521141,14.5767145,14.586667,13.970515,13.196741,13.0725,11.688362,8.032286
02/28,25.781036,25.548223,,24.97235,23.480001,27.592361,23.712221,23.875942,22.275,28.62,23.83736,25.233131,20.633371,21.972857,18.603333,23.64,19.07388,18.27035,18.810892,16.730433,15.733334,15.341121,14.5416565,14.186666,13.982052,13.15505,13.0475,11.702351,8.053979
02/29,26.17902,26.21712,,25.746983,,25.532331,24.265158,24.936222,,,23.551731,22.646858,20.329212,22.59722,,,19.338612,17.986538,19.580786,17.640568,,16.152115,14.902924,,14.077052,13.148536,13.59,11.86458,8.037566
03/01,25.705742,25.342426,,24.926659,23.093332,24.920044,23.401415,23.488258,21.95,,22.767057,22.181404,20.15424,20.996222,18.15,,18.977541,18.182096,18.52686,16.534836,15.566667,15.31633,14.454223,14.346667,13.857673,13.178964,12.8785715,11.635339,8.060665
03/02,25.839981,25.42303,,24.957817,23.233332,24.357641,23.4767,23.474154,23.355,,22.730799,22.329136,20.091402,20.75832,18.616667,,19.23163,18.22584,18.34018,16.37068,15.763333,15.336516,14.525909,14.663333,13.86111,13.180531,12.778571,11.580685,8.060912
03/03,26.150785,25.560434,,25.019247,23.153334,24.51213,23.589756,23.61934,23.185,,22.377316,21.97028,19.951973,20.666765,18.026667,,19.5654,18.60379,18.261957,16.499327,15.623333,15.405476,14.397931,14.416667,13.832156,13.193277,12.797143,11.601309,8.089336
03/04,26.193905,25.609634,,25.103056,23.053335,24.044144,23.71875,23.63139,21.54,,21.487953,20.818577,19.410248,20.501474,17.73,,17.407848,16.756363,18.270374,16.65463,15.666667,15.494874,14.444434,14.243333,13.778788,13.157716,12.845714,11.666559,8.021169
03/05,26.109415,25.514357,,25.147022,23.063334,23.646479,23.66979,23.540936,21.46,,20.733677,20.175907,19.523897,20.846212,18.046667,,18.214088,17.620235,18.627432,16.813257,16.089998,15.479757,14.393345,14.483334,13.776448,13.16233,12.774285,11.706499,8.028947
03/06,26.209929,25.529099,,25.222094,23.159998,24.016129,23.848711,23.56121,22.305,,22.712767,22.092316,19.948713,21.014023,18.926666,,18.742575,18.210754,19.038107,17.005587,16.26,15.460882,14.379467,14.533333,13.7685,13.167346,12.765715,11.755233,8.102371
03/07,26.276821,25.567709,,25.306755,23.243332,24.25301,23.672277,23.433998,23.654999,,22.814173,21.340336,19.883945,20.965216,20.003334,,17.669556,17.349768,19.11005,16.929037,17.086668,15.293106,14.246335,14.543334,13.72053,13.156838,12.785714,11.575605,8.094891
