time,1,5,10,15,20,25,30,40,50,60,75,80,100,120,125,140,150,180,200,250,300,500
01/25,26.30691,25.329426,25.31876,25.299465,27.090668,26.124598,25.24545,27.11121,25.996246,27.187252,25.589651,29.39,24.907867,29.57,22.03894,29.41,19.165562,18.13,14.191223,12.5847225,11.7687645,8.159157
01/26,26.279722,25.457703,25.446548,25.429266,27.12999,26.112574,25.374008,27.15549,25.976109,27.218842,25.700003,29.33,24.85489,29.55,22.170483,29.43,19.220291,18.93,14.20391,12.514734,11.70322,8.154269
01/27,26.279312,25.281109,25.268736,25.249296,27.03025,26.092274,25.209352,27.072317,25.95496,27.160995,25.641453,29.32,24.785995,29.51,22.091383,29.42,18.962547,18.24,14.200391,12.546155,11.67729,8.092792
01/28,26.298023,25.12559,25.11614,25.102411,27.05169,26.079203,25.072735,27.099434,25.920235,27.194195,25.644775,29.49,24.83797,29.63,22.142313,29.5,18.802847,19.83,14.183803,12.528042,11.646287,8.070286
01/29,26.334318,24.955791,24.93394,24.912,26.952385,26.120346,24.861383,27.020569,25.952328,27.131979,25.711079,29.61,24.869434,29.73,22.03888,29.53,18.556023,18.01,14.074254,12.494408,11.686985,8.130849
01/30,26.329683,24.81399,24.77421,24.744339,26.888325,26.13773,24.664516,26.955364,25.955097,27.061142,25.70242,29.65,24.779024,29.77,22.204832,29.13,18.478502,17.68,14.081195,12.510265,11.699708,8.121851
01/31,26.318235,24.751385,24.682394,24.637014,26.868498,26.112679,24.531796,26.862354,25.93908,26.9062,25.729603,29.68,24.823843,29.76,22.233389,28.02,18.690962,17.11,14.192475,12.573968,11.7391405,8.113681
02/01,26.310448,24.726254,24.661167,24.618368,26.840023,26.094654,24.507368,26.838385,25.936146,26.821417,25.761341,29.62,24.775223,29.61,22.134212,26.75,18.782911,17.31,14.155195,12.513409,11.678237,8.132481
02/02,26.316929,24.755295,24.691975,24.657095,26.840134,26.112288,24.548628,26.838295,25.927822,26.770653,25.640932,29.62,24.661348,29.61,22.111599,27.99,18.738424,17.16,14.129854,12.484305,11.681304,8.101004
02/03,26.333591,25.018644,24.945772,24.914747,26.979696,26.120504,24.838789,26.983818,25.92328,27.00335,25.548721,29.63,24.52495,29.6,21.906258,27.94,18.556803,17.07,14.180672,12.530193,11.706901,8.079
02/04,26.361544,25.338167,25.281488,25.246403,27.133982,26.144497,25.171097,27.178766,25.943197,27.296227,25.630205,29.58,24.641409,29.52,22.006376,27.65,18.51949,16.71,14.11117,12.55081,11.7333765,8.119567
02/05,26.35525,25.49766,25.428698,25.368938,27.203459,26.133118,25.227808,27.210447,25.91632,27.392067,25.576136,29.52,24.674816,29.52,22.133644,26.89,18.641,16.24,14.249793,12.610374,11.7585,8.139323
02/06,26.358976,25.579138,25.518932,25.469091,27.254803,26.152275,25.321177,27.235119,25.928623,27.376495,25.610249,29.48,24.734089,29.67,22.176453,27.48,18.582079,16.56,14.17116,12.570259,11.706151,8.14154
02/07,26.377253,25.569153,25.526133,25.489498,27.278633,26.16595,25.314154,27.270742,25.894299,27.301231,25.487272,29.47,24.64072,29.63,21.94574,24.26,18.322668,16.27,14.082964,12.5139,11.735684,8.126739
02/08,26.359488,25.503048,25.471445,25.437061,27.259277,26.161243,25.30564,27.227798,25.944014,27.253445,25.51193,29.5,24.687178,29.36,22.02999,26.11,18.536478,16.21,14.143647,12.507622,11.657998,8.132695
02/09,26.339458,25.376856,25.368233,25.352528,27.244465,26.14489,25.295803,27.242558,25.955828,27.255291,25.644726,29.43,24.762514,29.43,22.20715,24.8,18.77833,15.8,14.228517,12.576246,11.683197,8.170519
02/10,26.343573,25.273952,25.264957,25.250994,27.18053,26.133493,25.204428,27.208702,25.87276,27.247517,25.553196,29.47,24.64008,29.47,22.014608,23.21,18.617361,15.75,14.132277,12.535795,11.6230955,8.172139
02/11,26.384995,25.195732,25.192472,25.18159,27.15369,26.14757,25.135696,27.173885,25.842415,27.230545,25.4597,29.52,24.536528,29.18,21.937937,19.42,18.684334,15.98,14.214561,12.523322,11.658501,8.123753
02/12,26.399391,25.132301,25.122835,25.102715,27.131802,26.14579,25.043816,27.131115,25.845371,27.125965,25.48146,29.54,24.493145,29.18,21.761593,19.45,18.564487,15.84,14.226929,12.522186,11.638068,8.1382475
02/13,26.38494,25.081497,25.064331,25.047567,27.066898,26.125505,24.998219,27.079258,25.830505,27.00972,25.465168,29.53,24.392225,25.61,21.485447,18.03,18.517555,14.27,14.212441,12.47641,11.653751,8.153062
02/14,26.39436,25.079292,25.056479,25.027266,27.050716,26.127914,24.936821,27.019695,25.838017,26.927822,25.354498,29.53,24.428434,29.46,21.921167,21.28,18.58075,14.85,14.277314,12.469934,11.709624,8.163423
02/15,26.415508,25.046356,25.032442,25.010221,27.074389,26.13743,24.945612,27.07666,25.828085,27.072716,25.385134,29.55,24.424343,26.93,21.761614,21.1,18.491121,15.07,14.1855545,12.44513,11.695482,8.111744
02/16,26.395214,25.032412,25.006815,24.986708,27.058346,26.13795,24.92004,27.051226,25.818829,27.0452,25.355581,29.52,24.292791,25.72,21.714104,18.53,18.478315,14.73,14.161873,12.465363,11.707161,8.133347
02/17,26.377888,25.108032,25.07181,25.035528,27.071812,26.121399,24.93646,27.05162,25.816662,27.00528,25.292068,29.51,24.337526,26.41,21.831442,19.44,18.631924,14.8,14.285172,12.51068,11.783044,8.150054
02/18,26.339153,25.336857,25.322311,25.304457,27.217852,26.12803,25.247503,27.22076,25.860338,27.244366,25.222057,29.42,24.251005,25.09,21.618277,18.54,18.461994,14.47,14.137189,12.45633,11.635266,8.071083
02/19,26.35776,25.583515,25.564896,25.544592,27.333935,26.141256,25.48528,27.343246,25.902458,27.38234,25.324183,29.37,24.295984,24.29,21.508179,17.14,18.441244,14.13,14.21906,12.52716,11.743211,8.16789
02/20,26.453598,25.647636,25.645956,25.63888,27.409447,26.202724,25.605309,27.430847,25.920834,27.456406,25.284092,29.35,24.31107,26.76,21.541739,21.07,18.321125,14.35,14.17709,12.517528,11.70464,8.154763
02/21,26.49437,25.676395,25.674208,25.668053,27.395672,26.264086,25.643482,27.441555,25.933512,27.443737,25.290508,29.24,24.370655,24.23,21.600101,18.56,18.174425,14.79,14.203186,12.526488,11.774639,8.151554
02/22,26.513186,25.673267,25.661524,25.643057,27.359076,26.274513,25.609035,27.368977,25.950264,27.39877,25.35743,29.11,24.422512,26.01,21.704084,19.21,18.319284,15.2,14.263122,12.568279,11.760755,8.1962
02/23,26.52665,25.629894,25.627428,25.620415,27.355225,26.259556,25.596489,27.301472,25.825588,27.38931,25.279655,29.06,24.158072,25.48,21.448723,17.4,18.299265,15.14,14.21383,12.5224085,11.721523,8.165642
02/24,26.517385,25.620754,25.609125,25.599165,27.329342,26.246914,25.57519,27.259356,25.774687,27.281132,25.13612,29.0,24.037868,21.74,21.139168,16.36,18.260263,14.74,14.081276,12.515344,11.695705,8.122646
02/25,26.484478,25.65194,25.633465,25.607357,27.340818,26.224592,25.562239,27.324219,25.841183,27.315918,25.200563,29.07,24.129578,22.47,21.334993,16.89,18.357674,14.91,14.164264,12.570223,11.730724,8.130835
02/26,26.465115,25.624887,25.600794,25.584463,27.332125,26.192484,25.554447,27.346626,25.856518,27.40221,25.260675,29.2,24.26242,23.49,21.683363,17.47,18.610472,15.17,14.209552,12.545991,11.769489,8.171237
02/27,26.46575,25.586908,25.558844,25.52632,27.312832,26.221386,25.479288,27.328522,25.936821,27.376629,25.325838,29.23,24.291256,20.12,21.45851,17.82,18.382647,15.02,14.210851,12.527999,11.706335,8.165455
02/28,26.487854,25.515295,25.500801,25.477938,27.273247,26.266977,25.428595,27.30135,25.99537,27.348846,25.348066,29.15,24.08527,22.85,21.288633,19.18,18.138453,15.3,14.166859,12.469584,11.609121,8.173648
02/29,26.622416,,,,29.06,26.1835,,29.18,25.875391,29.39,25.016096,29.22,24.016476,22.62,20.409695,18.69,16.79297,15.29,13.499109,12.252478,11.536138,8.065605
03/01,26.538795,25.458199,25.456076,25.451113,27.225689,26.30814,25.421186,27.282578,26.022308,27.376429,25.339577,29.02,23.856138,20.32,21.247034,17.55,17.966215,14.45,14.041782,12.498634,11.643454,8.186674
03/02,26.517618,25.415258,25.403101,25.394342,27.16348,26.301243,25.37399,27.248055,26.026733,27.312452,25.341288,28.73,23.883877,20.17,21.116285,17.34,18.147974,14.25,14.151127,12.536916,11.737811,8.239692
03/03,26.529919,25.40613,25.376509,25.357279,27.093563,26.328112,25.3342,27.15974,26.070147,27.253672,25.441015,28.14,24.199335,20.72,21.254765,16.79,18.049078,14.27,14.139042,12.515548,11.735423,8.254231
03/04,26.557829,25.435835,25.377924,25.349884,27.083204,26.344337,25.29333,27.116638,26.009401,27.161087,25.376219,28.48,24.00748,20.88,21.045351,16.82,17.996567,14.71,14.01847,12.464159,11.664482,8.198418
03/05,26.557524,25.420696,25.381104,25.360289,27.08145,26.353895,25.310986,27.08915,25.978441,27.076761,25.346943,28.51,24.061703,21.41,20.918846,17.24,17.944138,14.42,14.022566,12.486674,11.675078,8.171317
03/06,26.528828,25.36022,25.341978,25.3296,27.064922,26.333647,25.30076,27.083271,25.97339,27.10397,25.33681,28.34,24.06014,21.79,21.09984,17.8,18.013563,14.6,13.9812355,12.46706,11.660504,8.1246605
03/07,26.516611,25.390587,25.3644,25.335236,27.064014,26.32414,25.293665,27.071236,26.015516,26.970188,25.416811,27.57,23.956408,20.37,20.973522,17.01,17.963472,14.54,14.019379,12.45349,11.64798,8.181338
03/08,26.553028,25.420221,25.396341,25.374775,27.095665,26.310537,25.300316,27.073334,26.032866,27.003254,25.5316,27.73,23.982193,19.99,20.891188,17.28,17.92975,14.24,13.987837,12.449849,11.645668,8.19461
03/09,26.609163,25.649162,25.559597,25.502815,27.150501,26.352678,25.399332,27.164225,26.019169,27.036734,25.432703,27.51,23.639345,19.8,20.740234,17.34,17.914988,14.26,14.024804,12.425085,11.643082,8.129462
03/10,26.699621,25.811033,25.68448,25.585926,27.20242,26.38604,25.471468,27.182512,25.989271,27.03476,25.352058,27.84,23.767075,18.95,20.848738,17.15,17.89635,14.62,14.078001,12.440493,11.64148,8.110156
03/11,26.739578,25.806032,25.694054,25.631256,27.236975,26.420547,25.51591,27.186117,25.982115,27.136478,25.357918,27.92,23.921125,19.34,21.158474,16.64,18.097645,14.53,14.064131,12.447078,11.727661,8.176945
03/12,26.770046,25.918222,25.879927,25.845602,27.331936,26.444283,25.759377,27.302456,26.04839,27.318447,25.363104,28.03,23.90949,18.98,21.182018,16.55,18.262833,14.71,14.160876,12.445985,11.731167,8.197683
03/13,26.762413,26.019344,25.961409,25.917849,27.34969,26.443254,25.808855,27.32634,26.071545,27.247082,25.414936,27.81,23.815445,18.32,21.12015,16.83,18.036293,14.88,14.215716,12.427089,11.703771,8.203754
03/14,26.74468,26.276442,26.227339,26.175737,27.496357,26.462496,26.005365,27.41289,26.06644,27.288294,25.440075,28.27,23.946472,18.5,21.041609,17.06,17.824137,15.46,14.205467,12.407062,11.649062,8.159631
03/15,26.75196,26.076183,26.050205,26.012526,27.429333,26.480852,25.873074,27.37595,26.088945,27.280117,25.4274,28.42,23.9341,18.99,21.208317,17.56,18.01877,15.59,14.233632,12.408083,11.654359,8.167279
03/16,26.740303,25.982777,25.952765,25.921944,27.370316,26.484886,25.824606,27.355192,26.149055,27.14106,25.50328,28.06,23.9614,18.64,21.351965,17.7,18.191824,16.0,14.26244,12.481221,11.680811,8.164728
03/17,26.755371,25.846302,25.823162,25.794687,27.31487,26.48569,25.70138,27.299513,26.171022,27.26913,25.575567,28.44,24.177032,20.43,21.11279,18.35,18.294285,16.25,14.143795,12.444704,11.695896,8.171918
03/18,26.785645,25.821533,25.79506,25.764593,27.28787,26.542912,25.668787,27.27592,26.22178,27.182552,25.627436,28.4,24.175964,21.57,21.222622,18.72,18.260948,16.33,14.175673,12.469859,11.698093,8.184282
03/19,26.78961,25.743298,25.718723,25.692266,27.195515,26.552942,25.628845,27.21003,26.258564,27.118526,25.627586,28.06,24.028536,21.27,20.974426,18.88,18.16305,15.44,14.200746,12.480952,11.68101,8.185297
03/20,26.793013,25.795927,25.71016,25.660189,27.137543,26.551725,25.603823,27.155792,26.270882,27.187279,25.553232,28.69,23.979885,22.84,20.954641,19.66,18.143076,14.82,14.232008,12.455355,11.6358595,8.181607
03/21,26.80201,25.811333,25.788,25.755367,27.171207,26.572323,25.694908,27.188778,26.305622,27.167362,25.520004,27.83,23.891861,23.95,20.959879,20.2,18.18504,15.91,14.203968,12.441459,11.621432,8.201685
03/22,26.785173,25.857985,25.849676,25.829395,27.204372,26.593473,25.77475,27.2191,26.329689,26.962772,25.62629,26.98,23.961872,24.71,21.142956,19.08,18.220633,15.68,14.149544,12.417602,11.5793,8.141714
