time,1,3,5,10,13,25,30,50,53,75,100,103,125,150,175,200,203,225,250,300,400,500
01/01,29.484608,29.409998,29.454634,29.44538,28.65,29.338226,29.417078,29.322315,29.064001,28.958395,28.184658,27.409998,25.532179,21.685232,18.780432,16.638098,16.6,15.067325,13.729305,12.252118,9.705193,8.272107
01/02,29.467901,29.496666,29.45814,29.453642,28.66,29.343687,29.428589,29.38241,29.112,28.925232,28.232904,27.563334,25.648201,21.953228,19.03839,16.896696,16.624,15.077956,13.778775,12.266279,9.781991,8.277887
01/03,29.496843,29.543333,29.458612,29.456846,28.6825,29.363941,29.428091,29.451574,29.114002,28.949314,28.147833,27.183334,25.845133,21.962652,19.09716,16.868536,16.786,14.943644,13.869652,12.256576,9.822421,8.29181
01/04,29.528128,29.460001,29.470346,29.458952,28.715,29.390612,29.440285,29.459417,29.11,28.878334,28.112505,27.466667,25.784668,21.758873,18.978683,16.768227,16.692,14.859214,13.864571,12.277519,9.886477,8.257935
01/05,29.607252,29.343332,29.525284,29.485266,28.735,29.42319,29.446898,29.466202,29.114002,28.777466,27.991386,27.275,25.352812,21.442507,18.77395,16.699635,16.458,14.834563,13.802486,12.209762,9.825385,8.227196
01/06,29.670832,29.336668,29.554293,29.508595,28.83,29.460104,29.457243,29.461908,29.128,28.756731,28.007586,27.326666,25.387388,21.335283,18.68861,16.80706,16.614,14.98291,13.870138,12.167402,9.787433,8.263489
01/07,29.572844,29.336668,29.535439,29.507967,28.83,29.447424,29.471563,29.45012,29.132,28.764154,28.012808,27.546667,25.324394,21.545782,18.720852,16.750505,16.458,14.949454,13.851105,12.19835,9.799792,8.262646
01/08,29.573893,29.383333,29.537485,29.509665,28.835,29.423412,29.466776,29.426664,29.107998,28.824408,28.196955,27.781668,25.42656,21.654106,18.871946,16.737919,16.698002,15.073249,13.913124,12.230646,9.789101,8.262839
01/09,29.544907,29.42,29.51514,29.494095,28.84,29.381754,29.43274,29.374226,29.123999,28.885681,28.35817,27.886667,25.291994,21.518822,18.67207,16.675846,16.754002,14.934995,13.851834,12.219424,9.7714,8.232968
