time,1,25,50,75,100,125,150,200,250,300,500,750
02/13,28.45111,28.429472,28.404211,27.829473,24.851578,21.302778,17.565556,12.621579,10.531053,9.695264,7.937778,5.925333
02/14,28.446114,28.42158,28.406315,27.769474,24.967896,21.554445,17.538889,12.685789,10.5515785,9.674211,7.94,5.9006667
02/15,28.412777,28.39421,28.385263,27.92895,24.964737,21.401112,17.564999,12.695264,10.57,9.671053,7.920555,5.9153337
02/16,28.43389,28.408422,28.405264,27.976315,25.023685,21.560001,17.792223,12.701053,10.561579,9.665263,7.924444,5.9013333
02/17,28.385555,28.370525,28.359474,27.864737,24.878948,21.368948,17.718332,12.756315,10.582632,9.6947365,7.9305553,5.9153337
02/18,28.358889,28.347895,28.32579,27.77263,25.03421,21.50389,17.78,12.796316,10.5794735,9.66579,7.917222,5.9026666
02/19,28.398335,28.37579,28.329473,27.824736,24.895788,21.421667,17.692778,12.708947,10.561579,9.668421,7.9166665,5.9153337
02/20,28.413889,28.377893,28.322105,27.81842,25.103157,21.540556,17.808332,12.747895,10.58,9.683158,7.9361115,5.92
02/21,28.428333,28.401052,28.344736,27.764212,25.092106,21.57889,17.774445,12.788948,10.626315,9.683158,7.931111,5.912
02/22,28.413889,28.367895,28.320002,27.846844,25.088947,21.430555,17.698334,12.675789,10.58421,9.686316,7.923889,5.9240003
02/23,28.415,28.386316,28.341578,27.897367,25.119473,21.505556,17.79389,12.74579,10.598421,9.691052,7.926667,5.923333
02/24,28.431112,28.398949,28.36421,27.946314,25.326841,21.618334,17.782223,12.728421,10.627894,9.711052,7.9133334,5.9213333
02/25,28.440527,28.401999,28.382,27.9255,25.280499,21.584211,17.724445,12.733999,10.607,9.6885,7.94,5.925625
02/26,28.432106,28.400501,28.376001,27.946499,25.373,21.772106,17.844444,12.6735,10.6075,9.7185,7.927368,5.929375
02/27,28.447895,28.429,28.404001,27.986002,25.331,21.658422,17.796667,12.761,10.6255,9.696501,7.9310527,5.93625
02/28,28.42421,28.421,28.404001,27.9215,25.354,21.79579,17.799444,12.738,10.613501,9.719999,7.9436836,5.926875
02/29,28.488,28.470001,28.460001,28.170002,26.15,22.392,18.425,12.958,10.722,9.783999,7.982,5.9525
03/01,28.449999,28.442001,28.409,28.032501,25.539,21.8195,18.00389,12.775,10.626,9.7225,7.9452634,5.9375
03/02,28.458946,28.432999,28.407001,28.0415,25.584,21.8995,18.070555,12.7995,10.6345005,9.714,7.927368,5.9362497
03/03,28.455791,28.419,28.410501,28.047,25.538502,21.852499,18.006666,12.797,10.6235,9.752,7.9573684,5.933125
03/04,28.493685,28.470499,28.4375,28.1155,25.6035,21.846,18.159445,12.8045,10.625,9.7065,7.9494743,5.95
03/05,28.519474,28.512,28.467499,28.1595,25.716,22.0045,18.179445,12.866499,10.622,9.724501,7.9736843,5.934375
03/06,28.522104,28.510998,28.470499,28.1795,25.806,22.014,18.325554,12.7905,10.62,9.7295,7.9821053,5.941875
03/07,28.58579,28.517498,28.479502,28.229502,25.848501,21.974499,18.194445,12.8265,10.6515,9.737,7.9689474,5.960625
03/08,28.57842,28.545002,28.49,28.176,25.906,22.0385,18.417778,12.8645,10.656,9.719,7.964737,5.958125
03/09,28.572632,28.546,28.5185,28.1625,25.869,22.1285,18.300556,12.911,10.618,9.733,7.9847374,5.943125
03/10,28.627893,28.5825,28.536,28.247,25.855,22.016,18.369444,12.891001,10.653501,9.7445,7.964737,5.964375
03/11,28.62316,28.592,28.548498,28.314999,26.032501,22.298,18.464445,12.916,10.6245,9.734,7.9831576,5.96
03/12,28.581112,28.560528,28.51737,28.32579,26.18158,22.256842,18.400589,12.913158,10.658421,9.739474,7.9678946,5.963333
03/13,28.583889,28.570002,28.54579,28.362106,26.194738,22.371578,18.434708,12.941052,10.653158,9.769473,7.9826317,5.983333
03/14,28.57611,28.58158,28.54842,28.371052,26.326841,22.445263,18.618334,12.986316,10.688947,9.7263155,7.974737,5.9813333
03/15,28.585554,28.572105,28.543686,28.417894,26.20842,22.407368,18.583334,13.02,10.687894,9.776842,7.9794736,5.983333
03/16,28.622223,28.584736,28.545263,28.322105,26.17,22.419474,18.574444,13.082632,10.68,9.76579,7.9794736,5.984667
03/17,28.570557,28.57421,28.533686,28.321579,26.29579,22.597368,18.860556,13.0673685,10.684736,9.773158,7.9910526,5.9926667
03/18,28.570557,28.564735,28.539474,28.343159,26.32579,22.574736,18.760555,13.115263,10.742632,9.782631,7.9910526,5.974
03/19,28.585554,28.564735,28.556316,28.347895,26.391052,22.621052,18.75111,13.106842,10.70579,9.771052,7.9726315,5.9913335
03/20,28.583889,28.56842,28.554213,28.32421,26.416842,22.810526,18.983334,13.102632,10.706841,9.790526,8.004737,5.989333
03/21,28.636667,28.595789,28.548946,28.240526,26.451054,22.690527,18.751667,13.086842,10.718421,9.801053,7.986842,5.9873333
03/22,28.678335,28.607367,28.56105,28.274212,26.67421,22.742105,18.903334,13.1863165,10.688947,9.791053,8.003158,6.0053334
03/23,28.685556,28.642105,28.608948,28.297894,26.513685,22.658422,18.882778,13.029473,10.72421,9.8173685,8.001579,5.9966664
03/24,28.69611,28.658422,28.615263,28.277897,26.455263,22.75,18.908333,13.16421,10.747368,9.811579,7.987895,6.0086665
03/25,28.659445,28.609474,28.535263,28.279474,26.567896,22.861578,19.06611,13.253158,10.711052,9.809474,8.014737,5.997333
03/26,28.68611,28.631052,28.580524,28.305262,26.557367,22.723684,18.912222,13.150526,10.722105,9.82,7.9857893,6.024667
03/27,28.695557,28.648949,28.598421,28.30579,26.596315,22.782104,19.050556,13.220527,10.755263,9.827369,8.011579,6.002667
03/28,28.707777,28.66579,28.608421,28.276842,26.683683,22.870527,18.89611,13.191579,10.735263,9.821579,8.000526,6.0073333
03/29,28.73611,28.69421,28.63421,28.335262,26.675264,22.868948,18.987778,13.2857895,10.739474,9.822632,7.9921055,6.0126667
03/30,28.74611,28.718422,28.641579,28.219473,26.509474,22.914738,19.113888,13.256843,10.781053,9.86421,8.002632,6.01
