time,1,5,10,13,15,20,25,30,35,40,50,60,80,100,120,140,180,300,500
01/01,25.65776,26.732193,26.913197,27.1,26.723213,25.562773,26.71769,26.716372,26.715008,25.219849,26.713568,24.347008,23.117283,19.552372,15.84198,14.2988,13.298586,11.6156645,8.089887
01/02,25.566145,26.897623,27.02166,27.15,26.89154,25.4978,26.880299,26.87761,26.873993,25.190073,26.867006,24.420727,23.313213,19.770464,15.741674,14.196389,13.284464,11.648306,8.094996
01/03,25.555077,27.139095,27.230488,27.33,27.12458,25.550201,27.116117,27.11326,27.111446,25.25488,27.100973,24.515503,23.574898,19.668993,16.09588,14.239768,13.301849,11.699972,8.153458
01/04,25.523277,26.789436,27.06609,27.35,26.777966,25.491894,26.769966,26.767416,26.761633,24.964903,26.704971,24.30823,22.80055,19.351656,15.555461,14.127412,13.27372,11.665301,8.154764
01/05,25.56847,27.079594,27.200191,27.34,27.054598,25.525835,27.043135,27.037964,27.029547,25.07797,26.770794,24.286636,22.60332,19.445364,15.498281,13.999574,13.234673,11.61272,8.169042
01/06,25.622562,26.908514,27.101828,27.32,26.850029,25.59986,26.774855,26.70428,26.62656,25.186699,25.911749,24.277143,22.626497,18.781548,15.053473,13.934302,13.139282,11.6056185,8.146745
01/07,25.656296,26.720474,27.010056,27.32,26.675577,25.624409,26.600458,26.425673,26.125868,25.107843,25.52949,24.078724,22.0923,18.68431,15.133612,13.9800205,13.176886,11.606261,8.138877
01/08,25.647377,26.336134,26.785051,27.26,26.279875,25.592274,26.106836,25.973259,25.802183,25.05385,25.25168,23.946356,22.204876,18.880177,15.361753,14.07988,13.198822,11.575488,8.143025
01/09,25.62691,25.85621,26.48056,27.15,25.761232,25.55531,25.629787,25.556646,25.47248,24.988052,25.307884,23.943151,22.128792,18.848848,15.500089,14.02452,13.167162,11.6319895,8.205738
01/10,25.644072,25.712086,26.423698,27.18,25.635878,25.613503,25.595255,25.579895,25.564445,25.113035,25.518488,24.078363,22.244184,19.093681,15.367587,14.075256,13.196928,11.679297,8.151098
01/11,25.650553,25.69203,26.457771,27.24,25.636868,25.656805,25.587175,25.56815,25.552109,25.134462,25.50716,24.082527,22.101866,18.810862,15.466259,14.022586,13.187429,11.64084,8.137294
01/12,25.694231,26.117764,26.709267,27.32,26.061382,25.841932,25.964775,25.909777,25.849422,25.186712,25.67024,24.162462,21.996014,18.759747,15.458592,14.027792,13.250218,11.685517,8.1891
01/13,25.790754,26.453976,26.822443,27.23,26.370655,25.965895,26.24245,26.154669,26.055311,25.391228,25.771006,24.431242,22.532938,19.216347,15.889605,14.153442,13.279802,11.6299925,8.137503
01/14,25.775518,26.383852,26.596165,26.81,26.358404,25.97246,26.315565,26.266338,26.198206,25.310905,25.846027,24.268213,22.105423,19.0515,15.6841545,14.038695,13.236598,11.65047,8.166606
01/15,25.829947,26.036564,26.179615,26.32,26.015442,25.929438,25.987564,25.96902,25.947939,25.22183,25.848831,24.10676,22.055466,18.75277,15.620291,14.048987,13.190796,11.601962,8.097684
01/16,25.881493,26.040615,25.934826,25.84,26.019289,25.893116,26.002527,25.998623,25.995928,25.259008,25.986261,24.102394,22.333055,18.725506,15.482012,14.063469,13.234703,11.577851,8.128526
01/17,25.909159,26.157022,25.890682,25.6,26.130459,25.938433,26.106134,26.100529,26.096441,25.21971,26.078535,24.226345,22.120035,18.435606,15.521089,14.088899,13.224901,11.543969,8.119938
01/18,25.897833,26.282913,25.961712,25.64,26.2564,25.963512,26.235237,26.231724,26.225454,25.344643,26.216413,24.40904,22.463526,18.42229,15.303329,14.065216,13.251451,11.573028,8.108642
01/19,25.96678,26.697872,26.201206,25.7,26.677402,25.969398,26.644012,26.608242,26.550266,25.29708,26.394625,24.341597,22.587852,18.356968,15.197019,14.0838585,13.210776,11.6008,8.132569
01/20,25.95949,26.88299,26.237663,25.59,26.844547,25.947876,26.808632,26.763762,26.689276,25.156662,26.458866,24.281693,22.131414,18.395748,15.551227,14.0462675,13.169154,11.610307,8.101111
01/21,25.870829,26.492321,26.189144,25.86,26.453379,25.864166,26.434341,26.429382,26.423475,25.18773,26.200783,24.202862,21.834951,18.420631,15.588154,14.074239,13.163199,11.522346,8.086243
01/22,25.943241,26.41356,26.332474,26.26,26.368183,25.865156,26.347382,26.338049,26.317366,25.330774,25.75173,24.15381,21.738039,18.106865,15.453968,14.0866995,13.171382,11.577644,8.110714
01/23,25.9742,26.4275,26.467329,26.53,26.367565,25.840376,26.306263,26.23554,26.072744,25.362549,25.442123,24.105015,21.605425,18.002134,15.605701,14.248749,13.179039,11.574223,8.109855
01/24,25.936308,26.058712,26.32014,26.61,25.988253,25.79374,25.668968,25.51539,25.37983,25.34511,25.062475,24.230562,21.860464,17.948166,15.481019,14.226754,13.195193,11.603101,8.147108
01/25,25.842918,25.468245,26.09827,26.75,25.391771,25.693298,25.343353,25.320002,25.297512,25.352495,25.20119,24.307774,22.061796,17.658554,15.10512,14.257675,13.185134,11.608175,8.170354
01/26,25.790112,25.411726,26.084877,26.77,25.36238,25.60501,25.335077,25.324797,25.313002,25.371496,25.285107,24.114641,21.612267,17.6965,15.312152,14.291604,13.123186,11.599588,8.0846
01/27,25.820807,25.688843,26.221645,26.82,25.554571,25.605433,25.414824,25.35302,25.303556,25.28248,25.227402,23.945574,21.518557,17.68459,15.371502,14.178873,13.093675,11.60028,8.036524
01/28,25.911453,25.977312,26.389732,26.83,25.899351,25.668388,25.797968,25.737532,25.671547,25.248133,25.490223,23.808054,20.944998,17.280113,15.263013,14.120696,13.111242,11.618174,8.07319
