time,1,5,10,13,15,20,25,30,35,40,50,60,80,100,120,140,170,180,245,280,285,300,420,445,450,470,500
01/01,24.479834,26.234838,26.07343,25.98,26.10752,24.070276,25.550383,,24.390547,23.312859,23.536026,22.455433,20.401821,18.23596,16.179548,14.774268,13.12,13.372018,11.61,12.04,12.01,11.804564,8.8,8.21,8.22,8.25,8.210422
01/02,24.484673,26.277561,26.046618,25.9,25.956333,23.997345,24.885574,,23.93209,23.32969,23.422789,22.489626,20.228884,18.131176,16.126917,14.842077,13.33,13.352067,11.46,11.875,12.05,11.805826,8.78,8.37,8.01,8.48,8.235341
01/03,24.451916,25.855402,25.782196,25.83,25.558079,23.94536,24.709309,,23.922258,23.19209,23.384539,22.461058,20.199451,18.064713,16.303976,14.957648,13.45,13.337976,11.53,11.575,12.06,11.804349,9.18,8.56,7.92,8.63,8.217946
01/04,24.45468,25.815037,25.76381,25.8,25.67127,23.90216,25.063576,,23.990108,23.098097,23.494663,22.507862,20.368969,17.826885,16.16059,14.745908,14.09,13.294758,11.23,11.635,12.1,11.70627,9.22,8.38,8.06,8.87,8.166573
01/05,24.488384,25.776146,25.881811,26.01,25.721811,23.938843,25.567823,,24.392351,23.057106,23.544474,22.493677,20.221642,17.767017,16.229486,14.829042,14.97,13.344705,11.06,11.28,12.2,11.71483,9.06,7.98,8.09,8.98,8.167653
01/06,24.494383,25.581125,25.904129,26.24,25.55517,23.923784,25.502544,,24.980879,22.894697,23.907911,22.264965,20.024206,17.91328,16.400784,15.120994,14.24,13.41818,11.5,11.41,12.05,11.759525,9.5,8.26,7.82,8.75,8.120278
01/07,24.499548,25.412159,25.7967,26.22,25.34845,23.876242,25.113821,,24.590147,22.923906,23.74156,22.220482,19.97509,17.933302,16.277882,14.95098,13.32,13.360202,11.6,11.735,11.88,11.720441,9.61,8.18,7.73,8.56,8.151261
01/08,24.443293,25.369379,25.777039,26.22,25.304544,23.774979,25.174852,,24.890827,22.802198,24.140722,22.268648,19.738966,17.85941,16.239384,14.965067,13.12,13.418743,11.52,11.91,11.94,11.744208,9.39,8.32,8.2,8.73,8.200876
01/09,24.418818,25.228882,25.680285,26.18,25.18863,23.695004,25.129885,,24.887257,22.90698,24.219667,22.259306,19.994074,17.694462,16.317984,15.123076,13.37,13.386927,11.73,11.895,12.21,11.696755,9.59,8.82,8.41,9.4,8.092497
01/10,24.399137,24.943886,25.457365,26.05,24.792784,23.639124,24.68767,,24.430899,22.775497,23.528236,22.074413,19.929684,17.698568,16.158926,14.944305,14.14,13.3383255,11.81,11.655,12.26,11.69685,9.85,8.85,8.23,9.15,8.136777
01/11,24.392912,24.788027,25.297379,25.84,24.69665,23.609835,24.576286,,24.393635,22.707115,23.844772,21.930962,19.999445,17.728294,16.207745,14.934136,14.35,13.287906,11.98,11.684999,12.33,11.667686,9.85,9.12,8.18,9.17,8.133347
01/12,24.437601,24.8246,25.144222,25.47,24.744616,23.599361,24.624107,,24.394485,22.713118,23.801834,21.98497,20.198048,17.998192,16.316847,15.003818,14.22,13.374512,12.16,11.57,12.29,11.56158,9.46,9.42,8.13,8.94,8.065519
01/13,24.506912,24.90114,25.24087,25.59,24.844938,23.61285,24.739658,,24.571955,22.813255,24.056139,22.085485,19.906364,17.931047,16.259037,15.048916,14.41,13.424516,12.0,11.635,12.18,11.545751,8.86,9.22,8.16,8.88,8.031821
01/14,24.535515,25.10947,25.393373,25.71,25.075617,23.69774,25.00605,,24.89368,22.935442,24.59306,21.984594,19.74695,17.874077,16.270552,14.994315,15.1,13.265318,11.87,11.93,12.23,11.551189,8.84,9.09,8.2,8.91,8.042915
01/15,24.645771,25.199097,25.545567,25.9,25.175287,23.890621,25.124052,,25.034296,22.98426,24.747232,21.816767,20.047073,17.980858,16.415668,14.858615,15.11,13.193791,12.1,11.955,11.95,11.621903,8.67,9.14,8.44,9.36,8.086933
01/16,24.771173,25.25253,25.555294,25.87,25.222862,24.011356,25.167812,,25.06023,23.067371,24.753054,21.919968,20.017296,17.924757,16.193748,14.667456,13.93,13.242901,12.21,11.959999,12.14,11.630394,8.8,9.14,8.38,9.44,8.049908
01/17,24.733818,25.287872,25.45747,25.62,25.254086,24.094997,25.198555,,25.103205,23.195433,24.786764,22.06871,19.893738,17.735292,15.941943,14.721543,13.98,13.308633,12.34,11.635,12.22,11.656118,8.88,9.01,8.16,9.3,8.071956
01/18,24.665796,25.314016,25.213192,25.1,25.29289,24.114359,25.239368,,25.140842,23.195253,24.8327,21.962952,19.932737,17.640432,15.744397,14.6792965,13.63,13.353368,12.4,11.514999,12.31,11.719643,8.62,9.11,8.22,9.82,8.110628
01/19,24.649975,25.316357,25.02615,24.69,25.285164,24.124346,25.232265,,25.132273,23.181652,24.83972,22.01432,19.987219,17.728304,15.948459,14.668374,13.7,13.376617,12.28,11.87,12.32,11.774066,8.69,9.02,8.5,9.47,8.093911
01/20,24.638102,25.301626,24.97815,24.58,25.257027,24.139547,25.212732,,25.130604,23.241383,24.88647,22.14123,20.234821,17.892204,16.175419,14.760813,13.53,13.34845,12.35,11.799999,12.11,11.777921,8.7,9.24,8.57,8.6,8.038717
01/21,24.622042,25.307268,25.021553,24.72,25.24489,24.112213,25.193882,,25.108313,23.205446,24.84586,22.13767,20.21197,17.63296,15.93658,14.661805,13.02,13.342508,12.19,11.695,11.77,11.794978,9.22,8.91,8.51,8.83,8.084831
01/22,24.584412,25.186304,25.003103,24.79,25.140072,24.067013,25.088148,,25.00856,23.142086,24.813461,22.168083,20.200747,17.732996,16.057245,14.833277,14.22,13.329255,11.81,11.505,12.05,11.696592,8.98,8.92,8.35,9.34,8.014377
01/23,24.62789,25.016716,24.91962,24.77,24.947664,24.087952,24.885674,,24.798714,23.11248,24.56327,22.217545,20.23898,17.72896,15.999225,14.841708,14.57,13.406327,11.67,11.885,11.93,11.732638,9.21,8.86,8.78,9.32,8.056244
01/24,24.669855,24.971512,24.932858,24.85,24.893766,24.100613,24.793867,,24.668476,23.102114,24.358166,22.19095,20.22363,17.657042,16.042372,14.845956,14.54,13.432763,11.87,11.844999,11.94,11.702557,8.65,8.66,8.76,9.42,8.075976
