time,1,3,5,10,13,20,25,28,35,40,45,48,60,80,83,100,120,123,140,160,180,200,250,300,500
01/23,25.364729,26.42,25.386585,25.38575,25.839998,25.26191,25.195375,24.407501,25.84,24.907936,25.006027,24.090002,24.504622,23.807816,22.1175,21.7759,19.408138,15.786,17.612398,,14.182915,13.785556,12.54,11.5996895,7.969155
01/24,25.362776,26.47,25.215763,25.373299,25.953333,25.23053,25.16895,24.41,25.93,24.872395,24.995935,23.96,24.49833,23.689331,21.98,21.718794,19.228495,15.724001,17.64362,,14.182256,14.047778,12.58,11.665277,7.996564
01/25,25.372566,26.494999,25.396473,25.33794,25.74,25.176453,25.157381,24.3675,25.99,24.88044,25.011497,23.896667,24.504456,23.614096,21.995,21.832897,19.034481,15.836,17.410313,,14.114301,13.932222,12.26,11.648966,7.994739
01/26,25.300194,26.485,25.354292,25.285906,25.43,25.123047,25.117167,24.220001,26.02,24.79009,25.00598,23.835,24.430962,23.575651,22.157501,21.723303,19.131058,15.890001,17.380463,,14.048821,13.872222,12.58,11.731982,8.028253
01/27,25.300352,26.525,25.31946,25.286963,25.366667,25.100094,25.088263,24.192501,26.08,24.762325,24.962126,23.86,24.456062,23.546844,21.98,21.673538,18.925714,15.768,17.349554,,13.991359,13.896667,12.88,11.727736,8.057677
01/28,25.263987,26.49,25.302086,25.286613,25.300001,25.05959,25.06781,24.045,26.2,24.774685,24.901249,23.618332,24.404488,23.491615,22.255,21.468628,18.883743,16.428,17.279863,,14.045548,13.842222,12.44,11.7117,8.097555
01/29,25.308073,26.470001,25.171913,25.359135,25.206667,25.138554,25.143284,23.8,26.22,24.846617,24.963997,23.636,24.404148,23.647137,22.576666,21.275291,18.786871,16.015,17.157263,,14.035246,13.678889,12.17,11.651355,7.9897447
01/30,25.349558,26.55,25.205688,25.368046,25.183334,25.179384,25.1997,23.9225,26.22,24.860853,25.01131,23.864,24.591621,23.816628,22.910002,21.475319,18.84455,16.835,17.1008,,13.885387,13.524445,12.18,11.623892,7.9934874
01/31,25.383463,26.695,25.23064,25.393583,24.18,25.175594,25.163225,23.8925,26.17,24.85478,24.914818,23.06,24.501057,23.692219,21.46,21.41857,19.079,15.685,17.24775,,14.0782,13.53,12.38,11.733055,8.03234
02/01,25.43094,26.77,25.292395,25.459373,24.275,25.195692,25.21128,24.0325,26.03,24.891464,24.927778,23.17,24.446157,23.53387,20.77,21.105705,18.741428,15.305,17.058966,,13.914179,13.451111,12.13,11.682981,8.0208435
