time,1,5,10,13,20,40,60,80,100,120,140,180,300,500
02/07,26.165237,26.257692,26.246922,26.235,26.129545,25.439047,23.4265,21.611364,19.128635,16.446817,14.490909,12.143637,9.526667,7.377619
02/08,26.2,26.283077,26.267693,26.24,26.142273,25.427618,23.4075,21.586363,19.071817,16.527273,14.486817,12.171818,9.508572,7.3714285
02/09,26.218573,26.308462,26.296154,26.276667,26.190454,25.443333,23.474,21.552273,19.055,16.54409,14.46091,12.199546,9.532381,7.376667
02/10,26.266666,26.33846,26.333076,26.293333,26.21,25.49,23.4275,21.498636,19.062273,16.413181,14.476818,12.182273,9.521904,7.370952
02/11,26.28619,26.356153,26.35154,26.321665,26.225908,25.480478,23.447,21.527273,18.913181,16.403181,14.414545,12.199545,9.5199995,7.377619
02/12,26.310001,26.393076,26.393847,26.340002,26.27,25.514286,23.465,21.44591,18.98,16.42909,14.468182,12.210455,9.534286,7.3609524
02/13,26.36143,26.425385,26.454617,26.365,26.334545,25.568571,23.508999,21.485455,18.987272,16.392273,14.494091,12.228637,9.510476,7.3857145
02/14,26.389048,26.474617,26.496155,26.415,26.372728,25.51238,23.43,21.516817,18.950455,16.404545,14.489091,12.210455,9.516667,7.362381
02/15,26.437618,26.517693,26.544615,26.455,26.407726,25.530478,23.4395,21.436363,18.982382,16.422274,14.496818,12.186817,9.519048,7.368095
02/16,26.475237,26.56,26.592308,26.471666,26.431906,25.541904,23.405499,21.463636,19.058182,16.354546,14.467273,12.2131815,9.525715,7.3857145
02/17,26.483334,26.58846,26.62077,26.5,26.46143,25.530478,23.413,21.516365,19.044762,16.48182,14.528182,12.2,9.504763,7.35619
02/18,26.49524,26.604614,26.666155,26.521667,26.483183,25.519049,23.401,21.479546,18.93,16.302727,14.44,12.198181,9.507619,7.378095
02/19,26.534286,26.62077,26.686153,26.523333,26.511818,25.595238,23.3515,21.531818,19.115908,16.481363,14.526818,12.221363,9.530952,7.3690476
02/20,26.567144,26.643078,26.695385,26.550001,26.547728,25.571428,23.441,21.46591,18.908636,16.38318,14.538636,12.227728,9.504763,7.3580956
02/21,26.592857,26.670769,26.732307,26.58,26.585,25.63143,23.365,21.46591,18.992271,16.321817,14.534546,12.2245455,9.532381,7.3757143
02/22,26.62095,26.694614,26.766153,26.61,26.631365,25.612858,23.4095,21.44409,19.06591,16.457273,14.526363,12.253635,9.507143,7.3590474
02/23,26.636667,26.712309,26.78077,26.64,26.640455,25.72476,23.4315,21.434546,18.913637,16.316362,14.605908,12.236817,9.521904,7.379048
02/24,26.689047,26.746155,26.815386,26.701668,26.676819,25.701427,23.388,21.440454,19.00818,16.362728,14.562728,12.248636,9.545713,7.37381
02/25,26.731428,26.763075,26.833076,26.723333,26.704546,25.738571,23.432499,21.369091,18.99476,16.372728,14.6277275,12.265,9.508571,7.37619
02/26,26.729048,26.776924,26.862307,26.771667,26.713636,25.726667,23.48,21.501364,18.952726,16.210476,14.535,12.230454,9.559048,7.3799996
02/27,26.789524,26.807692,26.885,26.801666,26.756365,25.784285,23.4395,21.363636,18.958635,16.354763,14.557727,12.28,9.510952,7.3752384
02/28,26.804764,26.84769,26.923332,26.836668,26.776365,25.841427,23.4865,21.543182,19.042273,16.310001,14.528182,12.21,9.545238,7.3857145
02/29,26.744,26.9575,26.905,26.99,26.817999,26.093332,23.678335,21.672,19.288332,16.74,14.9279995,12.48,9.418334,7.3349996
03/01,26.869047,26.88923,26.9525,26.861666,26.805908,25.871428,23.4025,21.393637,18.96591,16.277618,14.584091,12.282272,9.547619,7.392857
03/02,26.868093,26.917692,26.987501,26.915,26.842726,25.917143,23.571001,21.484545,19.100908,16.261429,14.5,12.198182,9.531904,7.372857
03/03,26.926668,26.973846,27.0625,26.986666,26.895454,25.929049,23.487,21.377728,18.975908,16.300001,14.552273,12.272727,9.556666,7.382857
03/04,26.983334,27.043846,27.116667,27.033333,26.938183,26.017618,23.5605,21.479546,19.105,16.29619,14.510455,12.190909,9.542857,7.384762
03/05,26.992855,27.087694,27.161667,27.073334,26.975456,26.03857,23.533,21.39409,18.981363,16.273333,14.521819,12.220455,9.536667,7.377143
03/06,27.02857,27.11154,27.181665,27.118332,27.005455,26.059525,23.6055,21.426363,19.003637,16.294762,14.489091,12.226818,9.548095,7.365238
03/07,27.05381,27.155384,27.210833,27.178335,27.03,26.121428,23.539501,21.44091,19.05591,16.282858,14.472274,12.203182,9.538571,7.3861904
03/08,27.100456,27.175001,27.260908,27.198334,27.063334,26.098421,23.6065,21.496363,18.98619,16.344,14.540952,12.215714,9.530001,7.3599997
03/09,27.168182,27.255,27.280832,27.233332,27.1255,26.153683,23.5755,21.395,19.05143,16.3645,14.515715,12.25238,9.513,7.364
03/10,27.181738,27.232307,27.25077,27.286667,27.126818,26.1755,23.564762,21.433043,18.987728,16.26381,14.509545,12.146819,9.534286,7.3804765
03/11,27.212173,27.264616,27.275383,27.331667,27.15409,26.1725,23.61143,21.34087,18.882273,16.208572,14.45,12.205454,9.515239,7.342381
03/12,27.22,27.287691,27.31,27.4,27.185911,26.245,23.599049,21.364347,18.997272,16.361904,14.520455,12.157272,9.549523,7.3795238
03/13,27.24913,27.307692,27.327694,27.441666,27.218636,26.3505,23.739048,21.384348,18.913637,16.141905,14.362273,12.157727,9.516191,7.372381
03/14,27.278694,27.336153,27.343077,27.463333,27.234545,26.288,23.740952,21.352175,18.855455,16.25,14.521363,12.127273,9.549047,7.3590474
03/15,27.303041,27.363077,27.373077,27.49,27.274092,26.353,23.738094,21.378695,18.970455,16.296667,14.395455,12.099091,9.538095,7.377143
03/16,27.322172,27.366922,27.380001,27.501665,27.290455,26.449,23.823809,21.394348,18.78,16.16476,14.396363,12.146363,9.5561905,7.3814282
03/17,27.334784,27.37154,27.383078,27.503334,27.29682,26.432001,23.882858,21.407825,18.833635,16.28143,14.482273,12.094091,9.543333,7.3776193
03/18,27.342726,27.358332,27.3675,27.473999,27.29095,26.585262,23.9485,21.427727,18.917143,16.2575,14.341429,12.113334,9.54,7.373
03/19,27.36522,27.434614,27.44,27.498001,27.333635,26.567999,23.91238,21.470434,18.864092,16.224285,14.471818,12.157727,9.5523815,7.3866663
03/20,27.38478,27.44923,27.463846,27.508,27.34909,26.672,23.89238,21.369999,18.81909,16.26619,14.436364,12.106363,9.563809,7.3804765
03/21,27.38435,27.462309,27.483076,27.538,27.37409,26.706,23.952381,21.46261,18.85682,16.296667,14.473637,12.175909,9.545238,7.3995237
03/22,27.42174,27.474617,27.491537,27.522,27.368093,26.6995,24.015715,21.50261,18.898638,16.342857,14.586364,12.123636,9.576818,7.396818
03/23,27.423914,27.492308,27.507692,27.508,27.378096,26.755,24.038095,21.39652,18.773182,16.23619,14.45409,12.153637,9.567727,7.420909
03/24,27.433912,27.503078,27.531538,27.528,27.392857,26.798,24.077143,21.485653,18.916819,16.393333,14.573181,12.2186365,9.553636,7.396818
03/25,27.442173,27.51,27.545383,27.55,27.400478,26.766,24.047619,21.496523,18.878635,16.285715,14.523182,12.131818,9.575,7.4036365
03/26,27.453913,27.515385,27.557692,27.556,27.415237,26.7815,24.1,21.593477,18.892273,16.467142,14.607727,12.210455,9.583636,7.414091
03/27,27.471306,27.53077,27.58,27.558002,27.431906,26.848001,24.097618,21.573479,18.94591,16.369524,14.517273,12.1845455,9.558182,7.3954544
03/28,27.475218,27.532307,27.59154,27.551998,27.442856,26.9375,24.125715,21.67,18.978182,16.402382,14.587274,12.177273,9.579545,7.405
03/29,27.471306,27.533077,27.587694,27.536,27.44143,26.928,24.170952,21.60087,18.918636,16.407143,14.525909,12.189546,9.556364,7.3959093
03/30,27.459131,27.533077,27.586924,27.529999,27.437143,26.964,24.137142,21.73,18.994545,16.35,14.510455,12.181363,9.579091,7.4054546
03/31,27.438261,27.506924,27.566923,27.5,27.417143,27.018,24.2915,21.552608,18.927727,16.406668,14.612273,12.1618185,9.576364,7.402273
04/01,27.44,27.512308,27.575386,27.486002,27.414762,26.970499,24.115,21.67261,18.99182,16.36143,14.569091,12.178636,9.55,7.3959093
04/02,27.449999,27.526154,27.584616,27.496002,27.420477,27.086498,24.210001,21.732609,19.012728,16.35381,14.519546,12.210455,9.581819,7.414091
04/03,27.45174,27.52769,27.580769,27.504002,27.411905,27.0155,24.187,21.540869,18.968184,16.371904,14.567727,12.171818,9.550909,7.386818
04/04,27.443914,27.536154,27.582308,27.512,27.42,27.102499,24.2715,21.731739,19.071817,16.429049,14.537273,12.203637,9.572727,7.4100003
04/05,27.434347,27.527693,27.57077,27.466667,27.414762,27.1,24.189999,21.686087,19.007273,16.325714,14.561364,12.211364,9.556363,7.404091
04/06,27.428696,27.523846,27.556154,27.446665,27.406193,27.1215,24.1805,21.64087,19.02909,16.365238,14.556363,12.197727,9.554091,7.3977275
