time,1,10,13,20,40,60,80,100,120,140,180,300,500
01/01,26.917337,28.08,28.09,26.9733,26.917467,26.745907,26.1474,25.216372,23.877369,20.598082,14.147042,9.967594,8.281332
01/02,26.903067,28.05,28.05,26.964237,26.922613,26.705864,26.204157,25.25295,23.782747,20.64756,14.040927,9.941247,8.288776
01/03,26.863592,28.0,28.0,27.032469,26.969267,26.712101,26.22756,25.119682,23.736013,20.606392,13.7966175,9.931731,8.3047085
01/04,26.902925,27.9,27.92,27.073957,26.98877,26.721071,26.154331,25.136427,23.752754,20.755192,13.793888,9.94534,8.300985
01/05,26.915579,27.84,27.84,27.09019,27.00458,26.752773,26.110483,25.057491,23.439943,20.445887,13.754849,9.932126,8.29122
01/06,27.010458,27.77,27.78,27.11678,26.980555,26.60977,26.035538,24.949146,23.400448,20.366356,13.948994,9.905693,8.308879
01/07,27.013378,27.76,27.76,27.150736,26.963669,26.529713,25.970053,24.838745,23.216936,20.168238,13.863816,9.911102,8.29141
01/08,26.993206,27.74,27.74,27.130196,26.997177,26.47875,25.961699,24.824158,23.174463,20.175373,13.762859,9.922596,8.264827
01/09,27.02994,27.72,27.72,27.131807,27.012735,26.533154,25.917341,24.646458,23.088781,20.036423,13.676073,9.917149,8.2585745
01/10,26.994371,27.56,27.56,27.070518,26.9465,26.596066,25.960539,24.698595,23.062075,20.24745,13.890623,9.905028,8.255226
01/11,27.03165,27.48,27.48,27.099644,26.906122,26.643509,25.932127,24.763945,23.068129,20.456442,13.931414,9.895122,8.260497
01/12,27.00489,27.51,27.51,27.086605,26.916609,26.605806,25.872946,24.679184,22.977793,20.240587,13.8383875,9.920806,8.256716
01/13,27.013208,27.61,27.6,27.069014,26.904028,26.610254,25.83685,24.671614,23.04495,20.429005,13.971722,9.936167,8.249033
01/14,26.97419,27.6,27.6,27.013262,26.891798,26.747684,25.962957,24.869692,23.254404,20.573912,13.966135,9.903643,8.269874
01/15,26.853182,27.61,27.2,26.95133,26.8347,26.669899,25.84486,25.016174,23.52023,20.684534,13.995461,9.927678,8.269126
01/16,26.92447,27.66,27.21,26.991648,26.873928,26.721024,25.85115,25.01361,23.438854,20.461327,13.933148,9.93341,8.283099
01/17,26.92214,27.68,27.225,26.994722,26.85051,26.649063,25.941278,24.98989,23.34618,20.685156,13.926107,9.926171,8.264617
01/18,26.903776,27.57,27.135,26.985386,26.844769,26.612795,25.962034,25.054058,23.510292,20.86053,13.94127,9.947273,8.231355
01/19,26.796904,27.25,26.965,26.898298,26.80005,26.534575,25.916443,25.131124,23.791677,21.159899,14.095781,9.94499,8.277479
01/20,26.74861,27.1,26.875,26.869211,26.775095,26.458834,25.884848,25.072184,23.620543,20.930456,13.870852,9.9152,8.2510605
01/21,26.77982,27.04,26.795,26.882275,26.842346,26.489336,25.85773,25.039341,23.5902,20.934544,13.686487,9.914656,8.262702
01/22,26.838074,26.94,26.735,26.926516,26.869537,26.568832,25.939245,25.225481,23.804836,21.172213,14.179831,9.934453,8.292982
01/23,26.797361,26.9,26.720001,26.886637,26.783207,26.559568,25.967253,25.295809,23.922823,21.488432,14.490449,9.954171,8.299777
01/24,26.697556,26.95,26.73,26.802511,26.71179,26.478426,26.052908,25.364042,23.745096,21.260082,14.053346,9.927618,8.272528
01/25,26.707476,26.75,26.6,26.777054,26.69425,26.49687,26.1096,25.486385,23.937151,21.260927,13.830392,9.904746,8.291359
01/26,26.669477,26.81,26.625,26.785954,26.649452,26.48983,26.067778,25.525269,23.907959,21.269878,14.246612,9.935484,8.299088
01/27,26.745169,26.87,26.64,26.857298,26.68339,26.545654,26.127558,25.57628,23.983597,21.257235,14.2752905,9.925963,8.289378
01/28,26.824108,26.89,26.654999,26.882097,26.727167,26.562132,26.147522,25.504429,24.10124,21.057056,13.87669,9.90717,8.227082
01/29,26.844292,26.97,26.725,26.885906,26.790144,26.58208,26.138416,25.498299,23.821947,20.831991,13.923869,9.886647,8.248931
01/30,26.834047,26.97,26.744999,26.846947,26.753084,26.541069,26.159801,25.415514,23.698643,20.446701,13.836805,9.880078,8.209019
01/31,26.857204,26.9,26.71,26.886,26.786543,26.5208,26.08761,25.388842,23.41083,20.270407,13.709825,9.890113,8.19291
02/01,26.944208,26.9,26.685,26.943464,26.853018,26.515528,26.300537,25.343763,23.261375,20.146421,13.633164,9.854836,8.168949
02/02,26.905565,27.14,26.71,26.905827,26.795588,26.458384,26.275663,25.113226,23.267975,20.106909,13.814289,9.872896,8.178447
02/03,26.917826,27.2,26.650002,26.928307,26.84959,26.537312,26.316893,25.00975,23.216291,20.043182,13.519861,9.851815,8.152693
02/04,26.954868,27.18,26.645,26.996609,26.883768,26.537943,26.31404,25.047878,23.112448,19.983557,13.330844,9.827186,8.144468
02/05,26.977077,27.29,26.51,27.025543,26.895824,26.529984,26.254038,25.020885,23.032192,19.57962,13.318316,9.851422,8.121295
02/06,26.89489,27.34,26.435001,26.977194,26.848875,26.443096,26.141714,24.94125,22.944403,19.437136,13.289609,9.828879,8.122082
02/07,26.867998,27.34,26.46,26.968954,26.857847,26.422771,26.300863,24.888618,22.828356,19.511892,13.34278,9.8421755,8.119307
02/08,26.883913,27.15,26.435,26.998985,26.927507,26.461847,26.345476,24.85233,22.50504,19.060297,13.235452,9.815808,8.090821
02/09,26.908234,27.05,26.425,27.012825,26.957209,26.542208,26.336626,24.808422,22.344316,18.80935,12.918215,9.797377,8.089446
02/10,26.837133,27.08,26.455,26.933662,26.967299,26.56626,26.257975,24.791992,22.207811,18.535929,12.693513,9.790208,8.091072
