time,hdin
01/01,145.22488
01/02,144.81808
01/03,145.05159
01/04,145.36032
01/05,145.0306
01/06,145.16753
01/07,144.88147
01/08,145.20836
01/09,145.33585
01/10,145.92845
01/11,145.91931
01/12,146.1424
01/13,146.0033
01/14,145.77527
01/15,146.12859
01/16,146.3057
01/17,145.57341
01/18,145.71251
01/19,146.14444
01/20,146.15974
01/21,147.65994
01/22,148.15321
01/23,148.08292
01/24,147.82149
01/25,147.61618
01/26,147.66321
01/27,147.62984
01/28,146.92404
01/29,147.41129
01/30,147.35678
01/31,147.2138
02/01,147.1205
02/02,146.87163
02/03,147.45377
02/04,147.09146
02/05,146.9596
02/06,147.83514
02/07,148.07382
02/08,148.13939
02/09,148.56033
02/10,148.9505
02/11,148.89668
02/12,149.2639
02/13,149.12881
02/14,148.82654
02/15,149.23175
02/16,149.78406
02/17,150.36873
02/18,149.43295
02/19,149.88786
02/20,150.71072
02/21,150.52565
02/22,150.28954
02/23,150.22583
02/24,150.76859
02/25,150.91309
02/26,151.30562
02/27,150.48114
02/28,150.7558
02/29,159.35342
03/01,151.55118
03/02,151.40833
03/03,151.40427
03/04,152.52217
03/05,152.59793
03/06,152.18579
03/07,152.89664
03/08,152.95105
03/09,152.3824
03/10,152.35205
03/11,152.34697
03/12,152.3928
03/13,152.14713
03/14,152.36848
03/15,152.64096
03/16,152.24327
03/17,152.54445
03/18,153.14117
03/19,153.28166
03/20,153.7383
03/21,153.38821
03/22,153.57758
03/23,153.82137
03/24,153.8542
03/25,152.6967
03/26,153.30093
03/27,153.57954
03/28,152.76733
03/29,153.10489
03/30,153.83734
03/31,153.42241
04/01,152.97392
04/02,153.04025
04/03,153.73148
04/04,154.40102
04/05,154.02817
04/06,153.72299
04/07,154.55705
04/08,154.51205
04/09,154.49565
04/10,154.54993
04/11,154.40034
04/12,154.44865
04/13,153.92284
04/14,153.41812
04/15,153.14082
04/16,153.53748
04/17,152.85414
04/18,153.27042
04/19,153.25795
04/20,153.77841
04/21,153.36208
04/22,152.57114
04/23,152.97382
04/24,153.35472
04/25,153.00229
04/26,153.14651
04/27,153.21797
04/28,153.07553
04/29,153.271
04/30,152.13464
05/01,152.07399
05/02,152.49881
05/03,152.22937
05/04,152.29451
05/05,152.45699
05/06,152.53445
05/07,151.73436
05/08,151.63539
05/09,152.08057
05/10,152.44257
05/11,151.92827
05/12,151.53932
05/13,151.55325
05/14,151.11742
05/15,150.84581
05/16,150.69109
05/17,150.6898
05/18,150.86292
05/19,150.3962
05/20,150.0404
05/21,150.2511
05/22,149.64688
05/23,149.06802
05/24,149.37256
05/25,149.6025
05/26,149.63858
05/27,149.08661
05/28,148.62053
05/29,149.14917
05/30,148.9895
05/31,148.38084
06/01,147.94685
06/02,148.18063
06/03,147.82803
06/04,147.55899
06/05,146.59964
06/06,146.20805
06/07,146.05911
06/08,146.15736
06/09,145.6523
06/10,145.32874
06/11,145.16109
06/12,145.2634
06/13,145.14748
06/14,144.91354
06/15,145.12846
06/16,145.48802
06/17,144.95578
06/18,145.13097
06/19,145.3261
06/20,144.78867
06/21,144.42941
06/22,144.87291
06/23,145.94266
06/24,144.86267
06/25,143.74113
06/26,144.20978
06/27,143.99953
06/28,143.77065
06/29,143.39153
06/30,143.89157
07/01,143.45682
07/02,142.71762
07/03,142.21252
07/04,142.00583
07/05,141.69794
07/06,141.0665
07/07,140.41269
07/08,140.21558
07/09,140.31485
07/10,139.88228
07/11,139.61026
07/12,140.11404
07/13,140.08507
07/14,139.68552
07/15,140.15631
07/16,140.54897
07/17,140.54216
07/18,140.43011
07/19,139.95578
07/20,140.33
07/21,140.33755
07/22,139.9445
07/23,139.85913
07/24,139.54353
07/25,139.66241
07/26,139.31201
07/27,139.42728
07/28,139.43369
07/29,139.41397
07/30,139.14438
07/31,139.15303
08/01,139.32541
08/02,139.7016
08/03,139.09024
08/04,138.5664
08/05,138.6749
08/06,138.89468
08/07,138.89851
08/08,138.42453
08/09,137.94661
08/10,139.07384
08/11,139.3997
08/12,138.317
08/13,137.91957
08/14,137.69855
08/15,137.9065
08/16,137.67566
08/17,137.47772
08/18,137.37234
08/19,137.43597
08/20,137.6563
08/21,137.52534
08/22,137.28525
08/23,137.55031
08/24,137.76791
08/25,137.57446
08/26,137.52487
08/27,137.52948
08/28,137.55838
08/29,137.65413
08/30,137.74431
08/31,137.418
09/01,137.54036
09/02,137.6531
09/03,137.68723
09/04,137.58875
09/05,137.48268
09/06,137.72806
09/07,137.83034
