time,hdin
12/21,92.34087
12/22,92.23334
12/23,92.21122
12/24,92.95892
12/25,92.43096
12/26,91.934784
12/27,91.65699
12/28,91.52331
12/29,91.60861
12/30,91.3749
12/31,92.07162
