time,hdin
01/01,133.19632
01/02,133.51505
01/03,133.49223
01/04,133.48824
01/05,133.48135
01/06,133.7588
01/07,133.29645
01/08,133.43744
01/09,132.62445
01/10,132.42639
01/11,133.16988
01/12,133.49727
01/13,133.06314
01/14,132.49377
01/15,132.92128
01/16,132.87135
01/17,133.26051
01/18,133.46797
01/19,133.42598
01/20,133.78967
01/21,133.46344
01/22,133.2915
01/23,134.1197
01/24,133.68733
01/25,133.43991
01/26,132.93866
01/27,133.35452
01/28,133.11368
01/29,132.62119
01/30,132.46245
01/31,132.52357
02/01,132.3515
02/02,132.31392
02/03,131.72052
02/04,131.0271
02/05,131.4051
02/06,131.38014
02/07,131.55045
02/08,131.73586
02/09,131.91948
02/10,131.80817
02/11,131.71161
02/12,131.73334
02/13,131.9128
02/14,132.08287
02/15,131.4608
02/16,131.28186
02/17,132.20995
02/18,131.92395
02/19,131.58589
02/20,131.46342
02/21,131.83109
02/22,131.64876
02/23,132.24629
02/24,132.31885
02/25,132.02289
02/26,131.65582
02/27,131.71431
02/28,131.84314
02/29,131.22144
03/01,131.64284
03/02,132.3926
03/03,131.5273
03/04,131.24132
03/05,131.36522
03/06,131.28082
03/07,130.91566
03/08,130.9561
03/09,131.57068
03/10,132.00615
03/11,131.57317
03/12,131.16025
03/13,130.71286
03/14,131.25313
03/15,131.4769
03/16,130.98059
03/17,130.54422
03/18,130.73784
03/19,130.83868
03/20,130.6197
03/21,130.43301
03/22,130.42902
03/23,130.65097
03/24,131.05774
03/25,130.64082
03/26,130.39403
03/27,130.32458
03/28,129.97365
03/29,130.3182
03/30,130.5714
03/31,130.55794
04/01,130.48851
04/02,130.32666
04/03,130.02911
04/04,130.14616
04/05,130.41031
04/06,129.92934
04/07,129.84993
04/08,129.93216
04/09,130.17418
04/10,130.22166
04/11,130.227
04/12,129.49608
04/13,130.04909
04/14,130.49873
04/15,129.91022
04/16,129.55519
04/17,129.72325
04/18,129.58214
04/19,129.85854
04/20,130.30086
04/21,129.33902
04/22,129.53271
04/23,129.97298
04/24,129.97481
04/25,130.19756
04/26,130.22345
04/27,129.74834
04/28,129.93082
04/29,129.94508
04/30,130.13422
05/01,129.65741
05/02,129.49559
05/03,129.23215
05/04,128.95743
05/05,129.09875
05/06,129.26547
05/07,129.0493
05/08,128.82773
05/09,129.13069
05/10,128.66782
05/11,128.31232
05/12,128.6559
05/13,129.209
05/14,129.41045
05/15,129.47769
05/16,129.35353
05/17,128.84569
05/18,129.07318
05/19,129.49863
05/20,129.99094
05/21,129.57858
05/22,129.40576
05/23,129.73775
05/24,129.92632
05/25,130.15335
05/26,129.87788
05/27,129.91728
05/28,130.05836
05/29,130.16519
05/30,130.36647
05/31,129.80466
06/01,130.15855
06/02,129.856
06/03,129.74138
06/04,129.80598
06/05,129.37392
06/06,129.31548
06/07,129.10002
06/08,129.35056
06/09,129.01624
06/10,128.82684
06/11,128.93234
06/12,129.03697
06/13,129.07114
06/14,128.40428
06/15,128.29169
06/16,128.42407
06/17,128.7257
06/18,128.75543
06/19,128.58043
06/20,128.96815
06/21,128.95456
06/22,128.75142
06/23,128.73462
06/24,128.71399
06/25,128.63824
06/26,128.8208
06/27,128.69673
06/28,128.78162
06/29,128.58595
06/30,128.99962
07/01,129.4851
07/02,129.32027
07/03,129.86513
07/04,130.27173
07/05,130.29688
07/06,130.59537
07/07,130.63388
07/08,130.68639
07/09,130.5494
07/10,130.20966
07/11,130.55064
07/12,130.44798
07/13,129.99341
07/14,129.94118
07/15,130.02602
07/16,130.08441
07/17,129.2832
07/18,128.83562
07/19,128.84267
07/20,128.83798
07/21,129.00389
07/22,128.66399
07/23,128.83652
07/24,129.23422
07/25,129.06631
07/26,128.78009
07/27,129.2015
07/28,129.29585
07/29,129.1719
07/30,129.19948
07/31,129.09062
08/01,129.43983
08/02,129.86041
08/03,130.11813
08/04,129.98329
08/05,129.82285
08/06,129.56989
08/07,130.1273
08/08,130.38193
08/09,130.42712
08/10,130.30836
08/11,129.83092
08/12,130.1653
08/13,130.20906
08/14,130.5845
08/15,130.77037
08/16,130.56244
08/17,130.94768
08/18,130.99088
08/19,131.36104
08/20,131.38194
08/21,131.51678
08/22,130.9885
08/23,131.08704
08/24,130.86214
08/25,130.58647
08/26,130.3018
08/27,129.83247
08/28,130.3531
08/29,130.19452
08/30,129.87387
08/31,130.0587
09/01,129.63405
09/02,129.6534
09/03,129.86913
09/04,129.83286
09/05,129.64307
09/06,130.03333
09/07,130.31386
09/08,130.47598
09/09,129.98691
09/10,130.19217
09/11,129.79294
09/12,129.68239
09/13,129.79933
09/14,129.78813
09/15,130.17671
09/16,129.75447
09/17,130.4615
09/18,130.08961
09/19,130.1
09/20,130.07631
09/21,130.12231
09/22,130.15446
09/23,130.44171
09/24,130.24655
09/25,130.39827
09/26,130.5485
09/27,130.38495
09/28,130.08994
09/29,130.58931
09/30,130.13832
10/01,129.67215
10/02,129.54616
10/03,130.026
10/04,130.05078
10/05,130.49927
10/06,130.06001
10/07,130.15805
10/08,130.88348
10/09,131.40271
10/10,131.81331
10/11,131.8847
10/12,131.2403
10/13,131.57133
10/14,131.572
10/15,131.64441
10/16,132.40161
10/17,131.99176
10/18,132.24316
10/19,132.09216
10/20,132.27841
10/21,132.13591
10/22,132.17323
10/23,132.1013
10/24,132.36292
10/25,132.3456
10/26,132.20685
10/27,132.2597
10/28,132.16481
10/29,132.51535
10/30,132.14258
10/31,131.95053
11/01,132.03824
11/02,131.76335
11/03,131.77274
11/04,131.53316
11/05,131.81392
11/06,131.84283
11/07,131.67995
11/08,131.63329
11/09,131.30087
11/10,131.26886
11/11,131.53667
11/12,131.57458
11/13,131.98439
11/14,131.78471
11/15,131.4322
11/16,131.62035
11/17,132.56146
11/18,132.97899
11/19,132.60263
11/20,132.84233
11/21,133.38939
11/22,132.76741
11/23,133.01924
11/24,132.65121
11/25,133.75668
11/26,133.49045
11/27,133.08803
11/28,133.00592
11/29,133.38817
11/30,133.66125
12/01,133.56107
12/02,133.3565
12/03,133.50674
12/04,133.14424
12/05,133.28697
12/06,133.47638
12/07,133.3774
12/08,133.09146
12/09,133.95998
12/10,134.12254
12/11,133.54372
12/12,133.114
12/13,133.2149
12/14,133.89453
12/15,133.62498
12/16,133.64201
12/17,133.68759
12/18,133.74095
12/19,134.08322
12/20,133.56996
12/21,133.24367
12/22,133.84547
12/23,133.6707
12/24,133.41113
12/25,133.05283
12/26,133.22476
12/27,133.67538
12/28,133.89969
12/29,133.77727
12/30,133.11896
12/31,132.86696
