time,hdin
12/21,138.92436
12/22,138.41902
12/23,138.25308
12/24,139.16609
12/25,138.65254
12/26,137.98677
12/27,137.85515
12/28,138.26247
12/29,138.07054
12/30,138.38977
12/31,138.37146
