time,hdin
12/21,105.515755
12/22,105.80342
12/23,105.81141
12/24,105.110214
12/25,105.30686
12/26,105.71937
12/27,105.904076
12/28,105.71639
12/29,105.62532
12/30,105.33677
12/31,105.409584
