time,hdin
01/01,106.585205
01/02,106.437096
01/03,107.25913
01/04,107.57656
01/05,106.852715
01/06,106.74939
01/07,107.378265
01/08,107.098076
01/09,107.01311
01/10,107.0429
01/11,107.02158
01/12,106.94003
01/13,107.19331
01/14,107.29893
01/15,107.590164
01/16,107.85063
01/17,107.32839
01/18,107.32815
01/19,107.24592
01/20,107.363304
01/21,108.46547
01/22,107.83723
01/23,107.801674
01/24,108.04938
01/25,108.06909
01/26,108.29485
01/27,108.00293
01/28,108.03804
01/29,108.01208
01/30,107.66025
01/31,108.35212
02/01,108.16598
02/02,108.05669
02/03,107.739296
02/04,107.972435
02/05,108.040184
02/06,108.1521
02/07,107.91635
02/08,107.80875
02/09,107.82356
02/10,107.67639
02/11,107.33536
02/12,106.50863
02/13,106.74345
02/14,106.71629
02/15,106.56732
02/16,106.396255
02/17,106.21614
02/18,106.674904
02/19,106.16252
02/20,106.053055
02/21,106.30501
02/22,106.14097
02/23,105.72156
02/24,105.94055
02/25,105.81203
02/26,106.028824
02/27,105.91323
02/28,105.76188
02/29,108.118614
03/01,106.28609
03/02,105.96306
03/03,105.766884
03/04,105.555275
03/05,106.182594
03/06,105.71681
03/07,105.52859
03/08,105.75862
03/09,105.99434
03/10,105.612076
03/11,105.77246
03/12,105.760605
03/13,105.64474
03/14,105.6347
03/15,105.17477
03/16,105.37606
03/17,105.29767
03/18,104.71832
03/19,104.49574
03/20,104.63307
03/21,104.610596
03/22,104.20238
03/23,103.95503
03/24,103.84806
03/25,104.057144
03/26,103.7652
03/27,103.852936
03/28,103.64417
03/29,103.73063
03/30,103.12724
03/31,103.29909
04/01,103.51962
04/02,103.26567
04/03,103.082825
04/04,103.15387
04/05,103.9102
04/06,103.36434
04/07,103.12165
04/08,103.43756
04/09,103.2203
04/10,103.297035
04/11,103.22306
04/12,102.92747
04/13,103.09843
04/14,103.05233
04/15,103.0599
04/16,103.115295
04/17,103.26609
04/18,103.27166
04/19,102.75065
04/20,102.664375
04/21,102.78826
04/22,102.91139
04/23,102.7372
04/24,103.09191
04/25,102.419136
04/26,102.23958
04/27,102.67673
04/28,102.536285
04/29,102.55987
04/30,102.298706
05/01,102.89316
05/02,102.91503
05/03,102.10952
05/04,102.190834
05/05,102.7499
05/06,102.902374
05/07,102.39776
05/08,103.057365
05/09,103.209305
05/10,102.97797
05/11,102.770836
05/12,102.98381
05/13,103.10061
05/14,102.80208
05/15,102.753204
05/16,103.152725
05/17,102.7823
05/18,102.27158
05/19,102.6001
05/20,103.401665
05/21,102.7551
05/22,102.64543
05/23,102.745995
05/24,102.2531
05/25,102.59714
05/26,102.610085
05/27,103.13718
05/28,103.34029
05/29,102.90786
05/30,102.97886
05/31,102.55618
06/01,102.76334
06/02,102.875305
06/03,102.637505
06/04,102.99668
06/05,103.15905
06/06,102.72471
06/07,102.80283
06/08,102.45801
06/09,102.85215
06/10,102.72832
06/11,102.54835
06/12,102.76567
06/13,103.10851
