time,hdin
01/01,121.55782
01/02,121.195206
01/03,121.21497
01/04,121.13102
01/05,121.48457
01/06,121.02604
01/07,120.72326
01/08,120.57819
01/09,120.89171
01/10,120.80164
01/11,121.56747
01/12,120.92048
01/13,120.33329
01/14,120.88966
01/15,121.18927
01/16,120.45144
01/17,120.09515
01/18,120.376175
01/19,120.34854
01/20,120.26039
01/21,120.07431
01/22,120.262314
01/23,120.29386
01/24,119.70847
01/25,119.55367
01/26,119.72257
01/27,119.39781
01/28,118.62608
01/29,118.97268
01/30,118.99542
01/31,119.42069
02/01,118.96975
02/02,118.99092
02/03,118.903824
02/04,119.00837
02/05,119.331635
02/06,118.85376
02/07,118.98313
02/08,118.94523
02/09,118.89964
02/10,119.28993
02/11,118.25517
02/12,118.16538
02/13,118.6809
02/14,118.39908
02/15,118.33387
02/16,118.88857
02/17,118.52974
02/18,117.997284
02/19,118.35849
02/20,118.97938
02/21,118.728386
02/22,117.72022
02/23,117.24571
02/24,117.744545
02/25,117.48732
02/26,117.3263
02/27,117.19454
02/28,117.611664
02/29,111.798256
03/01,117.541245
03/02,117.60201
03/03,117.62536
03/04,117.184715
03/05,116.94111
03/06,117.31418
03/07,117.39082
03/08,116.938866
03/09,116.87188
03/10,117.00574
03/11,116.71084
03/12,117.63911
03/13,117.81807
03/14,117.67066
03/15,117.787476
03/16,117.77437
03/17,117.66125
03/18,117.55425
03/19,117.66689
03/20,117.44528
03/21,117.696144
03/22,117.52015
03/23,117.68008
03/24,117.47406
03/25,117.23245
03/26,117.00966
03/27,117.182045
03/28,117.313774
03/29,117.72033
03/30,118.16135
03/31,117.878845
04/01,117.54666
04/02,117.821106
04/03,117.78009
04/04,116.90006
04/05,116.99401
04/06,117.14876
04/07,116.536865
04/08,116.47814
04/09,117.15778
04/10,116.91207
04/11,117.171875
04/12,116.982925
04/13,116.98375
04/14,117.25209
04/15,116.54716
04/16,116.67027
04/17,116.74767
04/18,116.88381
04/19,116.22682
04/20,117.080284
04/21,116.765335
04/22,116.733
04/23,116.55586
04/24,116.56534
04/25,116.65328
04/26,116.41366
04/27,116.72286
04/28,117.58175
04/29,117.65019
04/30,117.31239
05/01,117.48003
05/02,117.33629
05/03,117.1461
05/04,116.452194
05/05,116.856224
05/06,117.03031
05/07,116.62427
05/08,116.601295
05/09,116.74199
05/10,116.53821
05/11,116.1545
05/12,116.21126
05/13,116.495514
05/14,115.90972
05/15,115.624115
05/16,115.36041
05/17,116.03772
05/18,116.17722
05/19,116.13796
05/20,116.21731
05/21,116.357765
05/22,117.03274
05/23,116.661476
05/24,116.710144
05/25,116.37648
05/26,116.76624
05/27,116.52535
05/28,116.59232
05/29,116.66239
05/30,116.56883
05/31,116.77201
06/01,116.70176
06/02,117.0353
06/03,116.955666
06/04,116.714615
06/05,116.92908
06/06,116.28153
06/07,116.41323
06/08,116.47296
06/09,117.027565
06/10,117.41983
06/11,117.09939
06/12,116.80885
06/13,116.95094
06/14,118.13325
06/15,117.51625
06/16,116.964615
06/17,117.1674
06/18,117.49436
06/19,117.26682
06/20,117.34813
06/21,116.90438
06/22,117.027054
06/23,117.0991
06/24,117.345894
06/25,117.44016
06/26,117.169014
06/27,116.99516
06/28,116.91001
06/29,117.55069
06/30,116.92273
07/01,117.01636
07/02,116.27123
07/03,116.84113
07/04,117.46482
07/05,117.59113
07/06,117.254456
07/07,116.9269
07/08,117.833885
07/09,117.73761
07/10,117.855576
07/11,117.78864
07/12,117.70932
07/13,118.83866
07/14,118.47489
07/15,118.97116
07/16,118.836464
07/17,118.954605
07/18,118.81144
07/19,118.54951
07/20,118.774956
07/21,119.11337
07/22,117.91432
07/23,117.56219
07/24,118.07073
07/25,118.50909
07/26,118.36742
07/27,117.9055
07/28,118.061295
07/29,118.74327
07/30,118.282684
07/31,118.15065
08/01,118.265495
08/02,118.58475
08/03,117.96856
08/04,118.464165
08/05,118.28069
08/06,118.645325
08/07,118.72877
08/08,118.0117
08/09,118.31009
08/10,118.175995
08/11,119.01236
08/12,118.90948
08/13,119.08804
08/14,119.39947
08/15,118.75461
08/16,118.142204
08/17,118.42429
08/18,118.89508
08/19,119.35971
08/20,119.31767
08/21,119.795876
08/22,119.87761
08/23,120.31443
08/24,120.3223
08/25,120.95192
08/26,121.241905
08/27,121.324684
08/28,120.82368
08/29,120.71803
08/30,120.62075
08/31,120.729454
09/01,121.47827
09/02,121.87435
09/03,121.87599
09/04,121.762245
09/05,121.30179
09/06,120.76786
09/07,120.7519
09/08,120.89225
09/09,120.76861
09/10,120.65241
09/11,120.46242
09/12,120.048546
09/13,120.41221
09/14,120.13287
09/15,120.48973
09/16,119.953766
09/17,119.32909
09/18,119.859146
09/19,119.87977
09/20,119.011986
09/21,119.15794
09/22,119.63424
09/23,119.07444
09/24,119.72544
09/25,119.13351
09/26,119.59732
09/27,119.38473
09/28,119.789795
09/29,120.02332
09/30,119.14404
10/01,119.4461
10/02,119.18639
10/03,119.057655
10/04,119.31494
10/05,119.514626
10/06,119.00477
10/07,119.185074
10/08,119.50992
10/09,119.60498
10/10,120.05138
10/11,119.41098
10/12,119.8566
10/13,120.88949
10/14,121.44199
10/15,121.02458
10/16,121.3642
10/17,121.30814
10/18,121.78706
10/19,122.23601
10/20,122.26985
10/21,122.6299
10/22,123.22472
10/23,123.08645
10/24,123.52799
10/25,123.51183
10/26,123.53682
10/27,123.483665
10/28,123.76187
10/29,124.361084
10/30,124.38556
10/31,124.08696
11/01,124.24694
11/02,124.50348
11/03,124.63488
11/04,124.12227
11/05,123.587746
11/06,123.98332
11/07,123.7842
11/08,123.11173
11/09,123.38483
11/10,123.50416
11/11,123.533745
11/12,123.21784
11/13,123.39395
11/14,123.912865
11/15,123.54796
11/16,123.64267
11/17,123.4464
11/18,123.85731
11/19,123.59937
11/20,123.12544
11/21,122.78571
11/22,123.55335
11/23,123.3761
11/24,123.33509
11/25,123.47905
11/26,123.25268
11/27,123.29976
11/28,123.14812
11/29,123.02847
11/30,123.47625
12/01,122.68619
12/02,122.52038
12/03,122.71905
