time,hdin
01/01,133.75058
01/02,134.19322
01/03,134.62692
01/04,135.00095
01/05,134.93666
01/06,135.35939
01/07,134.79933
01/08,135.56888
01/09,136.00557
01/10,135.91135
01/11,136.08336
01/12,136.72421
01/13,136.43268
01/14,136.7833
01/15,137.2978
01/16,137.4568
01/17,137.5104
01/18,137.70511
01/19,137.9608
01/20,138.08626
01/21,138.03465
01/22,137.86893
01/23,138.54509
01/24,138.47493
01/25,138.5857
01/26,139.25653
01/27,139.83517
01/28,139.21721
01/29,139.04861
01/30,140.01306
01/31,139.99484
02/01,140.10408
02/02,140.05899
02/03,140.16855
02/04,140.38646
02/05,140.74666
02/06,140.70345
02/07,140.52419
02/08,140.32394
02/09,140.93297
02/10,140.71922
02/11,141.05276
02/12,141.38235
02/13,141.49939
02/14,141.417
02/15,141.67331
02/16,141.79356
02/17,141.83806
02/18,142.44847
02/19,142.19672
02/20,141.87907
02/21,142.13611
02/22,142.09549
02/23,142.48543
02/24,142.4864
02/25,142.61316
02/26,142.85454
02/27,142.54793
02/28,142.98651
02/29,145.43352
03/01,142.9812
03/02,143.13127
03/03,143.02292
03/04,142.85062
03/05,142.59724
03/06,142.64302
03/07,142.2112
03/08,142.6216
03/09,142.76645
03/10,143.01282
03/11,142.93895
03/12,143.08708
03/13,142.7905
03/14,143.00375
03/15,143.19073
03/16,142.98909
03/17,142.81635
03/18,143.0625
03/19,143.29495
03/20,143.11696
03/21,142.72221
03/22,142.86642
03/23,142.72127
03/24,142.44293
03/25,142.41292
03/26,142.65686
03/27,142.23343
03/28,142.50531
03/29,142.47507
03/30,142.3799
03/31,142.8095
04/01,142.76872
04/02,141.98848
04/03,142.74165
04/04,142.62679
04/05,141.90506
04/06,142.14787
04/07,141.59422
04/08,141.15201
04/09,140.89854
04/10,141.39427
04/11,141.43568
04/12,141.09065
04/13,140.72227
04/14,140.2553
04/15,139.90454
04/16,140.18625
04/17,140.37193
04/18,139.49304
04/19,139.65038
04/20,139.73676
04/21,139.70311
04/22,139.23973
04/23,139.0698
04/24,138.71468
04/25,139.30325
04/26,139.3563
04/27,138.93723
04/28,138.78421
04/29,138.45862
04/30,138.42097
05/01,138.15526
05/02,138.41882
05/03,138.32394
05/04,138.54016
05/05,138.3219
05/06,138.22556
05/07,138.31673
05/08,138.30139
05/09,137.83609
05/10,137.98631
05/11,138.31502
05/12,137.92868
05/13,138.00989
