time,hdin
01/01,141.8264
01/02,142.04347
01/03,141.2998
01/04,141.6711
01/05,141.56328
01/06,140.93033
01/07,141.31427
01/08,141.77023
01/09,141.71431
01/10,141.69589
01/11,141.33257
01/12,141.10876
01/13,141.59235
01/14,141.73186
01/15,141.55798
01/16,141.50343
01/17,142.34798
01/18,142.5453
01/19,142.43988
01/20,142.85332
01/21,142.67235
01/22,142.28975
01/23,142.43822
01/24,142.69693
01/25,141.98865
01/26,142.38957
01/27,143.11455
01/28,143.12373
01/29,142.7252
01/30,143.8438
01/31,143.60371
02/01,142.89075
02/02,144.04643
02/03,144.17517
02/04,144.06573
02/05,144.16646
02/06,144.60701
02/07,144.30803
02/08,144.97838
02/09,145.05032
02/10,144.33157
02/11,144.34172
02/12,144.70078
02/13,144.22928
02/14,143.53323
02/15,143.93756
02/16,144.32944
02/17,144.20383
02/18,143.95586
02/19,144.0389
02/20,144.55394
02/21,144.25354
02/22,143.7153
02/23,143.63126
02/24,143.57724
02/25,143.61005
02/26,143.70671
02/27,143.25374
02/28,143.54373
02/29,142.62648
03/01,143.47098
03/02,142.78267
03/03,142.57358
03/04,142.71945
03/05,143.11754
03/06,142.9315
03/07,142.94797
03/08,143.42276
03/09,143.66652
03/10,143.25345
03/11,143.8417
03/12,144.65683
03/13,143.67778
03/14,143.72154
03/15,144.06577
03/16,143.88058
03/17,142.9274
03/18,143.25345
03/19,143.07489
03/20,143.25574
03/21,143.04173
03/22,142.78198
03/23,143.17381
03/24,143.01422
03/25,143.10756
03/26,142.86241
03/27,142.9485
03/28,142.71353
03/29,142.84111
03/30,143.03737
03/31,143.05171
04/01,142.73459
04/02,142.54007
04/03,142.6736
04/04,142.46724
04/05,142.49059
04/06,142.27538
04/07,142.4216
04/08,142.14828
04/09,141.76746
04/10,141.1066
04/11,140.79916
04/12,141.11525
04/13,141.12732
04/14,141.07283
04/15,140.92929
04/16,141.5681
04/17,141.76964
04/18,141.24371
04/19,141.53934
04/20,141.47235
04/21,141.12366
04/22,140.71333
04/23,140.46817
04/24,140.65088
04/25,140.50824
04/26,140.34866
04/27,140.77304
04/28,140.5584
04/29,140.07639
04/30,139.63449
05/01,139.34636
05/02,139.17638
05/03,139.39774
05/04,138.9957
05/05,138.73792
05/06,138.48593
05/07,138.14536
05/08,138.38475
