time,hdin
01/01,140.29344
01/02,140.26735
01/03,140.66011
01/04,140.07065
01/05,140.25072
01/06,140.43988
01/07,141.02742
01/08,140.78883
01/09,140.16753
01/10,140.49939
01/11,140.1354
01/12,140.40002
01/13,140.3588
01/14,140.3106
01/15,140.15656
01/16,139.78284
01/17,139.99846
01/18,139.99033
01/19,139.70807
01/20,140.01909
01/21,139.55582
01/22,140.61282
01/23,140.75075
01/24,140.39606
01/25,141.17241
01/26,141.47188
01/27,141.00491
01/28,140.95705
01/29,140.80309
01/30,140.9838
01/31,141.15916
02/01,141.1102
02/02,141.07426
02/03,141.67218
02/04,141.40764
02/05,141.77309
02/06,141.58192
02/07,141.42917
02/08,140.55618
02/09,140.76826
02/10,140.50056
02/11,140.86783
02/12,140.85175
02/13,141.04935
02/14,141.70528
02/15,141.64735
02/16,141.31834
02/17,141.19902
02/18,141.5141
02/19,140.78638
02/20,140.68585
02/21,140.19565
02/22,140.72632
02/23,141.53401
02/24,141.44621
02/25,141.66228
02/26,141.50977
02/27,141.53957
02/28,141.6243
02/29,139.6599
03/01,141.22173
03/02,141.01877
03/03,140.85085
03/04,141.71107
03/05,141.74184
03/06,141.63269
03/07,141.35088
03/08,141.81424
03/09,141.7373
03/10,141.61003
03/11,141.44945
03/12,141.52058
03/13,141.59607
03/14,141.42839
03/15,141.5027
03/16,141.8586
03/17,142.11671
03/18,142.4093
03/19,142.20958
03/20,142.19101
03/21,142.42435
03/22,142.98605
03/23,142.94087
03/24,142.97316
03/25,142.85094
03/26,142.1844
03/27,141.77611
03/28,142.09698
03/29,142.2755
03/30,141.84628
03/31,141.37982
04/01,141.57182
04/02,141.00555
04/03,140.6624
04/04,140.84314
04/05,141.09439
04/06,141.58553
04/07,141.68333
04/08,142.04349
04/09,142.40128
04/10,142.40445
04/11,141.95613
04/12,142.05855
04/13,142.19568
04/14,142.79208
04/15,142.08504
04/16,142.20697
04/17,142.46866
04/18,143.12178
04/19,142.25453
04/20,141.80539
04/21,141.7693
04/22,141.66638
04/23,141.25261
04/24,141.35541
04/25,141.12788
04/26,141.39377
04/27,141.51028
04/28,141.36852
04/29,141.2771
04/30,141.68283
05/01,141.3521
05/02,141.40425
05/03,141.5804
05/04,141.57336
05/05,141.21686
05/06,141.23387
05/07,141.1818
05/08,141.15327
05/09,141.35161
05/10,140.64421
05/11,140.30646
