time,hdin
01/01,131.13594
01/02,131.08856
01/03,131.40092
01/04,131.13872
01/05,130.8885
01/06,131.0077
01/07,130.5314
01/08,131.64784
01/09,131.2139
01/10,129.93338
01/11,130.10182
01/12,130.38661
01/13,129.58093
01/14,129.77266
01/15,130.22124
01/16,130.47893
01/17,130.62927
01/18,130.92456
01/19,131.59604
01/20,132.07108
01/21,132.02158
01/22,131.9476
01/23,131.83646
01/24,131.42012
01/25,131.38678
01/26,131.53775
01/27,131.1432
01/28,130.9525
01/29,130.9659
01/30,130.23883
01/31,130.03265
02/01,129.9342
02/02,130.55746
02/03,130.07771
02/04,130.46426
02/05,130.18791
02/06,129.57773
02/07,129.76306
02/08,129.92316
02/09,130.11813
02/10,129.51901
02/11,129.91487
02/12,129.32957
02/13,129.0712
02/14,129.0055
02/15,128.97147
02/16,128.6448
02/17,128.40408
02/18,128.78874
02/19,128.23413
02/20,128.09338
02/21,128.85083
02/22,128.8585
02/23,128.50844
02/24,128.51378
02/25,128.01674
02/26,127.83177
02/27,128.03644
02/28,127.857704
02/29,126.14431
03/01,127.9453
03/02,127.96052
03/03,127.76673
03/04,127.64604
03/05,127.42163
03/06,127.47445
03/07,127.50099
03/08,127.29483
03/09,127.212875
03/10,127.37659
03/11,126.821236
03/12,126.91284
03/13,126.88386
03/14,126.38722
03/15,126.605804
03/16,126.86363
03/17,126.666275
03/18,126.045815
03/19,126.30074
03/20,126.23892
03/21,126.42768
03/22,126.327515
03/23,126.48968
03/24,126.70086
03/25,126.71106
03/26,127.1494
03/27,126.87777
03/28,126.243095
03/29,126.88272
03/30,126.70755
03/31,126.36478
04/01,125.93368
04/02,126.49984
04/03,125.62237
04/04,125.89692
04/05,126.23031
04/06,125.67915
04/07,125.741
04/08,125.60039
04/09,125.87796
04/10,125.219154
04/11,124.951485
04/12,124.85689
04/13,124.92564
04/14,124.84151
04/15,124.5137
04/16,124.39847
04/17,124.158165
04/18,124.24434
04/19,124.46338
04/20,123.95649
04/21,124.08479
04/22,124.558395
04/23,123.594604
04/24,122.96089
04/25,124.23803
04/26,123.8358
04/27,123.54743
04/28,123.29252
04/29,123.501175
04/30,122.84502
05/01,123.13074
05/02,123.42196
05/03,122.83618
05/04,122.31598
05/05,122.65232
05/06,122.72026
05/07,121.975815
05/08,121.88615
05/09,122.070694
05/10,122.17985
05/11,122.14268
05/12,122.14971
05/13,120.80773
05/14,121.00562
05/15,122.14282
05/16,121.81698
05/17,121.4577
05/18,121.88375
05/19,121.45664
05/20,121.49375
05/21,121.81177
05/22,121.782906
05/23,121.29583
05/24,121.450264
05/25,121.81278
05/26,121.36218
05/27,121.21368
05/28,121.34705
05/29,121.57305
05/30,120.49104
05/31,120.89347
06/01,121.131325
06/02,120.90156
06/03,120.127815
06/04,120.813126
06/05,120.35942
06/06,120.034836
06/07,120.46245
06/08,120.25675
06/09,119.65819
06/10,120.07098
06/11,119.917206
06/12,119.35329
06/13,119.564575
06/14,119.49563
06/15,118.620316
06/16,119.28798
06/17,118.934525
06/18,118.71088
06/19,118.673256
06/20,118.49048
06/21,118.303734
06/22,118.96159
06/23,119.1818
06/24,118.64346
06/25,118.630035
06/26,119.13501
06/27,118.90204
06/28,119.085396
06/29,119.00763
06/30,118.82751
07/01,118.86116
07/02,118.970924
07/03,118.922585
07/04,118.93196
07/05,119.00832
07/06,118.94971
07/07,119.427956
07/08,119.59105
07/09,119.11013
07/10,119.62626
07/11,120.04219
07/12,120.15288
07/13,120.22641
07/14,120.385345
07/15,120.667015
07/16,120.92181
07/17,120.69969
07/18,121.43835
07/19,121.49193
07/20,121.14768
07/21,121.129265
07/22,122.0201
07/23,121.78643
07/24,121.90452
07/25,122.022194
07/26,122.52477
07/27,122.97907
07/28,123.240715
07/29,123.594215
07/30,124.144554
07/31,123.85477
08/01,124.04875
08/02,124.02661
08/03,124.4165
08/04,124.56455
08/05,125.091965
08/06,125.693245
08/07,126.04404
08/08,126.02648
08/09,125.775085
08/10,125.99734
08/11,126.01802
08/12,126.28402
08/13,126.74521
08/14,127.12586
08/15,127.18624
08/16,127.457535
08/17,127.77155
08/18,128.74243
08/19,128.48468
08/20,129.13583
08/21,129.6882
08/22,130.18922
08/23,130.01291
08/24,130.20169
08/25,129.51218
08/26,129.89485
08/27,130.9619
08/28,131.53899
08/29,130.20345
08/30,130.37741
08/31,130.41487
09/01,130.75377
09/02,130.56747
09/03,131.45358
09/04,131.8451
09/05,132.17622
09/06,132.41331
09/07,132.4089
09/08,132.17621
09/09,132.607
09/10,133.038
09/11,133.52446
09/12,133.5599
09/13,133.88095
09/14,134.2945
09/15,134.86664
09/16,135.55963
09/17,135.8448
09/18,135.37799
