time,hdin
01/01,139.35599
01/02,139.59265
01/03,139.9173
01/04,139.96332
01/05,139.38069
01/06,139.08484
01/07,138.72827
01/08,139.10924
01/09,139.27203
01/10,139.53322
01/11,139.58803
01/12,139.18275
01/13,139.3545
01/14,139.17279
01/15,138.97754
01/16,139.34442
01/17,139.1707
01/18,139.38425
01/19,139.33124
01/20,139.45277
01/21,139.46286
01/22,139.59431
01/23,139.51204
01/24,139.59117
01/25,139.50247
01/26,138.97746
01/27,139.32076
01/28,138.73837
01/29,138.98993
01/30,138.98074
01/31,139.22508
02/01,139.29172
02/02,138.75816
02/03,138.16003
02/04,138.67297
02/05,139.14748
02/06,139.10144
02/07,139.39621
02/08,139.36925
02/09,138.99405
02/10,138.86385
02/11,138.78934
02/12,138.70549
02/13,138.98451
02/14,139.14601
02/15,139.44254
02/16,138.67558
02/17,139.10353
02/18,139.43321
02/19,139.4472
02/20,139.74808
02/21,139.95192
02/22,139.85251
02/23,140.1721
02/24,140.30522
02/25,140.18993
02/26,140.50526
02/27,140.42137
02/28,140.72047
02/29,140.2387
03/01,141.12894
03/02,140.77551
03/03,140.60588
03/04,140.3024
03/05,140.73016
03/06,140.65285
03/07,140.88469
03/08,141.11884
03/09,141.29033
03/10,141.27312
03/11,141.03952
03/12,141.38675
03/13,141.5521
03/14,142.01338
03/15,142.03926
03/16,141.93889
03/17,141.65549
03/18,141.56778
03/19,141.5568
03/20,141.74156
03/21,142.00107
03/22,141.79048
03/23,141.32959
03/24,141.89188
03/25,141.5646
03/26,141.75792
03/27,142.33554
03/28,142.44754
03/29,141.8973
03/30,141.91982
03/31,142.06367
04/01,141.79518
04/02,142.25375
04/03,141.98776
04/04,141.86765
04/05,142.05463
04/06,142.05315
04/07,142.2527
04/08,142.51778
04/09,142.00351
04/10,142.15202
04/11,142.32388
04/12,142.79333
04/13,142.57515
04/14,142.43626
04/15,142.55998
04/16,142.26901
04/17,142.04544
04/18,142.10161
04/19,142.36476
04/20,141.63858
04/21,141.7577
04/22,142.14685
04/23,141.87169
04/24,142.1822
04/25,141.88554
04/26,141.61731
04/27,141.77687
04/28,141.44316
04/29,141.84865
04/30,141.42628
05/01,141.13828
05/02,141.65318
05/03,141.37387
05/04,141.6725
05/05,141.61662
05/06,141.19925
05/07,141.27861
05/08,141.61322
05/09,141.52045
05/10,141.0611
05/11,141.46927
05/12,141.44586
05/13,141.48308
05/14,141.20128
05/15,140.98363
05/16,141.27032
05/17,140.97525
05/18,141.19168
05/19,141.36334
05/20,140.91985
05/21,140.93259
05/22,141.29588
05/23,141.3978
05/24,141.52222
05/25,141.0456
05/26,141.19882
05/27,141.00978
05/28,140.63612
05/29,140.02907
05/30,140.0461
05/31,140.00597
06/01,139.8499
06/02,140.23553
06/03,139.83066
06/04,139.81033
06/05,139.52582
06/06,139.49564
06/07,139.53679
06/08,139.61934
06/09,139.30917
06/10,139.09137
06/11,138.94492
06/12,138.81746
06/13,138.73376
06/14,138.64113
06/15,138.62697
06/16,139.03471
06/17,139.16699
06/18,139.00612
06/19,138.74994
06/20,138.79344
06/21,139.28969
06/22,139.03262
06/23,138.76558
06/24,138.84131
06/25,139.37453
06/26,139.44916
06/27,139.54597
06/28,139.94408
06/29,139.83517
06/30,139.79355
07/01,139.8925
07/02,139.7966
07/03,139.26913
07/04,139.82071
07/05,139.41774
07/06,139.4999
07/07,139.34108
07/08,139.08417
07/09,138.5955
07/10,139.14828
07/11,139.32588
07/12,138.49756
07/13,138.17183
07/14,138.07304
07/15,138.26982
07/16,138.15833
07/17,137.67621
07/18,137.74112
07/19,137.89046
07/20,137.7894
07/21,137.68613
07/22,137.56326
07/23,137.58717
07/24,137.7689
07/25,137.36978
07/26,137.037
07/27,137.046
07/28,137.05748
07/29,136.68762
07/30,137.00421
07/31,137.31381
08/01,137.32286
08/02,137.0632
08/03,136.89627
08/04,137.22997
08/05,137.37337
08/06,137.38377
08/07,137.03958
08/08,137.59377
08/09,137.80614
08/10,137.558
08/11,137.3839
08/12,137.48273
08/13,137.27855
08/14,137.19194
08/15,137.21251
08/16,137.1516
08/17,136.76299
08/18,136.24411
08/19,136.64252
08/20,136.63202
08/21,136.50323
08/22,135.92406
08/23,135.66797
08/24,135.89503
08/25,136.05472
08/26,135.7623
08/27,135.98347
08/28,135.81035
08/29,135.88112
08/30,135.97853
08/31,135.66241
09/01,135.66446
09/02,135.62575
09/03,135.76138
09/04,135.99419
09/05,136.08049
09/06,136.40205
09/07,136.41493
09/08,136.53293
09/09,136.9557
09/10,136.8986
09/11,136.8788
09/12,136.92201
09/13,137.33165
09/14,136.85916
09/15,136.89275
09/16,136.24672
09/17,136.02637
09/18,136.73026
09/19,137.17479
09/20,136.57913
09/21,136.21262
09/22,136.82878
09/23,136.88625
09/24,136.91632
09/25,137.11713
09/26,137.22699
09/27,137.26295
09/28,137.62282
09/29,137.56454
09/30,137.15541
10/01,137.14165
10/02,137.00652
10/03,137.91547
10/04,137.60004
10/05,136.80632
10/06,136.75201
10/07,137.39433
10/08,137.35873
10/09,137.33482
10/10,137.52744
10/11,137.76628
10/12,137.9318
10/13,137.73402
10/14,137.69914
10/15,138.21115
10/16,138.23276
10/17,137.86551
10/18,138.03792
10/19,138.68102
10/20,138.3553
10/21,138.61758
10/22,139.00359
10/23,138.88516
10/24,139.06378
10/25,138.64952
10/26,138.80623
