time,hdin
12/21,140.15459
12/22,139.27887
12/23,139.38885
12/24,139.21893
12/25,139.78827
12/26,139.82869
12/27,139.33693
12/28,139.25415
12/29,139.90556
12/30,139.71361
12/31,139.45258
